frame,t_ps,P_S,S_Li,P_Li,Li_penetrated
132.000,26.400,3.400,3.705,1.300,58.000
133.000,26.600,3.400,3.795,1.100,58.000
134.000,26.800,3.400,3.795,1.300,58.000
135.000,27.000,3.400,3.727,1.600,58.000
136.000,27.200,3.400,3.614,1.800,59.000
137.000,27.400,3.400,3.773,1.700,58.000
138.000,27.600,3.400,3.932,1.900,59.000
139.000,27.800,3.400,3.864,1.600,58.000
140.000,28.000,3.400,3.568,1.400,57.000
141.000,28.200,3.400,3.705,1.400,59.000
142.000,28.400,3.400,3.727,1.500,58.000
143.000,28.600,3.400,3.705,1.400,59.000
144.000,28.800,3.400,3.841,1.400,58.000
145.000,29.000,3.400,3.818,1.200,59.000
146.000,29.200,3.400,3.841,1.500,59.000
147.000,29.400,3.400,3.773,1.500,59.000
148.000,29.600,3.400,3.864,1.400,59.000
149.000,29.800,3.400,3.727,1.100,59.000
150.000,30.000,3.400,3.818,1.400,59.000
151.000,30.200,3.400,3.727,1.500,59.000
152.000,30.400,3.400,3.773,1.600,58.000
153.000,30.600,3.400,3.750,1.300,58.000
154.000,30.800,3.400,3.705,1.400,57.000
155.000,31.000,3.400,3.727,1.400,56.000
156.000,31.200,3.400,3.909,1.100,56.000
157.000,31.400,3.400,3.864,1.200,58.000
158.000,31.600,3.400,3.818,1.300,57.000
159.000,31.800,3.400,3.727,1.000,57.000
160.000,32.000,3.400,3.864,1.400,56.000
161.000,32.200,3.400,3.864,1.100,56.000
162.000,32.400,3.400,3.864,1.500,56.000
163.000,32.600,3.400,3.841,1.100,56.000
164.000,32.800,3.400,3.727,1.300,56.000
165.000,33.000,3.400,3.750,1.100,56.000
166.000,33.200,3.400,3.773,1.500,56.000
167.000,33.400,3.400,3.886,1.300,57.000
168.000,33.600,3.400,3.659,1.200,56.000
169.000,33.800,3.400,3.864,1.100,56.000
170.000,34.000,3.400,3.773,1.300,56.000
171.000,34.200,3.400,3.750,1.300,56.000
172.000,34.400,3.400,3.864,1.300,56.000
173.000,34.600,3.400,3.727,1.500,56.000
174.000,34.800,3.400,3.818,1.300,56.000
175.000,35.000,3.400,3.795,1.400,56.000
176.000,35.200,3.400,3.841,1.200,56.000
177.000,35.400,3.400,3.682,1.500,56.000
178.000,35.600,3.400,3.864,1.500,56.000
179.000,35.800,3.400,3.841,1.300,56.000
180.000,36.000,3.400,3.818,1.500,56.000
181.000,36.200,3.400,3.727,1.400,56.000
182.000,36.400,3.400,3.750,1.300,56.000
183.000,36.600,3.400,3.818,1.100,56.000
184.000,36.800,3.400,3.818,1.200,56.000
185.000,37.000,3.300,3.818,1.100,56.000
186.000,37.200,3.400,3.864,1.400,56.000
187.000,37.400,3.400,3.705,1.300,56.000
188.000,37.600,3.400,3.727,1.100,56.000
189.000,37.800,3.400,3.705,1.500,56.000
190.000,38.000,3.400,3.682,1.600,56.000
191.000,38.200,3.400,3.636,1.600,56.000
192.000,38.400,3.400,3.841,1.700,56.000
193.000,38.600,3.400,3.795,1.400,56.000
194.000,38.800,3.400,3.886,1.600,56.000
195.000,39.000,3.400,3.750,1.600,56.000
196.000,39.200,3.400,3.795,1.200,56.000
197.000,39.400,3.400,3.727,1.100,56.000
198.000,39.600,3.400,3.886,1.100,56.000
199.000,39.800,3.400,3.750,1.200,56.000
200.000,40.000,3.400,3.864,1.300,56.000
201.000,40.200,3.400,3.841,1.200,56.000
202.000,40.400,3.400,3.932,1.400,56.000
203.000,40.600,3.400,3.591,1.200,56.000
204.000,40.800,3.400,3.750,1.300,57.000
205.000,41.000,3.400,3.932,1.400,59.000
206.000,41.200,3.400,3.750,1.300,59.000
207.000,41.400,3.400,3.773,1.400,57.000
208.000,41.600,3.400,3.659,1.500,58.000
209.000,41.800,3.400,3.932,1.200,58.000
210.000,42.000,3.400,3.886,1.300,56.000
211.000,42.200,3.400,3.818,1.200,57.000
212.000,42.400,3.400,3.659,1.300,58.000
213.000,42.600,3.400,3.932,1.100,58.000
214.000,42.800,3.400,3.932,1.200,57.000
215.000,43.000,3.400,3.636,1.200,56.000
216.000,43.200,3.400,3.727,1.100,57.000
217.000,43.400,3.300,3.841,1.300,58.000
218.000,43.600,3.300,3.818,1.400,59.000
219.000,43.800,3.300,3.886,1.200,57.000
220.000,44.000,3.300,3.795,1.500,57.000
221.000,44.200,3.300,3.795,1.400,56.000
222.000,44.400,3.300,3.750,1.500,58.000
223.000,44.600,3.300,3.795,1.500,58.000
224.000,44.800,3.300,3.886,1.000,58.000
225.000,45.000,3.300,3.864,1.500,58.000
226.000,45.200,3.300,3.909,1.400,58.000
227.000,45.400,3.300,4.000,1.300,57.000
228.000,45.600,3.300,3.932,1.500,59.000
229.000,45.800,3.300,3.909,1.200,58.000
230.000,46.000,3.300,3.818,1.500,58.000
231.000,46.200,3.300,3.864,1.700,58.000
232.000,46.400,3.300,4.023,1.300,58.000
233.000,46.600,3.300,3.932,1.400,59.000
234.000,46.800,3.300,3.977,1.300,59.000
235.000,47.000,3.300,4.045,1.500,57.000
236.000,47.200,3.300,3.773,1.500,56.000
237.000,47.400,3.300,3.659,1.200,59.000
238.000,47.600,3.300,3.955,1.500,58.000
239.000,47.800,3.300,3.932,1.500,58.000
240.000,48.000,3.300,3.977,1.400,58.000
241.000,48.200,3.300,3.795,1.800,58.000
242.000,48.400,3.300,4.000,1.600,58.000
243.000,48.600,3.300,3.841,1.400,58.000
244.000,48.800,3.300,3.841,1.400,58.000
245.000,49.000,3.300,3.909,1.500,58.000
246.000,49.200,3.300,3.909,1.500,58.000
247.000,49.400,3.300,3.955,1.300,58.000
248.000,49.600,3.300,3.955,1.700,58.000
249.000,49.800,3.300,3.773,1.600,58.000
250.000,50.000,3.300,3.955,1.400,58.000
251.000,50.200,3.300,3.705,1.400,58.000
252.000,50.400,3.300,3.886,1.400,58.000
253.000,50.600,3.300,3.909,2.000,58.000
254.000,50.800,3.300,3.909,1.400,58.000
255.000,51.000,3.300,3.909,1.900,58.000
256.000,51.200,3.300,3.977,1.300,58.000
257.000,51.400,3.300,3.909,1.400,58.000
258.000,51.600,3.300,3.864,1.600,58.000
259.000,51.800,3.300,3.886,1.500,58.000
260.000,52.000,3.200,3.773,1.500,58.000
261.000,52.200,3.200,3.932,1.600,58.000
262.000,52.400,3.200,3.841,1.800,58.000
263.000,52.600,3.200,3.773,1.400,58.000
264.000,52.800,3.200,3.818,1.800,58.000
265.000,53.000,3.200,3.932,1.600,58.000
266.000,53.200,3.200,3.955,1.700,59.000
267.000,53.400,3.200,3.886,2.300,59.000
268.000,53.600,3.200,3.818,1.800,59.000
269.000,53.800,3.200,4.000,1.800,59.000
270.000,54.000,3.200,3.818,2.000,59.000
271.000,54.200,3.200,3.886,2.000,59.000
272.000,54.400,3.200,3.886,1.800,59.000
273.000,54.600,3.200,4.045,2.400,59.000
274.000,54.800,3.200,3.932,1.900,59.000
275.000,55.000,3.200,3.977,1.600,59.000
276.000,55.200,3.200,3.932,1.800,59.000
277.000,55.400,3.200,3.977,2.000,59.000
278.000,55.600,3.200,3.977,1.800,59.000
279.000,55.800,3.200,3.955,1.400,59.000
280.000,56.000,3.200,3.955,2.000,59.000
281.000,56.200,3.200,3.818,1.700,59.000
282.000,56.400,3.200,4.136,2.000,59.000
283.000,56.600,3.200,4.023,1.700,59.000
284.000,56.800,3.200,4.136,2.100,60.000
285.000,57.000,3.200,3.818,1.700,60.000
286.000,57.200,3.200,4.000,2.000,60.000
287.000,57.400,3.200,4.000,1.500,60.000
288.000,57.600,3.200,3.955,1.900,60.000
289.000,57.800,3.200,3.932,1.700,59.000
290.000,58.000,3.200,4.068,1.800,60.000
291.000,58.200,3.200,4.023,1.600,60.000
292.000,58.400,3.200,4.182,1.600,60.000
293.000,58.600,3.200,4.068,2.200,59.000
294.000,58.800,3.200,4.182,2.000,60.000
295.000,59.000,3.200,4.045,1.900,60.000
296.000,59.200,3.200,4.023,1.800,60.000
297.000,59.400,3.200,3.955,1.700,60.000
298.000,59.600,3.200,4.023,1.800,60.000
299.000,59.800,3.200,4.068,1.800,60.000
300.000,60.000,3.200,4.023,1.800,60.000
301.000,60.200,3.200,3.977,2.200,60.000
302.000,60.400,3.200,4.091,1.800,60.000
303.000,60.600,3.200,4.023,1.600,60.000
304.000,60.800,3.200,3.977,1.700,60.000
305.000,61.000,3.200,4.159,1.800,60.000
306.000,61.200,3.200,3.977,1.800,60.000
307.000,61.400,3.200,3.977,1.700,60.000
308.000,61.600,3.200,3.977,1.800,60.000
309.000,61.800,3.100,4.023,1.800,60.000
310.000,62.000,3.100,4.045,1.600,61.000
311.000,62.200,3.100,4.045,1.900,60.000
312.000,62.400,3.100,4.136,1.900,60.000
313.000,62.600,3.100,3.864,1.800,60.000
314.000,62.800,3.100,4.023,2.100,60.000
315.000,63.000,3.100,3.909,1.600,60.000
316.000,63.200,3.100,4.000,1.700,60.000
317.000,63.400,3.100,3.841,1.700,60.000
318.000,63.600,3.100,3.727,2.000,60.000
319.000,63.800,3.100,3.909,1.900,60.000
320.000,64.000,3.100,3.955,1.800,59.000
321.000,64.200,3.100,4.114,1.900,61.000
322.000,64.400,3.100,4.045,1.900,60.000
323.000,64.600,3.100,3.795,1.700,60.000
324.000,64.800,3.100,4.000,1.900,61.000
325.000,65.000,3.100,4.182,2.100,60.000
326.000,65.200,3.100,4.000,2.100,61.000
327.000,65.400,3.100,4.068,2.000,60.000
328.000,65.600,3.100,3.932,2.400,58.000
329.000,65.800,3.100,4.023,2.000,59.000
330.000,66.000,3.100,3.977,1.800,59.000
331.000,66.200,3.100,3.977,1.700,59.000
332.000,66.400,3.100,3.886,1.800,58.000
333.000,66.600,3.100,3.955,2.200,58.000
334.000,66.800,3.100,3.841,2.200,59.000
335.000,67.000,3.100,4.068,2.000,59.000
336.000,67.200,3.100,4.000,2.000,59.000
337.000,67.400,3.100,3.977,2.100,60.000
338.000,67.600,3.100,3.955,2.300,61.000
339.000,67.800,3.100,4.045,1.800,60.000
340.000,68.000,3.100,4.000,2.200,60.000
341.000,68.200,3.100,4.045,2.100,60.000
342.000,68.400,3.100,4.023,2.200,61.000
343.000,68.600,3.100,4.045,2.400,61.000
344.000,68.800,3.100,4.068,2.200,61.000
345.000,69.000,3.100,4.182,2.100,61.000
346.000,69.200,3.100,4.091,2.000,61.000
347.000,69.400,3.100,3.909,2.000,61.000
348.000,69.600,3.100,4.023,1.700,61.000
349.000,69.800,3.100,4.045,1.900,61.000
350.000,70.000,3.100,4.023,1.900,61.000
351.000,70.200,3.100,4.182,1.800,62.000
352.000,70.400,3.100,4.136,1.900,62.000
353.000,70.600,3.100,4.068,2.400,62.000
354.000,70.800,3.100,4.114,2.100,61.000
355.000,71.000,3.100,4.045,2.400,62.000
356.000,71.200,3.100,3.977,1.900,62.000
357.000,71.400,3.100,3.932,2.000,62.000
358.000,71.600,3.100,4.091,2.100,61.000
359.000,71.800,3.100,4.045,2.100,61.000
360.000,72.000,3.100,3.977,2.100,62.000
361.000,72.200,3.100,4.045,1.800,62.000
362.000,72.400,3.100,4.091,2.100,61.000
363.000,72.600,3.100,4.023,2.600,62.000
364.000,72.800,3.100,4.045,2.200,62.000
365.000,73.000,3.100,4.068,2.000,62.000
366.000,73.200,3.100,4.023,1.900,62.000
367.000,73.400,3.100,4.000,2.000,62.000
368.000,73.600,3.100,3.977,2.100,62.000
369.000,73.800,3.100,4.045,2.000,62.000
370.000,74.000,3.000,4.000,2.000,61.000
371.000,74.200,3.000,3.977,2.100,61.000
372.000,74.400,3.000,4.045,2.200,62.000
373.000,74.600,3.000,4.045,2.400,62.000
374.000,74.800,3.000,3.977,2.100,62.000
375.000,75.000,3.000,3.955,2.200,62.000
376.000,75.200,3.000,3.977,2.200,62.000
377.000,75.400,3.000,4.045,2.100,62.000
378.000,75.600,3.000,3.955,2.200,62.000
379.000,75.800,3.000,3.977,2.400,62.000
380.000,76.000,3.000,4.000,2.500,62.000
381.000,76.200,3.000,4.000,2.100,62.000
382.000,76.400,3.000,4.068,2.300,62.000
383.000,76.600,3.000,4.114,2.300,61.000
384.000,76.800,3.000,4.045,2.100,61.000
385.000,77.000,3.000,4.023,2.500,61.000
386.000,77.200,3.000,4.023,2.200,62.000
387.000,77.400,3.000,4.045,2.300,61.000
388.000,77.600,3.000,3.977,2.000,61.000
389.000,77.800,3.000,4.045,2.400,61.000
390.000,78.000,3.000,4.091,2.200,62.000
391.000,78.200,3.000,4.023,2.500,61.000
392.000,78.400,3.000,3.977,2.400,61.000
393.000,78.600,3.000,3.886,2.300,61.000
394.000,78.800,3.000,4.068,2.100,61.000
395.000,79.000,3.000,4.023,2.400,62.000
396.000,79.200,3.000,4.250,2.000,62.000
397.000,79.400,3.000,4.136,2.200,61.000
398.000,79.600,3.000,4.068,2.100,61.000
399.000,79.800,3.000,4.114,2.000,61.000
400.000,80.000,3.000,3.977,2.600,61.000
401.000,80.200,3.000,4.000,2.200,61.000
402.000,80.400,3.000,4.045,2.100,62.000
403.000,80.600,2.900,4.023,2.200,61.000
404.000,80.800,2.900,4.023,2.600,61.000
405.000,81.000,2.900,4.068,2.500,61.000
406.000,81.200,2.900,4.159,2.200,63.000
407.000,81.400,2.900,4.159,2.600,63.000
408.000,81.600,2.900,4.068,2.100,64.000
409.000,81.800,2.900,4.000,2.100,64.000
410.000,82.000,2.900,4.136,2.100,64.000
411.000,82.200,2.900,4.136,2.500,64.000
412.000,82.400,2.900,4.023,2.600,64.000
413.000,82.600,2.900,4.091,2.600,64.000
414.000,82.800,2.900,4.182,2.500,64.000
415.000,83.000,2.900,4.159,2.500,64.000
416.000,83.200,2.900,4.159,2.200,64.000
417.000,83.400,2.900,4.273,2.500,64.000
418.000,83.600,2.900,4.114,2.100,64.000
419.000,83.800,2.900,4.091,2.700,64.000
420.000,84.000,2.900,4.023,2.100,64.000
421.000,84.200,2.900,4.023,2.300,64.000
422.000,84.400,2.900,4.114,2.100,62.000
423.000,84.600,2.900,4.023,2.600,62.000
424.000,84.800,2.900,3.955,2.700,62.000
425.000,85.000,2.900,4.250,2.500,63.000
426.000,85.200,2.900,4.091,3.000,62.000
427.000,85.400,2.900,4.114,2.300,63.000
428.000,85.600,2.900,4.068,2.400,63.000
429.000,85.800,2.900,4.136,2.400,62.000
430.000,86.000,2.900,4.182,2.500,62.000
431.000,86.200,2.900,4.068,2.600,62.000
432.000,86.400,2.900,4.318,2.500,63.000
433.000,86.600,2.900,4.273,2.700,64.000
434.000,86.800,2.900,4.341,2.200,62.000
435.000,87.000,2.900,4.341,2.500,62.000
436.000,87.200,2.900,4.136,2.700,62.000
437.000,87.400,2.900,4.182,2.400,62.000
438.000,87.600,2.900,4.114,2.800,62.000
439.000,87.800,2.900,4.295,2.600,62.000
440.000,88.000,2.900,4.205,2.500,62.000
441.000,88.200,2.900,4.159,2.400,63.000
442.000,88.400,2.900,4.159,2.400,63.000
443.000,88.600,2.900,4.114,2.500,63.000
444.000,88.800,2.900,4.068,2.400,63.000
445.000,89.000,2.900,4.295,2.800,63.000
446.000,89.200,2.900,4.318,2.700,64.000
447.000,89.400,2.900,4.273,2.300,63.000
448.000,89.600,2.900,4.250,2.400,62.000
449.000,89.800,2.900,4.114,2.800,64.000
450.000,90.000,2.900,4.182,2.600,64.000
451.000,90.200,2.900,4.045,2.400,62.000
452.000,90.400,2.900,4.159,2.600,62.000
453.000,90.600,2.900,4.114,2.700,62.000
454.000,90.800,2.900,4.136,2.600,62.000
455.000,91.000,2.900,4.068,2.200,62.000
456.000,91.200,2.900,4.114,2.500,62.000
457.000,91.400,2.900,4.136,2.500,62.000
458.000,91.600,2.900,4.250,2.300,62.000
459.000,91.800,2.900,4.250,2.400,62.000
460.000,92.000,2.900,4.227,2.800,62.000
461.000,92.200,2.900,4.205,2.500,62.000
462.000,92.400,2.900,4.136,2.700,62.000
463.000,92.600,2.900,4.091,2.600,62.000
464.000,92.800,2.900,4.273,2.600,63.000
465.000,93.000,2.900,4.205,2.500,63.000
466.000,93.200,2.900,4.295,2.300,63.000
467.000,93.400,2.900,4.318,2.700,63.000
468.000,93.600,2.900,4.364,2.400,63.000
469.000,93.800,2.900,4.136,3.200,64.000
470.000,94.000,2.900,4.364,2.600,63.000
471.000,94.200,2.900,4.227,2.500,63.000
472.000,94.400,2.900,4.136,2.400,63.000
473.000,94.600,2.900,4.364,2.700,63.000
474.000,94.800,2.900,4.091,2.800,63.000
475.000,95.000,2.900,4.318,2.900,63.000
476.000,95.200,2.900,4.250,2.800,63.000
477.000,95.400,2.900,4.227,2.600,63.000
478.000,95.600,2.900,4.341,2.800,63.000
479.000,95.800,2.900,4.273,2.600,63.000
480.000,96.000,2.900,4.159,2.500,63.000
481.000,96.200,2.900,4.318,2.600,63.000
482.000,96.400,2.900,4.250,2.600,63.000
483.000,96.600,2.900,4.091,2.700,63.000
484.000,96.800,2.900,4.227,2.700,63.000
485.000,97.000,2.900,4.205,2.500,63.000
486.000,97.200,2.900,4.386,2.800,63.000
487.000,97.400,2.900,4.295,2.400,63.000
488.000,97.600,2.900,4.409,2.600,63.000
489.000,97.800,2.900,4.273,2.700,63.000
490.000,98.000,2.900,4.295,2.600,63.000
491.000,98.200,2.900,4.159,2.600,63.000
492.000,98.400,2.900,4.227,2.400,63.000
493.000,98.600,2.900,4.227,2.600,63.000
494.000,98.800,2.900,4.136,2.500,63.000
495.000,99.000,2.900,4.182,2.500,63.000
496.000,99.200,2.900,4.250,2.400,63.000
497.000,99.400,2.900,4.250,2.000,63.000
498.000,99.600,2.900,4.068,2.500,63.000
499.000,99.800,2.900,4.114,2.500,63.000
