display_order_alphabetical,dopant,group,first_stop_posthoc_G1_G4,pass_G1_G4,dft_deep,de_relative_eV_UMA,window_V_MP_grand_potential,oxidation_onset_V_MP_grand_potential,ox_composition_family,ox_family_confounded,plain_champion_exists,bvs_li_proxy_score_x005_nominal,blocking_fraction_x005_nominal,E_GPa_UMA_relative,GoverB_UMA_relative,stability_favorable_percentile,window_favorable_percentile,oxidation_favorable_percentile,bvs_favorable_percentile,blocking_favorable_percentile,softness_favorable_percentile,ductility_favorable_percentile
1,Ag2O,TM,PASS,1,0,-0.474,0.417,2.14,plain,0,1,0.8693644983242963,0.45454545454545453,47.4,0.86,0.021739130434782594,0.4782608695652174,0.6739130434782609,0.3695652173913043,0.8369565217391304,0.4565217391304348,0.13043478260869568
2,Al2O3,main-group,G4,0,0,-0.799,0.768,2.14,plain,0,1,0.8755542041095649,0.7222222222222222,42.5,0.77,0.6956521739130435,0.75,0.6739130434782609,0.4782608695652174,0.34782608695652173,0.8043478260869565,0.5434782608695652
3,AlF3,main-group,G4,0,0,-0.641,0.768,2.14,plain,0,1,0.8427011478299853,0.8095238095238095,47.6,0.84,0.4130434782608695,0.75,0.6739130434782609,0.06521739130434782,0.23913043478260865,0.4347826086956522,0.2282608695652174
4,B2O3,main-group,G4,0,1,-0.769,0.274,2.317,Clrich,1,0,0.8199254899596891,0.5882352941176471,41.2,0.74,0.6739130434782609,0.15217391304347827,0.9130434782608695,0.0,0.5434782608695652,0.9130434782608696,0.7282608695652174
5,BaO,alk.earth,G3,0,0,-0.564,0.354,2.071,plain,0,1,0.8893036602721138,0.6363636363636364,48.2,0.85,0.26086956521739135,0.32608695652173914,0.43478260869565216,0.6956521739130435,0.4565217391304348,0.3695652173913043,0.1630434782608695
6,CaF2,alk.earth,PASS,1,0,-0.586,0.898,2.14,plain,0,1,0.8773859987246604,0.5454545454545454,46.5,1.02,0.32608695652173914,0.9456521739130435,0.6739130434782609,0.5434782608695652,0.6847826086956521,0.5326086956521738,0.0
7,CaO,alk.earth,PASS,1,0,-0.565,0.898,2.14,plain,0,1,0.926114739545142,0.5454545454545454,45.2,0.83,0.28260869565217395,0.9456521739130435,0.6739130434782609,1.0,0.6847826086956521,0.6521739130434783,0.2934782608695652
8,CoO,TM,G2,0,0,-0.571,0.012,1.873,plain,0,1,0.9116991933921438,0.6363636363636364,47.9,0.82,0.30434782608695654,0.021739130434782608,0.08695652173913043,0.8695652173913043,0.4565217391304348,0.4130434782608695,0.3369565217391305
9,Cr2O3,TM,G4,0,0,-0.912,0.633,2.356,plain,0,1,0.9035289205945162,0.8888888888888888,37.5,0.69,0.8478260869565217,0.6304347826086957,0.967391304347826,0.7608695652173914,0.05434782608695654,0.9782608695652174,0.8586956521739131
10,CrO3,TM,G4,0,0,-0.761,0.411,2.14,plain,0,1,0.866794583279684,0.8888888888888888,43.4,0.75,0.6521739130434783,0.43478260869565216,0.6739130434782609,0.2826086956521739,0.05434782608695654,0.7391304347826086,0.6739130434782609
11,Cu2O,TM,G3,0,0,-0.537,0.113,1.864,plain,0,1,0.9105732346956292,0.6363636363636364,51.0,0.89,0.17391304347826086,0.08695652173913043,0.06521739130434782,0.8043478260869565,0.4565217391304348,0.2065217391304348,0.07608695652173914
12,Fe2O3,TM,G2,0,0,-0.801,0.004,1.808,plain,0,1,0.8826993988579057,0.9444444444444444,45.9,0.78,0.7173913043478262,0.0,0.021739130434782608,0.6086956521739131,0.0,0.6195652173913043,0.46739130434782605
13,Ga2O3,main-group,G4,0,0,-0.593,0.778,2.356,plain,0,1,0.8551932368211986,0.6111111111111112,41.4,0.92,0.3695652173913043,0.782608695652174,0.967391304347826,0.10869565217391304,0.5,0.8913043478260869,0.04347826086956519
14,Gd2O3,lanthanide,G3,0,0,-1.269,0.72,2.118,plain,0,1,0.8556729701312151,0.6666666666666666,41.6,0.77,1.0,0.6521739130434783,0.45652173913043476,0.13043478260869565,0.4130434782608695,0.8695652173913043,0.5434782608695652
15,GeO2,main-group,G4,0,0,-0.523,0.518,2.14,plain,0,1,0.8296874153327851,0.56,56.2,0.75,0.13043478260869568,0.5869565217391305,0.6739130434782609,0.021739130434782608,0.6195652173913043,0.04347826086956519,0.6739130434782609
16,HfO2,TM,G3,0,0,-0.81,0.754,1.996,plain,0,1,0.8597070822374197,0.45,46.9,0.81,0.7391304347826086,0.717391304347826,0.2608695652173913,0.17391304347826086,0.8695652173913043,0.5,0.3695652173913043
17,In2O3,main-group,G4,0,0,-0.665,0.791,2.356,plain,0,1,0.8866126351611775,0.8333333333333334,41.9,0.72,0.4565217391304348,0.8043478260869565,0.967391304347826,0.6521739130434783,0.17391304347826086,0.8478260869565217,0.8043478260869565
18,La2O3,lanthanide,G3,0,0,-0.898,0.37,1.893,plain,0,1,0.8727019221337855,0.4444444444444444,50.1,0.77,0.8260869565217391,0.3695652173913043,0.16304347826086957,0.41304347826086957,0.8913043478260869,0.23913043478260865,0.5434782608695652
19,LaF3,lanthanide,G3,0,0,-0.727,0.418,1.893,plain,0,1,0.8784141393404007,0.5714285714285714,40.5,0.64,0.6086956521739131,0.5,0.16304347826086957,0.5652173913043478,0.5869565217391304,0.9347826086956522,0.967391304347826
20,Li2O,alkali,PASS,1,0,-0.503,0.898,2.14,plain,0,1,0.8828273473070942,0.125,48.6,0.89,0.08695652173913049,0.9456521739130435,0.6739130434782609,0.6304347826086957,1.0,0.34782608695652173,0.07608695652173914
21,LiF,alkali,PASS,1,0,-0.519,0.898,2.14,plain,0,1,0.8888590273693765,0.25,58.2,0.73,0.10869565217391308,0.9456521739130435,0.6739130434782609,0.6739130434782609,0.9565217391304348,0.0,0.7717391304347826
22,MgF2,alk.earth,PASS,1,0,-0.546,0.797,2.14,plain,0,1,0.86987270379174,0.5,42.9,0.83,0.21739130434782605,0.8260869565217391,0.6739130434782609,0.391304347826087,0.7608695652173914,0.7608695652173914,0.2934782608695652
23,MgO,alk.earth,PASS,1,0,-0.543,0.735,2.14,degenerate,0,1,0.9111734993417412,0.47619047619047616,57.9,0.84,0.19565217391304346,0.6956521739130435,0.6739130434782609,0.8260869565217391,0.8043478260869565,0.021739130434782594,0.2282608695652174
24,MnO,TM,G2,0,0,-0.651,0.039,1.794,plain,0,1,0.8534832501199415,0.5454545454545454,35.4,0.66,0.4347826086956522,0.06521739130434782,0.0,0.08695652173913043,0.6847826086956521,1.0,0.9347826086956522
25,MoO3,TM,G4,0,0,-0.826,0.414,2.14,plain,0,1,0.8419100479418873,0.5882352941176471,42.7,0.84,0.7608695652173914,0.45652173913043476,0.6739130434782609,0.043478260869565216,0.5434782608695652,0.782608695652174,0.2282608695652174
26,Na2O,alkali,G3,0,0,-0.472,0.343,2.06,plain,0,1,0.8623978763255843,0.45454545454545453,49.6,0.82,0.0,0.29347826086956524,0.3804347826086957,0.1956521739130435,0.8369565217391304,0.2717391304347826,0.3369565217391305
27,Nb2O5,TM,G3,0,0,-0.987,0.323,2.061,plain,0,1,0.9203230958067271,0.75,46.0,0.67,0.9565217391304348,0.2608695652173913,0.41304347826086957,0.9565217391304348,0.30434782608695654,0.5869565217391304,0.9130434782608696
28,Nd2O3,lanthanide,G3,0,1,-0.915,0.402,1.92,plain,0,1,0.9188736987119167,0.8333333333333334,47.1,0.75,0.8695652173913043,0.40217391304347827,0.20652173913043478,0.9347826086956522,0.17391304347826086,0.4782608695652174,0.6739130434782609
29,NdF3,lanthanide,G3,0,0,-0.703,0.402,1.92,plain,0,1,0.8566071998144886,0.7142857142857143,43.9,0.74,0.4782608695652174,0.40217391304347827,0.20652173913043478,0.15217391304347827,0.3695652173913043,0.7173913043478262,0.7282608695652174
30,NiO,TM,G2,0,0,-0.534,0.022,1.838,plain,0,1,0.9115430883801842,0.5454545454545454,45.9,0.85,0.15217391304347827,0.043478260869565216,0.043478260869565216,0.8478260869565217,0.6847826086956521,0.6195652173913043,0.1630434782608695
31,Sb2O5,main-group,G4,0,0,-0.721,0.363,2.14,plain,0,1,0.9251171074686404,0.8333333333333334,51.5,0.69,0.5652173913043479,0.34782608695652173,0.6739130434782609,0.9782608695652174,0.17391304347826086,0.17391304347826086,0.8586956521739131
32,Sc2O3,TM,G4,0,0,-0.945,0.97,2.356,plain,0,1,0.8655579913673321,0.7777777777777778,44.6,0.64,0.9347826086956522,1.0,0.967391304347826,0.2608695652173913,0.26086956521739135,0.6739130434782609,0.967391304347826
33,ScF3,TM,G4,0,0,-0.725,0.834,2.14,plain,0,1,0.8932430564517394,0.8571428571428571,46.5,0.88,0.5869565217391304,0.8478260869565217,0.6739130434782609,0.7391304347826086,0.08695652173913049,0.5326086956521738,0.10869565217391308
34,SiO2,main-group,PASS,1,0,-0.59,0.726,2.14,plain,0,1,0.8684274609874305,0.48,53.5,0.78,0.34782608695652173,0.6739130434782609,0.6739130434782609,0.32608695652173914,0.782608695652174,0.06521739130434778,0.46739130434782605
35,Sm2O3,lanthanide,G3,0,0,-0.897,0.501,1.989,plain,0,1,0.8758892935389808,0.8333333333333334,44.4,0.68,0.8043478260869565,0.5652173913043478,0.2391304347826087,0.5,0.17391304347826086,0.6956521739130435,0.8913043478260869
36,SnO2,main-group,PASS,1,0,-0.5,0.423,2.14,plain,0,1,0.9078323265546988,0.52,48.1,0.8,0.06521739130434778,0.532608695652174,0.6739130434782609,0.782608695652174,0.7391304347826086,0.3913043478260869,0.3913043478260869
37,SrO,alk.earth,G3,0,0,-0.555,0.343,2.06,plain,0,1,0.8737186501819233,0.18181818181818182,49.2,0.79,0.23913043478260865,0.29347826086956524,0.3804347826086957,0.45652173913043476,0.9782608695652174,0.3152173913043478,0.4130434782608695
38,Ta2O5,TM,G3,0,0,-1.041,0.31,2.027,plain,0,1,0.8766314651493997,0.75,49.2,0.63,0.9782608695652174,0.2391304347826087,0.32608695652173914,0.5217391304347826,0.30434782608695654,0.3152173913043478,1.0
39,TiF4,TM,G3,0,0,-0.705,0.307,2.024,plain,0,1,0.8728675710250262,0.92,46.2,0.96,0.5,0.20652173913043478,0.29347826086956524,0.43478260869565216,0.021739130434782594,0.5652173913043479,0.021739130434782594
40,TiO2,TM,G3,0,0,-0.632,0.307,2.024,plain,0,1,0.8641447537388139,0.56,52.1,0.78,0.3913043478260869,0.20652173913043478,0.29347826086956524,0.2391304347826087,0.6195652173913043,0.13043478260869568,0.46739130434782605
41,V2O5,TM,G3,0,0,-0.927,0.306,2.042,plain,0,1,0.8693484040644983,0.75,52.5,0.76,0.8913043478260869,0.17391304347826086,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.10869565217391308,0.6086956521739131
42,WO3,TM,PASS,1,0,-0.86,0.423,2.14,plain,0,1,0.8680055288237183,0.5882352941176471,38.6,0.76,0.782608695652174,0.532608695652174,0.6739130434782609,0.30434782608695654,0.5434782608695652,0.9565217391304348,0.6086956521739131
43,Y2O3,TM,G4,0,0,-0.938,0.891,2.282,degenerate,0,1,0.9122550929192564,0.8333333333333334,53.1,0.71,0.9130434782608696,0.8913043478260869,0.8913043478260869,0.8913043478260869,0.17391304347826086,0.08695652173913049,0.8260869565217391
44,YF3,TM,G4,0,0,-0.713,0.848,2.14,plain,0,1,0.8823679659995394,0.6923076923076923,51.6,0.84,0.5217391304347826,0.8695652173913043,0.6739130434782609,0.5869565217391305,0.3913043478260869,0.15217391304347827,0.2282608695652174
45,ZnO,TM,PASS,1,0,-0.48,0.575,2.14,degenerate,0,1,0.8632786904896266,0.42857142857142855,51.0,0.76,0.04347826086956519,0.6086956521739131,0.6739130434782609,0.21739130434782608,0.9130434782608696,0.2065217391304348,0.6086956521739131
46,ZrF4,TM,G3,0,0,-0.758,0.165,1.878,plain,0,1,0.8923616674869713,0.85,42.2,0.73,0.6304347826086957,0.11956521739130435,0.11956521739130435,0.717391304347826,0.10869565217391308,0.8260869565217391,0.7717391304347826
47,ZrO2,TM,G3,0,0,-0.719,0.165,1.878,plain,0,1,0.9158720241094108,0.4,49.6,0.78,0.5434782608695652,0.11956521739130435,0.11956521739130435,0.9130434782608695,0.9347826086956522,0.2717391304347826,0.46739130434782605
