_dir,bvs_li_proxy_score,migration_volume_fraction,tier2_dopant_blocking_fraction,tier2_li_li_disorder_std,cation_site,anion_site
Ag2O_x002,0.9193051249592367,0.1216,0.6363636363636364,0.1671971944393922,Li_24g,S_16e
Ag2O_x005,0.8693644983242963,0.149888,0.45454545454545453,0.3349150906751,Li_48h,S_4a
Ag2O_x010,0.8918359237241379,0.1408,0.45454545454545453,0.3346730799885096,Li_48h,S_4a
Al2O3_x002,0.9028225961393046,0.13056,0.7647058823529411,0.31037445778492034,Li_24g,S_16e
Al2O3_x005,0.8755542041095649,0.14528,0.7222222222222222,0.29363622037284837,Li_24g,S_16e
Al2O3_x010,0.883203570777829,0.140544,0.7647058823529411,0.3100890290039603,Li_24g,S_16e
AlF3_x002,0.8394486643438576,0.139584,0.8095238095238095,0.2791923848375988,Li_24g,Cl_4d
AlF3_x005,0.8427011478299853,0.132416,0.8095238095238095,0.2791902026818469,Li_24g,Cl_4d
AlF3_x010,0.8864835845598974,0.128128,0.8095238095238095,0.2791916740588235,Li_24g,Cl_4d
B2O3_x002,0.8454479784211832,0.146624,0.5882352941176471,0.19562558101315955,Li_24g,S_4a
B2O3_x005,0.8199254899596891,0.126592,0.5882352941176471,0.19543691642596542,Li_24g,S_4a
B2O3_x010,0.885870752730326,0.111488,0.8823529411764706,0.205592309233273,Li_24g,S_16e
BaO_x002,0.8662966652983136,0.13728,0.22727272727272727,0.16044068646991963,Li_24g,S_16e
BaO_x005,0.8893036602721138,0.131008,0.6363636363636364,0.26098475097715684,Li_24g,S_4a
BaO_x010,0.8726763118585528,0.134208,0.22727272727272727,0.1603791424684705,Li_24g,S_16e
CaF2_x002,0.8389360851706061,0.1376,0.5454545454545454,0.17582376219324677,Li_24g,Cl_4d
CaF2_x005,0.8773859987246604,0.135808,0.5454545454545454,0.290099804013538,Li_24g,Cl_4d
CaF2_x010,0.8925445088679643,0.150464,0.5,0.17697768497512475,Li_24g,Cl_4d
CaO_x002,0.8656428745031871,0.125312,0.5454545454545454,0.15124457757664048,Li_24g,S_16e
CaO_x005,0.926114739545142,0.14944,0.5454545454545454,0.15100081356086759,Li_24g,S_16e
CaO_x010,0.8782923547792776,0.12256,0.5,0.27599345363981503,Li_24g,S_4a
CoO_x002,0.8864679689585718,0.127744,0.5,0.26944788097025413,Li_24g,S_16e
CoO_x005,0.9116991933921438,0.121152,0.6363636363636364,0.279685072424233,Li_24g,S_4a
CoO_x010,0.8833525765926458,0.116736,0.6818181818181818,0.27685813514668717,Li_24g,S_4a
Cr2O3_x002,0.8852539133261641,0.122688,0.8888888888888888,0.22258636358782466,Li_24g,S_16e
Cr2O3_x005,0.9035289205945162,0.142272,0.8888888888888888,0.2859119595495157,Li_24g,S_4a
Cr2O3_x010,0.847542608220048,0.130688,0.8888888888888888,0.22140967858627275,Li_24g,S_16e
CrO3_x002,0.8811364199545039,0.140032,0.6666666666666666,0.31487472178891024,Li_24g,S_16e
CrO3_x005,0.866794583279684,0.121024,0.8888888888888888,0.3047619269164185,Li_24g,S_4a
CrO3_x010,0.8620538207482595,0.142976,0.8888888888888888,0.30475883916473157,Li_24g,S_4a
Cu2O_x002,0.8831351723528166,0.14912,0.5454545454545454,0.31132708770581946,Li_48h,S_4a
Cu2O_x005,0.9105732346956292,0.106496,0.6363636363636364,0.15694450767229115,Li_24g,S_16e
Cu2O_x010,0.8972448090262816,0.149504,0.6363636363636364,0.1569426931431881,Li_48h,S_16e
Fe2O3_x002,0.907085400951855,0.139968,0.9444444444444444,0.31892784987543144,Li_24g,S_4a
Fe2O3_x005,0.8826993988579057,0.145792,0.9444444444444444,0.320856904325226,Li_24g,S_4a
Fe2O3_x010,0.8688379304403617,0.131584,0.7777777777777778,0.32852050305254005,Li_24g,S_16e
Ga2O3_x002,0.8740823650467772,0.1424,0.6111111111111112,0.26719794844869993,Li_24g,S_4a
Ga2O3_x005,0.8551932368211986,0.15296,0.6111111111111112,0.2671958554931813,Li_24g,S_4a
Ga2O3_x010,0.8582593171462772,0.152576,0.6111111111111112,0.2671975030054587,Li_24g,S_4a
Gd2O3_x002,0.8548871918822906,0.151552,0.7777777777777778,0.22612967428408168,Li_24g,S_16e
Gd2O3_x005,0.8556729701312151,0.159104,0.6666666666666666,0.36298443413415454,Li_24g,S_4a
Gd2O3_x010,0.8721734965427583,0.15648,0.6666666666666666,0.3617662560575478,Li_24g,S_4a
GeO2_x002,0.8517188112746874,0.141568,0.56,0.2716917658683188,P_4b,S_4a
GeO2_x005,0.8296874153327851,0.132288,0.56,0.27063041759425416,P_4b,S_4a
GeO2_x010,0.8816898732452649,0.131136,0.56,0.26957398850634184,P_4b,S_4a
HfO2_x002,0.8580399134201557,0.132224,0.45,0.2632836275074617,Li_24g,S_4a
HfO2_x005,0.8597070822374197,0.128064,0.45,0.21221101934247097,Li_24g,S_16e
HfO2_x010,0.9036782431505191,0.130176,0.45,0.21224947002157585,Li_24g,S_16e
In2O3_x002,0.8976060278137398,0.154304,0.8333333333333334,0.3459194371196366,Li_24g,S_16e
In2O3_x005,0.8866126351611775,0.14016,0.8333333333333334,0.3466730644501317,Li_24g,S_16e
In2O3_x010,0.8119169015789107,0.135296,0.7222222222222222,0.23990296008492373,Li_24g,S_4a
La2O3_x002,0.876866173880359,0.129984,0.4444444444444444,0.18761303799836046,Li_24g,S_4a
La2O3_x005,0.8727019221337855,0.143104,0.4444444444444444,0.18761318111614408,Li_24g,S_4a
La2O3_x010,0.9183367824236892,0.136896,0.6666666666666666,0.2226445389682778,Li_24g,S_16e
LaF3_x002,0.8997740718466473,0.148672,0.5714285714285714,0.30144613513203466,Li_24g,Cl_4d
LaF3_x005,0.8784141393404007,0.148864,0.5714285714285714,0.3013585654144985,Li_24g,Cl_4d
LaF3_x010,0.8630729824153711,0.147072,0.5714285714285714,0.30148022844272215,Li_24g,Cl_4d
Li2O_x002,0.8769798563303621,0.127168,0.0,1.1492133741751082e-05,Li_24g,S_4a
Li2O_x005,0.8828273473070942,0.1456,0.125,0.15766584275174794,Li_48h,S_16e
Li2O_x010,0.8638333847847802,0.140672,0.0,1.3839529614926558e-05,Li_24g,S_4a
LiF_x002,0.901658178961285,0.113984,0.25,0.07487779188616438,Li_24g,Cl_4d
LiF_x005,0.8888590273693765,0.122624,0.25,0.07492842615025529,Li_48h,Cl_4d
LiF_x010,0.9073824667197485,0.118336,0.25,0.07524623897828717,Li_24g,Cl_4d
MgF2_x002,0.8804452521566803,0.142144,0.45454545454545453,0.22394046478848928,Li_24g,Cl_4d
MgF2_x005,0.86987270379174,0.132352,0.5,0.16576560056030912,Li_24g,Cl_4d
MgF2_x010,0.8198471157013807,0.146048,0.5,0.16780612055085434,Li_24g,Cl_4d
MgO_x002,0.8917001836574084,0.123904,0.47619047619047616,0.22541099280423407,Li_24g,S_16e
MgO_x005,0.9111734993417412,0.118656,0.47619047619047616,0.22550684480506406,Li_24g,S_16e
MgO_x010,0.8838292109823008,0.117568,0.3181818181818182,0.24494339639538773,Li_24g,S_4a
MnO_x002,0.8815737596574481,0.136832,0.5454545454545454,0.22645458345468839,Li_24g,S_16e
MnO_x005,0.8534832501199415,0.141184,0.5454545454545454,0.2264135595115351,Li_24g,S_16e
MnO_x010,0.8465079841491968,0.145152,0.5454545454545454,0.22640776235200916,Li_24g,S_16e
MoO3_x002,0.8766553934577902,0.15008,0.782608695652174,0.2028591883030547,P_4b,S_16e
MoO3_x005,0.8419100479418873,0.13536,0.5882352941176471,0.13952826012679997,Li_24g,S_16e
MoO3_x010,0.8938833319080877,0.126592,0.5882352941176471,0.14097457847172695,Li_24g,S_16e
Na2O_x002,0.8863619664404769,0.142528,0.36363636363636365,0.17448444028874807,Li_48h,S_4a
Na2O_x005,0.8623978763255843,0.151296,0.45454545454545453,0.15076776448975182,Li_24g,S_16e
Na2O_x010,0.8845496584858835,0.14112,0.36363636363636365,0.17449578646812874,Li_48h,S_4a
Nb2O5_x002,0.8759828539927187,0.162688,0.75,0.17933808238610424,P_4b,S_16e
Nb2O5_x005,0.9203230958067271,0.15232,0.75,0.17917541911891458,P_4b,S_16e
Nb2O5_x010,0.8834061241189538,0.163776,0.875,0.2711583975574226,P_4b,S_4a
Nd2O3_x002,0.827386148442842,0.128448,0.7647058823529411,0.3462195586435327,Li_24g,S_16e
Nd2O3_x005,0.9188736987119167,0.156672,0.8333333333333334,0.2771908385370459,Li_24g,S_16e
Nd2O3_x010,0.8717064537531786,0.134848,0.8333333333333334,0.2775728624591161,Li_24g,S_16e
NdF3_x002,0.9015944697100193,0.13632,0.7142857142857143,0.29208860202409753,Li_24g,Cl_4d
NdF3_x005,0.8566071998144886,0.149632,0.7142857142857143,0.29208655239692044,Li_24g,Cl_4d
NdF3_x010,0.9007058102838686,0.13056,0.7142857142857143,0.2922820386512021,Li_24g,Cl_4d
NiO_x002,0.8743532567937504,0.13248,0.36363636363636365,0.23000577947184386,Li_24g,S_4a
NiO_x005,0.9115430883801842,0.116096,0.5454545454545454,0.18916072905076922,Li_24g,S_16e
NiO_x010,0.8373964609903244,0.142016,0.36363636363636365,0.22853445875880646,Li_24g,S_4a
Sb2O5_x002,0.8894233022311775,0.146496,0.8333333333333334,0.19113069256762077,P_4b,S_16e
Sb2O5_x005,0.9251171074686404,0.141248,0.8333333333333334,0.19025693090373963,P_4b,S_16e
Sb2O5_x010,0.8895532072731401,0.157248,0.8333333333333334,0.190661168811934,P_4b,S_16e
Sc2O3_x002,0.8935658234845092,0.13184,0.7777777777777778,0.3340487556463844,Li_24g,S_16e
Sc2O3_x005,0.8655579913673321,0.13984,0.7777777777777778,0.3340572611775013,Li_24g,S_16e
Sc2O3_x010,0.906745894215563,0.12064,0.5882352941176471,0.3084196761847789,Li_24g,S_16e
ScF3_x002,0.8479858049678362,0.156864,0.8571428571428571,0.26664811064928445,Li_24g,Cl_4d
ScF3_x005,0.8932430564517394,0.135488,0.8571428571428571,0.2630568524072504,Li_24g,Cl_4d
ScF3_x010,0.8961793955337277,0.135936,0.8571428571428571,0.271266465957448,Li_24g,Cl_4d
SiO2_x002,0.8862659638856369,0.131776,0.48,0.24522379948358347,P_4b,S_4a
SiO2_x005,0.8684274609874305,0.130368,0.48,0.2451911306220533,P_4b,S_4a
SiO2_x010,0.8391657370143607,0.140992,0.52,0.1603451685771908,P_4b,S_16e
Sm2O3_x002,0.8340098373207683,0.13952,0.5882352941176471,0.25094582223724987,Li_24g,S_16e
Sm2O3_x005,0.8758892935389808,0.136768,0.8333333333333334,0.11332607679053062,Li_24g,S_16e
Sm2O3_x010,0.8781136225554439,0.13152,0.8333333333333334,0.1134860451787823,Li_24g,S_16e
SnO2_x002,0.8941875170511211,0.15296,0.4,0.16652726110367994,P_4b,S_4a
SnO2_x005,0.9078323265546988,0.143232,0.52,0.22549233260254598,P_4b,S_16e
SnO2_x010,0.8495408454379147,0.143488,0.4,0.1664212242342945,P_4b,S_4a
SrO_x002,0.8687833471441416,0.145152,0.18181818181818182,0.13364242215736483,Li_24g,S_4a
SrO_x005,0.8737186501819233,0.14752,0.18181818181818182,0.13370118675707185,Li_24g,S_4a
SrO_x010,0.883663869453715,0.109056,0.18181818181818182,0.133661921822505,Li_24g,S_4a
Ta2O5_x002,0.8910138162451064,0.150848,0.875,0.21750946573893898,P_4b,S_16e
Ta2O5_x005,0.8766314651493997,0.149376,0.75,0.2624078795640639,P_4b,S_4a
Ta2O5_x010,0.9027225798189294,0.150592,0.75,0.2610813459992899,P_4b,S_4a
TiF4_x002,0.8796564332197228,0.15264,0.92,0.16714820963610566,P_4b,Cl_4d
TiF4_x005,0.8728675710250262,0.160896,0.92,0.1663237084950591,P_4b,Cl_4d
TiF4_x010,0.8738398368034419,0.149376,0.92,0.16661689866015358,P_4b,Cl_4d
TiO2_x002,0.8751231198903243,0.140672,0.6,0.33816969792669727,P_4b,S_4a
TiO2_x005,0.8641447537388139,0.138496,0.56,0.2939552226541317,P_4b,S_4a
TiO2_x010,0.8698152898456901,0.14176,0.52,0.29814990655947077,P_4b,S_4a
V2O5_x002,0.8784614892995428,0.156288,1.0,0.1917307484364633,P_4b,S_16e
V2O5_x005,0.8693484040644983,0.146112,0.75,0.1731006047002399,P_4b,S_4a
V2O5_x010,0.8809688444182444,0.155712,1.0,0.19169513072515854,P_4b,S_16e
WO3_x002,0.8845766907312193,0.143232,0.5882352941176471,0.32007800287566335,Li_24g,S_16e
WO3_x005,0.8680055288237183,0.134016,0.5882352941176471,0.32003674907986585,Li_24g,S_16e
WO3_x010,0.8770673997955767,0.143296,0.7391304347826086,0.22318641812691303,P_4b,S_16e
Y2O3_x002,0.845773846033476,0.126528,0.6666666666666666,0.3661906555231561,Li_24g,S_4a
Y2O3_x005,0.9122550929192564,0.148544,0.8333333333333334,0.31119480161069124,Li_24g,S_16e
Y2O3_x010,0.8733934397971732,0.13632,0.7058823529411765,0.4481096576037619,Li_24g,S_4a
YF3_x002,0.842683687217517,0.144704,0.5714285714285714,0.17165447656818097,Li_24g,Cl_4d
YF3_x005,0.8823679659995394,0.150656,0.6923076923076923,0.14374909461224852,P_4b,Cl_4d
YF3_x010,0.875737126855625,0.14336,0.5714285714285714,0.17169248516351474,Li_24g,Cl_4d
ZnO_x002,0.8902037671136696,0.14112,0.42857142857142855,0.3367602265883179,Li_24g,S_4a
ZnO_x005,0.8632786904896266,0.12416,0.42857142857142855,0.3311531106359256,Li_24g,S_4a
ZnO_x010,0.8592667561843843,0.136384,0.36363636363636365,0.17520855227541307,Li_24g,S_16e
ZrF4_x002,0.8734289931341773,0.1488,0.8,0.2299345653425005,P_4b,Cl_4d
ZrF4_x005,0.8923616674869713,0.14656,0.85,0.17361022715674526,Li_24g,Cl_4d
ZrF4_x010,0.860068395371794,0.148736,0.8,0.2285402719328273,P_4b,Cl_4d
ZrO2_x002,0.8706537872362129,0.137152,0.52,0.21092601193814658,P_4b,S_4a
ZrO2_x005,0.9158720241094108,0.130624,0.4,0.19974654150781287,Li_24g,S_16e
ZrO2_x010,0.8520584755573966,0.128448,0.5,0.33757931993095375,Li_24g,S_4a
