freq_cm-1,phonon_DOS
375.000,0.535
376.000,0.540
377.000,0.547
378.000,0.554
379.000,0.563
380.000,0.573
381.000,0.584
382.000,0.595
383.000,0.607
384.000,0.618
385.000,0.630
386.000,0.640
387.000,0.650
388.000,0.659
389.000,0.666
390.000,0.671
391.000,0.675
392.000,0.677
393.000,0.677
394.000,0.676
395.000,0.673
396.000,0.669
397.000,0.664
398.000,0.659
399.000,0.653
400.000,0.647
401.000,0.641
402.000,0.635
403.000,0.629
404.000,0.623
405.000,0.618
406.000,0.613
407.000,0.608
408.000,0.604
409.000,0.599
410.000,0.594
411.000,0.588
412.000,0.582
413.000,0.576
414.000,0.569
415.000,0.562
416.000,0.554
417.000,0.545
418.000,0.537
419.000,0.528
420.000,0.518
421.000,0.509
422.000,0.500
423.000,0.490
424.000,0.481
425.000,0.472
426.000,0.463
427.000,0.455
428.000,0.447
429.000,0.439
430.000,0.432
431.000,0.425
432.000,0.419
433.000,0.414
434.000,0.409
435.000,0.404
436.000,0.401
437.000,0.398
438.000,0.395
439.000,0.393
440.000,0.392
441.000,0.391
442.000,0.390
443.000,0.390
444.000,0.389
445.000,0.389
446.000,0.388
447.000,0.386
448.000,0.383
449.000,0.380
450.000,0.376
451.000,0.370
452.000,0.363
453.000,0.355
454.000,0.345
455.000,0.334
456.000,0.323
457.000,0.310
458.000,0.297
459.000,0.284
460.000,0.271
461.000,0.258
462.000,0.245
463.000,0.233
464.000,0.223
465.000,0.213
466.000,0.205
467.000,0.198
468.000,0.192
469.000,0.187
470.000,0.184
471.000,0.181
472.000,0.179
473.000,0.177
474.000,0.176
475.000,0.174
476.000,0.173
477.000,0.172
478.000,0.171
479.000,0.169
480.000,0.168
481.000,0.167
482.000,0.166
483.000,0.165
484.000,0.164
485.000,0.164
486.000,0.164
487.000,0.164
488.000,0.164
489.000,0.165
490.000,0.165
491.000,0.166
492.000,0.167
493.000,0.168
494.000,0.168
495.000,0.169
496.000,0.170
497.000,0.171
498.000,0.172
499.000,0.174
500.000,0.175
501.000,0.178
502.000,0.180
503.000,0.184
504.000,0.188
505.000,0.192
506.000,0.197
507.000,0.202
508.000,0.208
509.000,0.214
510.000,0.221
511.000,0.227
512.000,0.234
513.000,0.241
514.000,0.248
515.000,0.256
516.000,0.263
517.000,0.271
518.000,0.280
519.000,0.289
520.000,0.298
521.000,0.308
522.000,0.319
523.000,0.331
524.000,0.343
525.000,0.356
526.000,0.370
527.000,0.383
528.000,0.396
529.000,0.409
530.000,0.422
531.000,0.433
532.000,0.442
533.000,0.449
534.000,0.455
535.000,0.457
536.000,0.457
537.000,0.454
538.000,0.448
539.000,0.439
540.000,0.428
541.000,0.414
542.000,0.399
543.000,0.382
544.000,0.364
545.000,0.346
546.000,0.328
547.000,0.310
548.000,0.294
549.000,0.279
550.000,0.266
551.000,0.255
552.000,0.246
553.000,0.240
554.000,0.236
555.000,0.234
556.000,0.235
557.000,0.237
558.000,0.241
559.000,0.246
560.000,0.252
561.000,0.258
562.000,0.264
563.000,0.269
564.000,0.274
565.000,0.277
566.000,0.279
567.000,0.278
568.000,0.276
569.000,0.272
570.000,0.266
571.000,0.258
572.000,0.249
573.000,0.238
574.000,0.226
575.000,0.213
576.000,0.199
577.000,0.185
578.000,0.171
579.000,0.157
580.000,0.144
581.000,0.131
582.000,0.118
583.000,0.106
584.000,0.095
585.000,0.085
586.000,0.075
587.000,0.066
588.000,0.058
589.000,0.051
590.000,0.044
591.000,0.038
592.000,0.033
593.000,0.028
594.000,0.023
595.000,0.020
596.000,0.016
597.000,0.013
598.000,0.011
599.000,0.009
600.000,0.008
601.000,0.006
602.000,0.006
603.000,0.005
604.000,0.005
605.000,0.005
606.000,0.005
607.000,0.006
608.000,0.007
609.000,0.008
610.000,0.010
611.000,0.012
612.000,0.014
613.000,0.017
614.000,0.019
615.000,0.022
616.000,0.025
617.000,0.028
618.000,0.031
619.000,0.034
620.000,0.036
621.000,0.039
622.000,0.041
623.000,0.042
624.000,0.044
625.000,0.044
626.000,0.044
627.000,0.044
628.000,0.043
629.000,0.041
630.000,0.040
631.000,0.037
632.000,0.035
633.000,0.032
634.000,0.029
635.000,0.026
636.000,0.023
637.000,0.020
638.000,0.017
639.000,0.015
640.000,0.013
641.000,0.010
642.000,0.009
643.000,0.007
644.000,0.006
645.000,0.004
646.000,0.003
647.000,0.003
648.000,0.002
649.000,0.002
650.000,0.001
651.000,0.001
652.000,0.001
653.000,0.000
654.000,0.000
655.000,0.000
656.000,0.000
657.000,0.000
658.000,0.000
659.000,0.000
660.000,0.000
661.000,0.000
662.000,0.000
663.000,0.000
664.000,0.000
665.000,0.000
666.000,0.000
667.000,0.000
668.000,0.000
669.000,0.000
670.000,0.000
671.000,0.000
672.000,0.000
673.000,0.000
674.000,0.000
675.000,0.000
676.000,0.000
677.000,0.000
678.000,0.000
679.000,0.000
680.000,0.000
681.000,0.000
682.000,0.000
683.000,0.000
684.000,0.000
685.000,0.000
686.000,0.000
687.000,0.000
688.000,0.000
689.000,0.000
690.000,0.000
691.000,0.000
692.000,0.000
693.000,0.000
694.000,0.000
695.000,0.000
696.000,0.000
697.000,0.000
698.000,0.000
699.000,0.000
700.000,0.000
701.000,0.000
702.000,0.000
703.000,0.000
704.000,0.000
705.000,0.000
706.000,0.000
707.000,0.000
708.000,0.000
709.000,0.000
