frame,t_ps,P_S,S_Li,P_Li,Li_penetrated,B_S,B_Li
0.000,0.000,3.250,3.707,0.500,61.000,3.000,1.000
1.000,0.200,3.250,3.659,0.875,62.000,3.000,1.500
2.000,0.400,3.250,3.756,0.625,61.000,3.000,2.000
3.000,0.600,3.250,3.707,1.000,61.000,3.000,2.000
4.000,0.800,3.250,3.780,1.375,61.000,3.000,1.500
5.000,1.000,3.250,3.683,0.875,62.000,3.000,0.500
6.000,1.200,3.250,3.878,1.000,61.000,3.000,3.000
7.000,1.400,3.250,3.780,0.750,62.000,3.000,1.500
8.000,1.600,3.250,3.683,1.125,62.000,3.000,1.500
9.000,1.800,3.250,3.902,0.750,61.000,3.000,1.500
10.000,2.000,3.250,3.610,1.000,61.000,3.000,1.500
11.000,2.200,3.250,3.683,1.125,61.000,3.000,1.500
12.000,2.400,3.250,3.780,0.625,62.000,3.000,2.000
13.000,2.600,3.250,3.732,1.125,62.000,3.000,1.000
14.000,2.800,3.125,3.780,0.875,63.000,3.000,1.000
15.000,3.000,3.125,3.707,1.125,62.000,3.000,0.500
16.000,3.200,3.125,3.732,1.375,62.000,3.000,1.500
17.000,3.400,3.125,3.683,1.375,62.000,3.000,1.000
18.000,3.600,3.125,3.610,1.250,62.000,3.000,1.500
19.000,3.800,3.000,3.854,1.125,64.000,3.000,2.000
20.000,4.000,3.000,3.805,1.500,64.000,3.000,1.500
21.000,4.200,3.000,3.732,1.500,63.000,3.000,2.500
22.000,4.400,3.000,3.829,1.750,63.000,3.000,1.500
23.000,4.600,3.000,3.951,1.500,64.000,3.000,1.000
24.000,4.800,3.000,3.707,1.500,64.000,3.000,2.000
25.000,5.000,3.000,3.951,1.375,63.000,3.000,2.000
26.000,5.200,3.000,3.780,1.750,63.000,3.000,1.500
27.000,5.400,3.000,4.024,1.500,64.000,3.000,2.500
28.000,5.600,3.000,3.976,1.500,63.000,3.000,1.500
29.000,5.800,3.000,3.829,1.625,63.000,3.000,2.500
30.000,6.000,3.000,3.902,1.250,63.000,3.000,1.000
31.000,6.200,3.000,3.902,1.625,64.000,3.000,1.000
32.000,6.400,3.000,3.951,1.625,65.000,3.000,2.000
33.000,6.600,3.000,4.049,1.500,65.000,3.000,2.000
34.000,6.800,3.000,4.073,1.375,63.000,3.000,2.000
35.000,7.000,3.000,3.951,1.750,64.000,3.000,2.500
36.000,7.200,3.000,3.829,1.625,63.000,3.000,1.000
37.000,7.400,3.000,4.000,1.250,64.000,3.000,1.500
38.000,7.600,3.000,3.878,1.375,65.000,3.000,3.000
39.000,7.800,3.000,3.951,1.625,64.000,3.000,2.500
40.000,8.000,3.000,3.805,1.875,64.000,3.000,0.500
41.000,8.200,3.000,3.756,1.875,64.000,3.000,0.500
42.000,8.400,3.000,3.951,1.500,64.000,3.000,1.500
43.000,8.600,3.000,3.927,1.125,64.000,3.000,2.000
44.000,8.800,3.000,3.927,1.375,65.000,3.000,0.500
45.000,9.000,3.000,3.951,1.500,65.000,3.000,1.500
46.000,9.200,3.000,4.073,1.750,65.000,3.000,0.500
47.000,9.400,3.000,3.976,1.250,65.000,3.000,1.500
48.000,9.600,3.000,3.951,1.000,64.000,3.000,1.500
49.000,9.800,3.000,4.073,1.500,63.000,3.000,1.500
50.000,10.000,3.000,4.024,1.375,64.000,3.000,1.500
51.000,10.200,3.000,4.146,1.375,64.000,3.000,1.500
52.000,10.400,3.000,3.927,1.250,65.000,3.000,1.500
53.000,10.600,3.000,3.854,1.375,66.000,3.000,0.500
54.000,10.800,3.000,4.000,1.750,66.000,3.000,1.500
55.000,11.000,3.000,3.854,1.375,65.000,3.000,1.000
56.000,11.200,3.000,4.073,1.375,66.000,3.000,1.000
57.000,11.400,3.000,4.049,1.500,66.000,3.000,1.000
58.000,11.600,3.000,4.098,1.250,66.000,3.000,2.500
59.000,11.800,3.000,4.073,1.125,65.000,3.000,1.500
60.000,12.000,3.000,3.951,1.625,66.000,3.000,1.000
61.000,12.200,3.000,3.927,1.125,65.000,3.000,3.500
62.000,12.400,3.000,4.000,1.375,66.000,3.000,1.000
63.000,12.600,3.000,4.098,1.500,65.000,3.000,1.500
64.000,12.800,3.000,4.000,1.250,64.000,3.000,2.000
65.000,13.000,3.000,4.024,1.500,65.000,3.000,1.000
66.000,13.200,3.000,4.049,1.625,66.000,3.000,0.500
67.000,13.400,3.000,3.976,1.625,66.000,3.000,3.000
68.000,13.600,3.000,4.073,1.375,66.000,3.000,1.000
69.000,13.800,3.000,4.098,1.625,66.000,3.000,1.500
70.000,14.000,3.000,3.927,1.375,66.000,3.000,1.500
71.000,14.200,3.000,4.122,1.500,66.000,3.000,3.500
72.000,14.400,3.000,4.122,1.875,66.000,3.000,2.000
73.000,14.600,3.000,4.073,1.500,65.000,3.000,2.000
74.000,14.800,3.000,4.098,1.625,65.000,3.000,1.000
75.000,15.000,3.000,4.171,1.375,66.000,3.000,1.000
76.000,15.200,3.000,4.000,1.375,66.000,3.000,1.500
77.000,15.400,3.000,4.098,1.625,65.000,3.000,1.500
78.000,15.600,3.000,3.902,1.375,66.000,3.000,2.000
79.000,15.800,3.000,4.049,1.500,66.000,3.000,2.500
80.000,16.000,3.000,3.902,2.125,65.000,3.000,2.000
81.000,16.200,3.000,4.024,1.625,64.000,3.000,2.000
82.000,16.400,3.000,3.976,2.000,66.000,3.000,2.000
83.000,16.600,3.000,4.122,1.375,66.000,3.000,3.500
84.000,16.800,3.000,4.073,1.625,65.000,3.000,3.000
85.000,17.000,3.000,4.049,1.375,66.000,3.000,2.000
86.000,17.200,3.000,4.049,1.250,66.000,3.000,2.000
87.000,17.400,3.000,3.976,1.500,66.000,3.000,1.000
88.000,17.600,3.000,3.829,1.500,66.000,3.000,1.000
