# LPSCl1.6 (= undoped Li5.4PS4.4Cl1.6) total DOS, VBM-aligned (E-VBM), states/eV, Gaussian sigma=0.15 eV
E_minus_VBM,total_DOS
-4.5000,27.5145
-4.4900,26.4745
-4.4800,25.4186
-4.4700,24.3511
-4.4600,23.2767
-4.4500,22.1997
-4.4400,21.1249
-4.4300,20.0568
-4.4200,18.9995
-4.4100,17.9573
-4.4000,16.9345
-4.3900,15.9351
-4.3800,14.9633
-4.3700,14.0225
-4.3600,13.1162
-4.3500,12.2479
-4.3400,11.4203
-4.3300,10.6360
-4.3200,9.8978
-4.3100,9.2074
-4.3000,8.5669
-4.2900,7.9774
-4.2800,7.4397
-4.2700,6.9550
-4.2600,6.5234
-4.2500,6.1453
-4.2400,5.8201
-4.2300,5.5475
-4.2200,5.3265
-4.2100,5.1560
-4.2000,5.0345
-4.1900,4.9606
-4.1800,4.9327
-4.1700,4.9490
-4.1600,5.0068
-4.1500,5.1044
-4.1400,5.2397
-4.1300,5.4105
-4.1200,5.6145
-4.1100,5.8500
-4.1000,6.1150
-4.0900,6.4072
-4.0800,6.7250
-4.0700,7.0674
-4.0600,7.4323
-4.0500,7.8190
-4.0400,8.2269
-4.0300,8.6547
-4.0200,9.1022
-4.0100,9.5691
-4.0000,10.0555
-3.9900,10.5624
-3.9800,11.0893
-3.9700,11.6371
-3.9600,12.2064
-3.9500,12.7977
-3.9400,13.4129
-3.9300,14.0516
-3.9200,14.7155
-3.9100,15.4049
-3.9000,16.1214
-3.8900,16.8641
-3.8800,17.6344
-3.8700,18.4323
-3.8600,19.2577
-3.8500,20.1100
-3.8400,20.9893
-3.8300,21.8956
-3.8200,22.8269
-3.8100,23.7825
-3.8000,24.7604
-3.7900,25.7593
-3.7800,26.7774
-3.7700,27.8129
-3.7600,28.8639
-3.7500,29.9278
-3.7400,31.0027
-3.7300,32.0870
-3.7200,33.1770
-3.7100,34.2713
-3.7000,35.3675
-3.6900,36.4638
-3.6800,37.5581
-3.6700,38.6486
-3.6600,39.7334
-3.6500,40.8112
-3.6400,41.8804
-3.6300,42.9397
-3.6200,43.9878
-3.6100,45.0233
-3.6000,46.0454
-3.5900,47.0532
-3.5800,48.0455
-3.5700,49.0212
-3.5600,49.9792
-3.5500,50.9183
-3.5400,51.8374
-3.5300,52.7349
-3.5200,53.6092
-3.5100,54.4587
-3.5000,55.2814
-3.4900,56.0753
-3.4800,56.8380
-3.4700,57.5670
-3.4600,58.2598
-3.4500,58.9134
-3.4400,59.5250
-3.4300,60.0915
-3.4200,60.6097
-3.4100,61.0766
-3.4000,61.4891
-3.3900,61.8443
-3.3800,62.1391
-3.3700,62.3707
-3.3600,62.5372
-3.3500,62.6357
-3.3400,62.6641
-3.3300,62.6209
-3.3200,62.5045
-3.3100,62.3139
-3.3000,62.0483
-3.2900,61.7075
-3.2800,61.2916
-3.2700,60.8009
-3.2600,60.2363
-3.2500,59.5990
-3.2400,58.8904
-3.2300,58.1121
-3.2200,57.2665
-3.2100,56.3563
-3.2000,55.3839
-3.1900,54.3525
-3.1800,53.2649
-3.1700,52.1243
-3.1600,50.9347
-3.1500,49.6996
-3.1400,48.4231
-3.1300,47.1091
-3.1200,45.7614
-3.1100,44.3842
-3.1000,42.9821
-3.0900,41.5593
-3.0800,40.1203
-3.0700,38.6698
-3.0600,37.2123
-3.0500,35.7526
-3.0400,34.2954
-3.0300,32.8458
-3.0200,31.4080
-3.0100,29.9873
-3.0000,28.5881
-2.9900,27.2153
-2.9800,25.8734
-2.9700,24.5669
-2.9600,23.3003
-2.9500,22.0783
-2.9400,20.9048
-2.9300,19.7834
-2.9200,18.7178
-2.9100,17.7116
-2.9000,16.7674
-2.8900,15.8880
-2.8800,15.0765
-2.8700,14.3345
-2.8600,13.6635
-2.8500,13.0651
-2.8400,12.5404
-2.8300,12.0895
-2.8200,11.7127
-2.8100,11.4103
-2.8000,11.1816
-2.7900,11.0252
-2.7800,10.9398
-2.7700,10.9249
-2.7600,10.9781
-2.7500,11.0976
-2.7400,11.2812
-2.7300,11.5258
-2.7200,11.8301
-2.7100,12.1908
-2.7000,12.6053
-2.6900,13.0704
-2.6800,13.5844
-2.6700,14.1434
-2.6600,14.7448
-2.6500,15.3860
-2.6400,16.0643
-2.6300,16.7764
-2.6200,17.5191
-2.6100,18.2911
-2.6000,19.0891
-2.5900,19.9112
-2.5800,20.7545
-2.5700,21.6167
-2.5600,22.4952
-2.5500,23.3880
-2.5400,24.2935
-2.5300,25.2096
-2.5200,26.1337
-2.5100,27.0654
-2.5000,28.0023
-2.4900,28.9429
-2.4800,29.8854
-2.4700,30.8287
-2.4600,31.7714
-2.4500,32.7121
-2.4400,33.6495
-2.4300,34.5825
-2.4200,35.5098
-2.4100,36.4304
-2.4000,37.3432
-2.3900,38.2470
-2.3800,39.1401
-2.3700,40.0213
-2.3600,40.8896
-2.3500,41.7434
-2.3400,42.5811
-2.3300,43.4011
-2.3200,44.2015
-2.3100,44.9804
-2.3000,45.7358
-2.2900,46.4656
-2.2800,47.1678
-2.2700,47.8401
-2.2600,48.4802
-2.2500,49.0857
-2.2400,49.6544
-2.2300,50.1841
-2.2200,50.6726
-2.2100,51.1179
-2.2000,51.5180
-2.1900,51.8711
-2.1800,52.1759
-2.1700,52.4311
-2.1600,52.6356
-2.1500,52.7889
-2.1400,52.8906
-2.1300,52.9408
-2.1200,52.9398
-2.1100,52.8883
-2.1000,52.7875
-2.0900,52.6389
-2.0800,52.4441
-2.0700,52.2053
-2.0600,51.9250
-2.0500,51.6057
-2.0400,51.2504
-2.0300,50.8623
-2.0200,50.4445
-2.0100,50.0004
-2.0000,49.5337
-1.9900,49.0476
-1.9800,48.5459
-1.9700,48.0318
-1.9600,47.5087
-1.9500,46.9798
-1.9400,46.4483
-1.9300,45.9170
-1.9200,45.3888
-1.9100,44.8664
-1.9000,44.3521
-1.8900,43.8475
-1.8800,43.3549
-1.8700,42.8756
-1.8600,42.4108
-1.8500,41.9614
-1.8400,41.5282
-1.8300,41.1117
-1.8200,40.7119
-1.8100,40.3292
-1.8000,39.9631
-1.7900,39.6134
-1.7800,39.2795
-1.7700,38.9605
-1.7600,38.6555
-1.7500,38.3635
-1.7400,38.0838
-1.7300,37.8150
-1.7200,37.5561
-1.7100,37.3060
-1.7000,37.0637
-1.6900,36.8282
-1.6800,36.5988
-1.6700,36.3743
-1.6600,36.1543
-1.6500,35.9385
-1.6400,35.7266
-1.6300,35.5183
-1.6200,35.3140
-1.6100,35.1144
-1.6000,34.9198
-1.5900,34.7309
-1.5800,34.5497
-1.5700,34.3770
-1.5600,34.2141
-1.5500,34.0634
-1.5400,33.9266
-1.5300,33.8056
-1.5200,33.7028
-1.5100,33.6205
-1.5000,33.5607
-1.4900,33.5261
-1.4800,33.5185
-1.4700,33.5402
-1.4600,33.5932
-1.4500,33.6795
-1.4400,33.8002
-1.4300,33.9571
-1.4200,34.1511
-1.4100,34.3832
-1.4000,34.6536
-1.3900,34.9629
-1.3800,35.3107
-1.3700,35.6966
-1.3600,36.1200
-1.3500,36.5797
-1.3400,37.0742
-1.3300,37.6020
-1.3200,38.1610
-1.3100,38.7492
-1.3000,39.3640
-1.2900,40.0030
-1.2800,40.6633
-1.2700,41.3424
-1.2600,42.0370
-1.2500,42.7443
-1.2400,43.4613
-1.2300,44.1850
-1.2200,44.9125
-1.2100,45.6407
-1.2000,46.3668
-1.1900,47.0878
-1.1800,47.8010
-1.1700,48.5040
-1.1600,49.1941
-1.1500,49.8686
-1.1400,50.5253
-1.1300,51.1618
-1.1200,51.7761
-1.1100,52.3659
-1.1000,52.9291
-1.0900,53.4639
-1.0800,53.9681
-1.0700,54.4399
-1.0600,54.8774
-1.0500,55.2789
-1.0400,55.6427
-1.0300,55.9669
-1.0200,56.2498
-1.0100,56.4899
-1.0000,56.6853
-0.9900,56.8347
-0.9800,56.9365
-0.9700,56.9892
-0.9600,56.9914
-0.9500,56.9419
-0.9400,56.8396
