# Step 4 — pool size vs score (seminar 2026-08).
# n_structures = how many candidate structures that species produced (15-150).
# The two Y columns move in OPPOSITE directions with n: champion r=+0.32,
#   median r=-0.21. That gap is the best-of-N sampling bias, not chemistry.
# Origin: XY scatter, two Y series, add a linear fit line to each.
species,n_structures,champion_score,median_score
AlF3,15,0.7000,0.3480
AlI3,15,0.7000,0.6297
AlN,15,0.7000,0.4022
Ca3N2,15,0.7000,0.3562
CaF2,15,0.7000,0.4272
GaN,15,0.7000,0.6167
LaF3,15,0.7000,0.4104
Mg3N2,15,0.7000,0.3609
MgF2,15,0.7000,0.4133
MgI2,15,0.7000,0.5073
NbCl5,15,0.7000,0.5049
NdF3,15,0.7000,0.5183
ScF3,15,0.7000,0.3477
TaCl5,15,0.7000,0.3812
TiF4,15,0.7000,0.4621
AlBr3,30,0.7682,0.4001
AlCl3,30,0.8500,0.3574
BaCl2,30,0.8500,0.3763
BaO,30,0.8500,0.2747
CaBr2,30,0.8500,0.4132
CaCl2,30,0.8500,0.3699
CaO,30,0.8500,0.3046
CoO,30,0.8500,0.3479
Cr2O3,30,0.8500,0.3211
CrCl3,30,0.8500,0.4174
CrO3,30,0.8500,0.3102
Fe2O3,30,0.8500,0.3393
FeCl3,30,0.8500,0.3852
Ga2O3,30,0.5644,0.3658
GaCl3,30,0.7175,0.3023
Gd2O3,30,0.7907,0.3583
GeO2,30,0.7345,0.3326
In2O3,30,0.8500,0.3537
LaCl3,30,0.8500,0.4512
Li3N,30,0.8500,0.1506
LiF,30,0.8500,0.1500
LiI,30,0.8500,0.4852
MgBr2,30,0.8500,0.4315
MgCl2,30,0.8500,0.4206
MnO,30,0.8500,0.3050
NaI,30,0.8500,0.2225
Nb2O5,30,0.8500,0.3784
NdCl3,30,0.8500,0.3265
NiO,30,0.8500,0.3666
Sb2O5,30,0.8500,0.3656
ScCl3,30,0.8500,0.4514
SiO2,30,0.8500,0.3866
SmCl3,30,0.8500,0.3264
SnO2,30,0.8500,0.4206
SrCl2,30,0.8500,0.3616
SrO,30,0.8500,0.2800
Ta2O5,30,0.7704,0.4427
TiCl4,30,0.8462,0.4462
TiO2,30,0.8500,0.4343
V2O5,30,0.8500,0.4491
YF3,30,0.8500,0.3909
ZrF4,30,0.5708,0.3913
Al2S3,45,0.8500,0.3325
CaS,45,0.8500,0.2267
Ga2S3,45,0.8500,0.1950
GeS2,45,0.8500,0.2025
MgS,45,0.8500,0.2897
Sb2S3,45,0.8286,0.2632
SiS2,45,0.8500,0.2405
SnS2,45,0.8356,0.2984
Ag2O,60,0.8500,0.3461
Al2O3,60,0.8500,0.4036
B2O3,60,0.8500,0.3311
Cu2O,60,0.8500,0.3494
HfCl4,60,0.8500,0.3739
HfO2,60,0.6844,0.3707
La2O3,60,0.7923,0.4234
Li2O,60,0.8500,0.4838
LiBr,60,0.8500,0.4771
LiCl,60,0.8500,0.1918
MoO3,60,0.8097,0.3481
Na2O,60,0.8259,0.3393
Nd2O3,60,0.8355,0.3861
Sc2O3,60,0.7989,0.3727
Sm2O3,60,0.7745,0.3245
WO3,60,0.8500,0.3740
YCl3,60,0.8500,0.3923
ZrBr4,60,0.8107,0.3732
ZrCl4,60,0.7572,0.3828
ZrO2,60,0.8500,0.4194
Li2S,90,0.8500,0.1500
Na2S,90,0.8500,0.2894
Y2O3,90,0.7409,0.4721
MgO,150,0.8500,0.3179
ZnO,150,0.8338,0.3969
