# LPSOCl (O-doped LPSCl1.6 modelC) DFT equation of state (QE PBE) + Birch-Murnaghan 3rd-order fit (ASE)
# B0=24.71 GPa  V0=1204.51 A3  B0'=0.50(ill-constrained)  E0=-1280.520622 Ry  fitRMS=4.42 meV  (7 pts, all bfgs-converged)
# reference: undoped modelC (DFT BM-EOS) B0=21.7 GPa ; B2O3-doped 24.48 -> O doping stiffens +3.0 GPa (+14%), matches B2O3 route
# kind: data = DFT-computed point ; fit = BM3 curve
kind,x_scale,volume_A3,volume_bohr3,E_Ry,E_minus_E0_meV
data,0.94,1129.020,7619.000,-1280.49294000,376.633
data,0.96,1153.050,7781.162,-1280.50817300,169.377
data,0.98,1177.060,7943.189,-1280.51710700,47.824
data,1.0,1201.070,8105.217,-1280.52026700,4.830
data,1.02,1225.100,8267.379,-1280.51834800,30.939
data,1.04,1249.110,8429.406,-1280.51208600,116.138
data,1.06,1273.150,8591.636,-1280.49887900,295.829
fit,,1120.000,7558.130,-1280.48599180,471.168
fit,,1120.814,7563.623,-1280.48666365,462.027
fit,,1121.628,7569.117,-1280.48732881,452.977
fit,,1122.442,7574.610,-1280.48798728,444.018
fit,,1123.256,7580.104,-1280.48863906,435.150
fit,,1124.070,7585.598,-1280.48928415,426.373
fit,,1124.884,7591.091,-1280.48992257,417.687
fit,,1125.698,7596.585,-1280.49055430,409.092
fit,,1126.513,7602.079,-1280.49117935,400.588
fit,,1127.327,7607.572,-1280.49179773,392.174
fit,,1128.141,7613.066,-1280.49240943,383.852
fit,,1128.955,7618.559,-1280.49301446,375.620
fit,,1129.769,7624.053,-1280.49361282,367.479
fit,,1130.583,7629.547,-1280.49420451,359.428
fit,,1131.397,7635.040,-1280.49478954,351.468
fit,,1132.211,7640.534,-1280.49536791,343.599
fit,,1133.025,7646.027,-1280.49593962,335.821
fit,,1133.839,7651.521,-1280.49650467,328.133
fit,,1134.653,7657.015,-1280.49706306,320.536
fit,,1135.467,7662.508,-1280.49761481,313.029
fit,,1136.281,7668.002,-1280.49815991,305.612
fit,,1137.095,7673.496,-1280.49869836,298.286
fit,,1137.910,7678.989,-1280.49923017,291.051
fit,,1138.724,7684.483,-1280.49975534,283.905
fit,,1139.538,7689.976,-1280.50027387,276.850
fit,,1140.352,7695.470,-1280.50078577,269.886
fit,,1141.166,7700.964,-1280.50129104,263.011
fit,,1141.980,7706.457,-1280.50178969,256.227
fit,,1142.794,7711.951,-1280.50228171,249.532
fit,,1143.608,7717.444,-1280.50276711,242.928
fit,,1144.422,7722.938,-1280.50324590,236.414
fit,,1145.236,7728.432,-1280.50371807,229.990
fit,,1146.050,7733.925,-1280.50418363,223.655
fit,,1146.864,7739.419,-1280.50464259,217.411
fit,,1147.678,7744.913,-1280.50509495,211.256
fit,,1148.492,7750.406,-1280.50554071,205.191
fit,,1149.307,7755.900,-1280.50597987,199.216
fit,,1150.121,7761.393,-1280.50641245,193.331
fit,,1150.935,7766.887,-1280.50683843,187.535
fit,,1151.749,7772.381,-1280.50725784,181.829
fit,,1152.563,7777.874,-1280.50767066,176.212
fit,,1153.377,7783.368,-1280.50807691,170.685
fit,,1154.191,7788.861,-1280.50847659,165.247
fit,,1155.005,7794.355,-1280.50886970,159.898
fit,,1155.819,7799.849,-1280.50925625,154.639
fit,,1156.633,7805.342,-1280.50963624,149.469
fit,,1157.447,7810.836,-1280.51000968,144.388
fit,,1158.261,7816.330,-1280.51037657,139.396
fit,,1159.075,7821.823,-1280.51073691,134.493
fit,,1159.889,7827.317,-1280.51109071,129.680
fit,,1160.704,7832.810,-1280.51143798,124.955
fit,,1161.518,7838.304,-1280.51177871,120.319
fit,,1162.332,7843.798,-1280.51211291,115.772
fit,,1163.146,7849.291,-1280.51244060,111.314
fit,,1163.960,7854.785,-1280.51276176,106.944
fit,,1164.774,7860.278,-1280.51307641,102.663
fit,,1165.588,7865.772,-1280.51338455,98.471
fit,,1166.402,7871.266,-1280.51368618,94.367
fit,,1167.216,7876.759,-1280.51398132,90.351
fit,,1168.030,7882.253,-1280.51426996,86.424
fit,,1168.844,7887.747,-1280.51455211,82.585
fit,,1169.658,7893.240,-1280.51482778,78.834
fit,,1170.472,7898.734,-1280.51509696,75.172
fit,,1171.286,7904.227,-1280.51535967,71.598
fit,,1172.101,7909.721,-1280.51561591,68.111
fit,,1172.915,7915.215,-1280.51586569,64.713
fit,,1173.729,7920.708,-1280.51610900,61.402
fit,,1174.543,7926.202,-1280.51634586,58.180
fit,,1175.357,7931.695,-1280.51657627,55.045
fit,,1176.171,7937.189,-1280.51680024,51.998
fit,,1176.985,7942.683,-1280.51701776,49.038
fit,,1177.799,7948.176,-1280.51722886,46.166
fit,,1178.613,7953.670,-1280.51743352,43.381
fit,,1179.427,7959.164,-1280.51763176,40.684
fit,,1180.241,7964.657,-1280.51782358,38.074
fit,,1181.055,7970.151,-1280.51800899,35.552
fit,,1181.869,7975.644,-1280.51818799,33.116
fit,,1182.683,7981.138,-1280.51836059,30.768
fit,,1183.497,7986.632,-1280.51852680,28.507
fit,,1184.312,7992.125,-1280.51868661,26.332
fit,,1185.126,7997.619,-1280.51884004,24.245
fit,,1185.940,8003.112,-1280.51898709,22.244
fit,,1186.754,8008.606,-1280.51912776,20.330
fit,,1187.568,8014.100,-1280.51926207,18.503
fit,,1188.382,8019.593,-1280.51939002,16.762
fit,,1189.196,8025.087,-1280.51951160,15.108
fit,,1190.010,8030.581,-1280.51962684,13.540
fit,,1190.824,8036.074,-1280.51973573,12.058
fit,,1191.638,8041.568,-1280.51983829,10.663
fit,,1192.452,8047.061,-1280.51993451,9.354
fit,,1193.266,8052.555,-1280.52002440,8.131
fit,,1194.080,8058.049,-1280.52010797,6.994
fit,,1194.894,8063.542,-1280.52018523,5.943
fit,,1195.709,8069.036,-1280.52025617,4.977
fit,,1196.523,8074.529,-1280.52032081,4.098
fit,,1197.337,8080.023,-1280.52037916,3.304
fit,,1198.151,8085.517,-1280.52043121,2.596
fit,,1198.965,8091.010,-1280.52047698,1.973
fit,,1199.779,8096.504,-1280.52051647,1.436
fit,,1200.593,8101.998,-1280.52054969,0.984
fit,,1201.407,8107.491,-1280.52057664,0.617
fit,,1202.221,8112.985,-1280.52059732,0.336
fit,,1203.035,8118.478,-1280.52061176,0.139
fit,,1203.849,8123.972,-1280.52061995,0.028
fit,,1204.663,8129.466,-1280.52062189,0.002
fit,,1205.477,8134.959,-1280.52061760,0.060
fit,,1206.291,8140.453,-1280.52060708,0.203
