phonon_freq_cm-1 (neg=imaginary)
-0.10
-0.10
0.10
13.70
14.80
15.30
16.40
25.40
26.90
28.90
29.60
31.00
32.50
34.30
41.40
43.20
44.00
45.50
48.10
50.00
51.90
52.50
53.70
54.60
56.10
57.60
60.60
62.00
65.10
67.10
68.90
69.80
72.40
73.30
74.30
75.40
76.40
77.80
78.30
79.10
81.00
81.50
83.20
83.50
84.60
85.60
86.50
87.00
88.00
88.70
91.10
92.20
93.80
94.30
95.50
97.50
98.00
100.00
100.40
101.40
102.30
102.60
103.10
103.60
103.90
104.40
105.20
107.30
109.70
110.50
112.40
113.10
114.50
115.10
115.80
118.10
118.60
119.50
120.10
120.60
120.80
122.30
122.80
123.50
124.10
124.70
125.30
126.30
126.90
127.80
129.50
130.10
130.90
131.50
133.40
133.60
134.10
134.80
135.50
136.00
136.60
138.00
138.60
139.20
140.70
141.30
141.40
141.60
142.00
142.80
144.10
145.50
145.90
147.20
147.40
148.50
149.20
149.30
151.50
151.90
152.70
156.80
157.50
157.70
159.60
161.00
164.60
167.20
168.30
168.70
169.00
170.50
171.60
173.60
175.00
175.60
176.50
177.30
177.90
178.40
180.50
181.00
182.00
182.50
185.00
185.90
188.40
189.40
190.90
191.40
192.30
193.20
194.80
196.50
196.80
198.60
199.70
200.10
202.90
203.50
203.80
205.70
208.20
209.80
210.50
212.60
214.40
215.00
217.00
218.70
220.30
221.00
223.00
223.70
225.20
225.40
226.20
227.90
228.10
229.80
231.20
232.00
232.70
233.90
234.60
235.00
235.50
237.60
238.10
240.00
242.20
243.60
244.10
245.40
246.00
247.30
249.50
251.60
251.80
253.20
254.80
255.00
257.30
257.90
259.70
260.70
261.00
262.00
262.70
263.20
264.50
265.00
266.10
266.80
267.60
268.50
269.00
269.80
270.60
271.60
272.70
272.80
275.00
275.30
275.90
277.10
277.80
278.00
280.30
282.40
283.20
284.30
284.40
285.70
286.00
286.70
288.00
290.90
291.40
292.80
293.20
294.80
295.90
296.20
297.70
298.80
299.40
301.10
302.30
304.00
306.30
308.40
309.20
310.30
311.90
312.60
313.00
314.10
314.80
315.70
317.30
317.70
318.30
320.40
322.60
323.40
324.50
326.00
326.90
328.70
330.80
331.70
331.90
332.40
334.50
336.20
337.40
337.90
338.00
342.10
342.80
343.20
344.20
344.60
346.80
348.40
349.20
350.10
351.30
352.70
356.70
358.10
359.90
360.40
362.60
365.40
366.50
366.60
370.50
371.30
374.30
376.70
379.50
380.40
382.60
384.90
385.80
388.40
389.90
389.90
391.30
392.30
393.80
393.90
394.40
395.50
398.20
401.40
404.60
404.90
406.60
407.50
408.90
411.50
412.10
414.40
415.30
416.70
419.10
421.30
423.50
426.60
428.20
429.20
432.10
435.50
438.20
440.30
444.80
446.60
448.00
451.40
452.80
456.00
457.90
458.20
473.70
475.50
476.80
490.80
492.50
497.20
509.20
509.70
513.90
520.30
520.80
524.80
531.50
532.40
534.10
535.50
536.40
537.50
538.10
538.60
542.30
544.90
552.40
562.50
564.40
566.60
567.70
570.00
571.30
582.20
625.70
788.70
822.30
858.60
871.90
924.80
962.20
1013.40
