frame,t_ps,P_S,S_Li,P_Li,Li_penetrated,P_O,O_Li
0.000,0.000,3.200,3.714,2.000,30.000,1.000,2.000
1.000,0.200,3.200,3.762,2.000,31.000,1.000,2.000
2.000,0.400,3.200,3.619,2.000,32.000,1.000,2.000
3.000,0.600,3.200,3.810,2.000,32.000,1.000,2.000
4.000,0.800,3.200,3.810,1.400,32.000,1.000,2.000
5.000,1.000,3.200,3.762,2.000,31.000,1.000,2.000
6.000,1.200,3.200,3.667,2.200,31.000,1.000,2.000
7.000,1.400,3.200,3.571,1.800,31.000,1.000,1.000
8.000,1.600,3.200,3.857,1.800,31.000,1.000,2.000
9.000,1.800,3.200,3.857,1.000,31.000,1.000,2.000
10.000,2.000,3.200,3.905,1.800,32.000,1.000,2.000
11.000,2.200,3.200,3.571,1.800,31.000,1.000,2.000
12.000,2.400,3.200,3.952,2.000,31.000,1.000,2.000
13.000,2.600,3.200,3.905,2.000,31.000,1.000,2.000
14.000,2.800,3.200,3.810,2.000,31.000,1.000,2.000
15.000,3.000,3.200,3.857,1.600,31.000,1.000,2.000
16.000,3.200,3.200,3.905,2.400,31.000,1.000,2.000
17.000,3.400,3.200,4.048,2.000,31.000,1.000,2.000
18.000,3.600,3.200,4.095,2.000,32.000,1.000,2.000
19.000,3.800,3.200,3.762,2.000,31.000,1.000,2.000
20.000,4.000,3.200,3.667,1.600,31.000,1.000,2.000
21.000,4.200,3.200,3.905,1.600,32.000,1.000,2.000
22.000,4.400,3.200,3.952,1.600,32.000,1.000,2.000
23.000,4.600,3.200,3.857,1.800,31.000,1.000,1.000
24.000,4.800,3.000,3.667,1.800,31.000,1.000,2.000
25.000,5.000,3.000,3.952,2.400,32.000,1.000,2.000
26.000,5.200,3.000,3.714,2.000,32.000,1.000,2.000
27.000,5.400,3.000,4.000,2.200,33.000,1.000,2.000
28.000,5.600,3.000,4.095,2.200,35.000,1.000,2.000
29.000,5.800,3.000,4.095,2.800,34.000,1.000,2.000
30.000,6.000,3.000,4.048,3.000,33.000,1.000,3.000
31.000,6.200,3.000,3.762,2.400,34.000,1.000,2.000
32.000,6.400,3.000,3.857,1.600,32.000,1.000,2.000
33.000,6.600,3.000,4.048,2.000,32.000,1.000,2.000
34.000,6.800,3.000,3.857,1.800,33.000,1.000,2.000
35.000,7.000,3.000,4.000,2.400,34.000,1.000,2.000
36.000,7.200,3.000,3.952,2.200,33.000,1.000,2.000
37.000,7.400,3.000,3.952,2.400,33.000,1.000,2.000
38.000,7.600,3.000,3.905,2.200,34.000,1.000,2.000
39.000,7.800,3.000,4.286,2.000,32.000,1.000,2.000
40.000,8.000,3.000,3.857,2.000,34.000,1.000,2.000
