dopant,oxidation_onset_V_MP_grand_potential,ox_composition_family,ox_family_confounded,plain_champion_exists,host_oxidation_onset_V,delta_oxidation_vs_host_V,bvs_li_proxy_score_x005_nominal,bvs_equivalent_G4_cut,transport_norm_BVSE_derived,blocking_fraction_x005_nominal,G4_pass,G4_fail_mode,dft_deep
Cr2O3,2.356,plain,0,1,2.14,0.21599999999999975,0.9035289205945162,0.8435231009786786,0.05,0.8888888888888888,0,blocking_cut,0
Ga2O3,2.356,plain,0,1,2.14,0.21599999999999975,0.8551932368211986,0.8435231009786786,0.05,0.6111111111111112,0,blocking_cut,0
In2O3,2.356,plain,0,1,2.14,0.21599999999999975,0.8866126351611775,0.8435231009786786,0.05,0.8333333333333334,0,blocking_cut,0
Sc2O3,2.356,plain,0,1,2.14,0.21599999999999975,0.8655579913673321,0.8435231009786786,0.05,0.7777777777777778,0,blocking_cut,0
B2O3,2.317,Clrich,1,0,2.14,0.17700000000000005,0.8199254899596891,0.8435231009786786,0.1,0.5882352941176471,0,bvs_branch_cut,1
Y2O3,2.282,degenerate,0,1,2.14,0.1419999999999999,0.9122550929192564,0.8435231009786786,0.05,0.8333333333333334,0,blocking_cut,0
