property,LPSCl,LPSCl0.5Br0.5,delta_pct
C11_GPa,37.67,34.60,-8.2
C12_GPa,20.43,14.58,-28.6
C44_GPa,7.98,6.23,-21.9
B_VRH_GPa,25.51,20.87,-18.2
G_VRH_GPa,8.13,7.47,-8.1
E_VRH_GPa,22.06,20.03,-9.2
nu,0.356,0.340,
Zener_A,1.14,0.98,
