site,Zval_USPP,Bader_e,Lowdin_e,Bader_net,Lowdin_net,reliable_for
free-S,6,7.692,6.057,-1.692,-0.057,S-site order:Lowdin
B-S(BS3),6,7.872,5.854,-1.872,0.146,S-site order:Lowdin
PS4-S,6,7.823,6.033,-1.823,-0.033,S-site order:Lowdin
B,3,0.0,3.118,3.0,-0.118,oxstate:Bader(+3)
P,5,0.309,3.949,4.691,1.051,oxstate:Bader(+5)
O,6,7.918,6.628,-1.918,-0.628,oxstate:Bader
Cl,7,7.914,6.96,-0.914,0.04,oxstate:Bader
Li,3,2.119,3.062,0.881,-0.062,oxstate:Bader
