frame,t_ps,P_S,S_Li,P_Li,Li_penetrated
0.000,0.000,3.800,3.045,0.600,28.000
1.000,0.200,3.800,3.364,0.600,28.000
2.000,0.400,3.800,3.364,1.800,28.000
3.000,0.600,3.800,3.227,0.800,27.000
4.000,0.800,3.800,3.318,0.800,28.000
5.000,1.000,3.800,3.364,0.800,27.000
6.000,1.200,3.800,3.455,1.000,28.000
7.000,1.400,3.800,3.455,1.400,26.000
8.000,1.600,3.800,3.364,1.000,27.000
9.000,1.800,3.800,3.409,0.800,26.000
10.000,2.000,3.800,3.318,0.600,27.000
11.000,2.200,3.800,3.273,1.000,27.000
12.000,2.400,3.800,3.273,0.400,27.000
13.000,2.600,3.800,3.318,0.600,27.000
14.000,2.800,3.800,3.409,0.600,28.000
15.000,3.000,3.800,3.318,0.200,28.000
16.000,3.200,3.800,3.500,0.800,27.000
17.000,3.400,3.800,3.364,0.600,27.000
18.000,3.600,3.800,3.409,0.800,29.000
19.000,3.800,3.800,3.455,0.800,28.000
20.000,4.000,3.800,3.273,0.200,29.000
21.000,4.200,3.800,3.318,1.200,27.000
22.000,4.400,3.800,3.455,1.200,29.000
23.000,4.600,3.800,3.318,0.800,27.000
24.000,4.800,3.800,3.318,0.200,28.000
25.000,5.000,3.800,3.318,0.600,28.000
26.000,5.200,3.800,3.409,0.400,28.000
27.000,5.400,3.800,3.227,0.600,28.000
28.000,5.600,3.800,3.182,0.800,28.000
29.000,5.800,3.800,3.409,1.000,28.000
30.000,6.000,3.800,3.545,0.800,29.000
31.000,6.200,3.800,3.455,0.400,28.000
32.000,6.400,3.800,3.591,0.600,28.000
33.000,6.600,3.800,3.455,1.000,28.000
34.000,6.800,3.800,3.318,0.400,28.000
35.000,7.000,3.800,3.409,0.400,29.000
36.000,7.200,3.800,3.318,0.800,28.000
37.000,7.400,3.800,3.545,0.600,28.000
38.000,7.600,3.800,3.409,0.800,28.000
39.000,7.800,3.800,3.409,1.000,28.000
40.000,8.000,3.800,3.409,0.600,28.000
41.000,8.200,3.800,3.182,0.800,27.000
42.000,8.400,3.800,3.273,1.200,28.000
43.000,8.600,3.800,3.318,1.400,28.000
44.000,8.800,3.800,3.409,0.800,28.000
45.000,9.000,3.800,3.455,0.600,28.000
46.000,9.200,3.800,3.409,0.800,29.000
47.000,9.400,3.800,3.455,0.800,29.000
48.000,9.600,3.800,3.591,0.600,29.000
49.000,9.800,3.800,3.136,0.400,29.000
50.000,10.000,3.800,3.182,0.000,28.000
51.000,10.200,3.600,3.455,1.200,29.000
52.000,10.400,3.600,3.591,1.400,29.000
53.000,10.600,3.600,3.545,1.200,29.000
54.000,10.800,3.600,3.455,0.800,30.000
55.000,11.000,3.600,3.455,1.200,30.000
56.000,11.200,3.600,3.364,1.200,30.000
57.000,11.400,3.600,3.500,1.600,30.000
58.000,11.600,3.600,3.409,0.800,30.000
59.000,11.800,3.600,3.545,1.600,30.000
