system,window_ps,T_K,1000_over_T,D_cm2_s,Ea_eV,D0_cm2_s,sigma_300K_mS_cm,sigma_273K_mS_cm
modelc_LPSCl1.6,2-50,600,1.6667,7.9009e-06,0.2235,5.7530e-04,13.94,6.52
modelc_LPSCl1.6,2-50,800,1.25,2.0541e-05,0.2235,5.7530e-04,13.94,6.52
modelc_LPSCl1.6,2-50,1000,1.0,4.5537e-05,0.2235,5.7530e-04,13.94,6.52
b2o3_doped,2-50,600,1.6667,9.1741e-06,0.2234,7.1123e-04,18.51,8.65
b2o3_doped,2-50,800,1.25,3.0087e-05,0.2234,7.1123e-04,18.51,8.65
b2o3_doped,2-50,1000,1.0,5.0673e-05,0.2234,7.1123e-04,18.51,8.65
