_dir,dopant,concentration,rerank_de_post_anneal,anneal_dV_pct,eos_B0_GPa,eos_fit_quality_ok,elastic_E_young_GPa,elastic_B_hill_GPa,elastic_G_hill_GPa,elastic_poisson_nu,elastic_pugh_GoverB,sigma_300K_S_cm_NE,sigma_md_Ea_eV,wad_J_m2_mean,anneal_converged,combined_score,rank_combined
Ag2O_x020_cLi24gaS16e_s00,Ag2O,0.25,-0.5066297773077486,-7.970443970930654,26.462276514687904,True,48.34639867551058,30.07619434452657,19.61968063199342,0.2320893388211701,0.6523325526909263,,,,True,0.85,1
Ag2O_x050_cLi48haS4a_s01,Ag2O,0.25,-0.4772946398575639,-3.8264808758477487,20.24241157470466,True,46.90602601413882,19.45497084605698,21.35653031885528,0.0981658844818619,1.0977415740092815,,,,True,0.7363420865489988,1
Ag2O_x100_cLi48haS4a_s03,Ag2O,0.25,-0.4367372269726091,-0.1661126057099808,20.942224979887488,True,47.04461129986566,24.30394550604191,19.97839747491939,0.1773870091163424,0.8220228057190468,,,,True,0.6711290557994961,1
Al2O3_x020_chain_Cl_x200_cLi24gaS16e_s00,Al2O3+Clrich,0.25,-0.7690759154800331,-2.3110048879433176,11.48474437710057,True,39.79622704695789,22.93270136164718,16.434192308683812,0.210775263531801,0.7166269707836722,,,,True,0.7077757383342013,1
Al2O3_x050_cLi24gaS16e_s02,Al2O3,0.25,-0.8087238174114422,-4.961716431672433,16.19894530627985,True,47.01752507114749,25.01629529528581,19.809296898630404,0.1867540102949902,0.7918557350241768,,,,True,0.85,1
Al2O3_x100_chain_Cl_x200_cLi24gaS16e_s00,Al2O3+Clrich,0.25,-0.8177188389631551,-5.724170133464383,16.48700520204591,True,40.83104068556263,21.570258146820105,17.23539567669187,0.1845112654065759,0.7990352066895741,,,,True,0.85,1
Al2S3_x020_cLi24gaCl4d_s02,Al2S3,0.25,-0.6023773760611748,-6.190875391709185,20.734444189044005,True,50.47789012338075,25.52930308172926,21.56330984726564,0.1704578397499968,0.8446493732411365,,,,True,0.85,1
Al2S3_x050_cLi24gaCl4d_s02,Al2S3,0.25,-0.5968206351441099,-6.198131615513676,19.41230879845447,True,51.30458623384012,26.476842366799904,21.793763388484983,0.1770474268099,0.8231254726890254,,,,True,0.85,1
Al2S3_x100_cLi24gaS4a_s02,Al2S3,0.25,-0.5717506694768506,-3.3673984603835585,18.2119453351738,True,46.52653967069332,24.07062959804421,19.75067048795056,0.1778470938259567,0.8205298663876804,,,,True,0.85,1
AlBr3_x020_cLi24gaS4a_s03,AlBr3,0.25,-0.4026077097812268,0.5180657825416454,16.85194183602442,True,125.65871847956105,20.855632821368072,126.72188526965274,-0.5041948823118808,6.076146734795657,,,,True,0.7152968093022706,1
AlBr3_x050_cLi24gaS4a_s03,AlBr3,0.25,-0.3955525712651244,0.5168578305445009,18.23744305850097,True,34.48301561168489,20.793555073766008,14.090710235045744,0.2236081445320041,0.6776479627970474,,,,True,0.7217720245408875,1
AlBr3_x100_cLi24gaS4a_s03,AlBr3,0.25,-0.400627928226021,-0.3869639689414875,17.81569360225822,True,44.55512199663116,24.889604943575527,18.53916765762153,0.2016483916502682,0.7448558424149208,,,,True,0.7681662896046045,1
AlCl3_x020_cLi24gaCl4d_s00,AlCl3,0.25,-0.5127979401080496,-6.097654392363947,23.889440604750146,True,56.27502001310195,33.52169040273163,23.05964033187611,0.2202059356344582,0.6879020733989303,,,,True,0.85,1
AlCl3_x050_cLi24gaCl4d_s00,AlCl3,0.25,-0.5280030124636235,-3.938571345689095,18.259418086004462,True,48.32756934320038,24.48251964982837,20.635059615979397,0.1710062932354324,0.8428486900499252,,,,True,0.85,1
AlCl3_x100_cLi24gaS4a_s03,AlCl3,0.25,-0.4351768373093279,-1.722964663355285,12.8705065314413,True,41.43413488619479,21.300805028348663,17.619528069172183,0.1758014948961536,0.8271766276308726,,,,True,0.7286659724523749,1
AlF3_x020_s03,AlF3,0.25,-0.6351054441067077,-6.986773437788331,17.543457629181734,True,43.76589206019636,22.81647152050117,18.540079774600883,0.1803048474514591,0.8125743613749461,,,,True,0.7000000000000001,1
AlF3_x050_s03,AlF3,0.25,-0.6423776401203378,-4.918612954560483,15.429491213075629,True,47.14889942370189,22.840269906149643,20.39396995520893,0.1559519683331526,0.8928953133657122,,,,True,0.7000000000000001,1
AlF3_x100_s03,AlF3,0.25,-0.6447214478501833,-6.42795871994142,19.692884847434478,True,52.020795493661694,27.205980364278744,22.01816914341788,0.1813151937115719,0.8093135718177454,,,,True,0.7000000000000001,1
AlI3_x020_s02,AlI3,0.25,,,,,,,,,,,,,,0.7000000000000001,1
AlI3_x050_s02,AlI3,0.25,,,,,,,,,,,,,,0.7000000000000001,1
AlI3_x100_s02,AlI3,0.25,,,,,,,,,,,,,,0.7000000000000001,1
AlN_x020_s00,AlN,0.25,-0.567053899778557,-4.147670842837595,18.598292261470203,True,42.13273144028458,22.723056225507904,17.688420406558258,0.1909693028514636,0.7784349178655825,,,,True,0.7000000000000001,1
AlN_x050_s00,AlN,0.25,-0.559906896204533,-3.650921824632574,20.589333263542905,True,42.10028744278953,21.011845893766832,18.05238138319585,0.1660591073590653,0.859152569196745,,,,True,0.7000000000000001,1
AlN_x100_s00,AlN,0.25,-0.5695513469441802,-1.702106432912414,16.579924794247198,True,41.09693238192033,20.149610020281383,17.713150191236203,0.1600684219979556,0.8790815392162535,,,,True,0.7000000000000001,1
B2O3_x020_chain_Cl_x200_cLi24gaS4a_s01,B2O3+Clrich,0.25,-0.7311663615041235,-5.911851802245715,11.473984294127618,True,39.60514267600956,21.62096995718702,16.575334527912496,0.1947011569906894,0.7666323278157413,,,,True,0.7518905978634549,1
B2O3_x050_chain_Cl_x200_cLi24gaS4a_s01,B2O3+Clrich,0.25,-0.7447359792462591,-4.779221557139912,14.09148685043494,True,40.79149113626363,22.16759731612541,17.091742024013236,0.1933099352585932,0.7710236603576411,,,,True,0.7455941505247343,1
B2O3_x100_chain_Cl_x200_cLi24gaS16e_s00,B2O3+Clrich,0.25,-0.8296692679367923,-5.658094879270712,16.200338178124948,True,43.05766216125512,25.60090671919562,17.651117063549915,0.2196866069788433,0.6894723400681377,,,,True,0.85,1
BaCl2_x020_cLi24gaCl4d_s02,BaCl2,0.25,-0.4510757562800891,-3.3583505442828803,17.528746080669322,True,47.06399391342685,24.2925834749536,19.991448673114363,0.1771031375210238,0.8229445292933195,,,,True,0.8032789748503152,1
BaCl2_x050_cLi24gaCl4d_s02,BaCl2,0.25,-0.4801559686104202,-2.050152211187746,,False,49.05318878550583,25.743976945315644,20.742545311740702,0.1824293510821145,0.8057242032107632,,,,True,0.85,1
BaCl2_x100_cLi24gaCl4d_s02,BaCl2,0.25,-0.462933888837624,-2.64370553412196,20.00124678571468,True,47.33405121507762,26.079774297183377,19.76361774793516,0.1975047235474623,0.757813987296264,,,,True,0.85,1
BaO_x020_cLi24gaS16e_s01,BaO,0.25,-0.5774402095385405,-4.789361550489421,23.15737496787117,True,50.36088270823048,26.24626939687725,21.33568815926441,0.180202914766607,0.8129036487678097,,,,True,0.85,1
BaO_x050_cLi24gaS4a_s00,BaO,0.25,-0.534980333260382,-3.757662133641701,19.916681475598,True,45.49051529009878,22.355134846163036,19.59362979908191,0.1608496168543083,0.8764711075963337,,,,True,0.6501059656863867,1
BaO_x100_cLi24gaS16e_s01,BaO,0.25,-0.5789853936159655,-4.173791045983124,21.8433742651893,True,48.735395761332896,24.4410091083344,20.86871359321144,0.1676665057396361,0.8538400972198482,,,,True,0.85,1
Ca3N2_x020_s00,Ca3N2,0.25,-0.698274860826051,-4.628048319016989,19.83327910864588,True,25.95165857311435,13.67484050696369,10.962041619632169,0.1837055301193593,0.8016211680165429,,,,True,0.7000000000000001,1
Ca3N2_x050_s00,Ca3N2,0.25,-0.6989931632283439,-5.558756325874958,19.572434584939547,True,44.68676074916647,25.96820345887705,18.41696365576482,0.2131956598388236,0.7092120825735871,,,,True,0.7000000000000001,1
Ca3N2_x100_s00,Ca3N2,0.25,-0.7045916767733931,-5.557786630838731,22.64630346909022,True,46.9666031746366,26.60892162416472,19.474936875305445,0.2058217049779263,0.7318950068844355,,,,True,0.7000000000000001,1
CaBr2_x020_cLi24gaCl4d_s03,CaBr2,0.25,-0.447209342428315,-3.3969592886364515,16.051943957970987,True,44.81137066935769,21.762811105169785,19.36834215252091,0.1568199879080825,0.8899742803869641,,,,True,0.85,1
CaBr2_x050_cLi24gaCl4d_s03,CaBr2,0.25,-0.4854951126451636,-3.005511190548429,22.160369708228483,True,45.64930042951002,21.744101171920413,19.84576107918452,0.1501020355775083,0.9126963180622364,,,,True,0.85,1
CaBr2_x100_cLi24gaS4a_s02,CaBr2,0.25,-0.4357106286046521,-2.5020081154816123,22.336180026533796,True,39.569577984529474,22.4184470597744,16.40766823582788,0.2058257582916356,0.7318824623347034,,,,True,0.8092901726873,1
CaCl2_x020_cLi24gaCl4d_s00,CaCl2,0.25,-0.5216597543443022,-5.2419725306280105,21.217066320882815,True,52.27376009407188,31.843360928060523,21.311844788825105,0.2264015764951913,0.6692712128274438,,,,True,0.85,1
CaCl2_x050_cLi24gaCl4d_s00,CaCl2,0.25,-0.52615911914289,-7.173263738147888,24.472007980424703,True,60.81294333725183,36.52086250498006,24.87289938688084,0.2224739543096349,0.6810600210630053,,,,True,0.85,1
CaCl2_x100_cLi24gaCl4d_s00,CaCl2,0.25,-0.5219175989134484,-5.085333777039338,22.28951633314321,True,57.64042141128845,34.66428986910405,23.567805090379807,0.2228635884895539,0.679887145514138,,,,True,0.85,1
CaF2_x020_s01,CaF2,0.25,-0.584205456525384,-5.540516651866167,20.712386889788373,True,43.59129323484024,17.418356383522163,20.127129631519537,0.082898903939469,1.155512563203718,,,,True,0.7000000000000001,1
CaF2_x050_s04,CaF2,0.25,-0.5880514728805148,-4.771771030370447,20.28107436859701,True,46.15432802531738,21.77098682962974,20.1254116893244,0.1466679225697557,0.9244143063801888,,,,True,0.7000000000000001,1
CaF2_x100_s01,CaF2,0.25,-0.5856187703456128,-4.724039496052432,17.462069880974248,True,49.63770556945699,22.25668617160473,21.99680210966209,0.1282936792810813,0.9883233263056832,,,,True,0.7000000000000001,1
CaO_x020_cLi24gaS16e_s03,CaO,0.25,-0.5801100632351353,-5.3977539178289415,23.45568389447135,True,49.08073909179343,25.16675122003664,20.886077071865746,0.1749630848079856,0.8299075589556901,,,,True,0.85,1
CaO_x050_cLi24gaS16e_s03,CaO,0.25,-0.5697810677659367,-2.1106132762263723,16.22437730183249,True,39.52125331209217,21.792497142396044,16.49818182636281,0.1977457191355562,0.7570578864166305,,,,True,0.85,1
CaO_x100_cLi24gaS4a_s00,CaO,0.25,-0.544944445364123,-5.513622616065064,20.76308034601901,True,46.87207350352405,22.77969317384761,20.25477261514302,0.1570624463214465,0.8891591497991138,,,,True,0.7374781083727812,1
CaS_x020_cLi24gaS16e_s00,CaS,0.25,-0.5239864126153071,-5.58924066417621,32.905184351401964,True,61.56491992130928,35.43981712399399,25.43013006634804,0.2104719826576659,0.7175581628250265,,,,True,0.85,1
CaS_x050_cLi24gaS4a_s00,CaS,0.25,-0.5266057011070471,-6.637688651442057,24.08503230196373,True,61.91360622593713,36.27593097179204,25.467463848260323,0.2155432239902135,0.7020485254551753,,,,True,0.85,1
CaS_x100_cLi24gaS16e_s00,CaS,0.25,-0.5288510178804602,-6.089729570245258,25.468802468340964,True,62.78051961145292,35.30576307814279,26.079567385661772,0.2036342222066322,0.7386773464700216,,,,True,0.85,1
CoO_x020_cLi24gaS16e_s03,CoO,0.25,-0.5833551897462184,-5.316758389285365,22.335822747839963,True,49.06627696368478,25.980245234590917,20.698993108036127,0.1852334243407089,0.7967204666904698,,,,True,0.85,1
CoO_x050_cLi24gaS4a_s00,CoO,0.25,-0.5682638767632886,-2.6566689512775272,19.88062682817768,True,45.58014822708726,23.365935459674866,19.397759436734543,0.1748817788916841,0.8301726019149271,,,,True,0.85,1
CoO_x100_cLi24gaS4a_s00,CoO,0.25,-0.5618503916788504,-7.828377571681693,22.86298345930173,True,49.02384265201803,25.134237851383133,20.862631769978886,0.1749199044619777,0.8300483147067386,,,,True,0.8248919239495336,1
Cr2O3_x020_cLi24gaS16e_s04,Cr2O3,0.25,-0.9457833626484806,-1.7845275165419914,13.44797053263745,True,33.84225587372081,21.481555746131512,13.67439366139011,0.2374316811309529,0.6365644007814775,,,,True,0.55,1
