E_minus_VBM,free_S,B_S,PS4_S,Cl,O
-8.0000,0.0002,0.0003,0.1489,0.0009,0.3757
-7.9800,0.0002,0.0004,0.1564,0.0009,0.4021
-7.9600,0.0002,0.0004,0.1696,0.0010,0.4503
-7.9400,0.0002,0.0005,0.1857,0.0011,0.5122
-7.9200,0.0003,0.0005,0.2019,0.0012,0.5796
-7.9000,0.0003,0.0006,0.2162,0.0013,0.6457
-7.8800,0.0004,0.0007,0.2275,0.0013,0.7059
-7.8600,0.0004,0.0008,0.2356,0.0014,0.7580
-7.8400,0.0005,0.0009,0.2408,0.0014,0.8003
-7.8200,0.0005,0.0009,0.2433,0.0014,0.8319
-7.8000,0.0005,0.0010,0.2436,0.0014,0.8512
-7.7800,0.0006,0.0011,0.2418,0.0014,0.8567
-7.7600,0.0006,0.0012,0.2378,0.0013,0.8472
-7.7400,0.0006,0.0012,0.2318,0.0013,0.8222
-7.7200,0.0006,0.0013,0.2239,0.0012,0.7828
-7.7000,0.0005,0.0013,0.2142,0.0011,0.7312
-7.6800,0.0005,0.0014,0.2030,0.0011,0.6706
-7.6600,0.0005,0.0014,0.1903,0.0010,0.6042
-7.6400,0.0004,0.0014,0.1764,0.0009,0.5351
-7.6200,0.0004,0.0014,0.1616,0.0008,0.4657
-7.6000,0.0003,0.0013,0.1460,0.0007,0.3980
-7.5800,0.0003,0.0013,0.1301,0.0006,0.3333
-7.5600,0.0002,0.0012,0.1142,0.0005,0.2733
-7.5400,0.0002,0.0011,0.0988,0.0005,0.2192
-7.5200,0.0001,0.0010,0.0842,0.0004,0.1720
-7.5000,0.0001,0.0009,0.0707,0.0003,0.1323
-7.4800,0.0001,0.0008,0.0585,0.0002,0.0998
-7.4600,0.0001,0.0007,0.0477,0.0002,0.0741
-7.4400,0.0000,0.0006,0.0383,0.0001,0.0542
-7.4200,0.0000,0.0005,0.0304,0.0001,0.0391
-7.4000,0.0000,0.0005,0.0240,0.0001,0.0278
-7.3800,0.0000,0.0005,0.0191,0.0000,0.0197
-7.3600,0.0000,0.0006,0.0155,0.0000,0.0140
-7.3400,0.0000,0.0006,0.0130,0.0000,0.0103
-7.3200,0.0000,0.0007,0.0115,0.0000,0.0081
-7.3000,0.0000,0.0009,0.0105,0.0000,0.0067
-7.2800,0.0000,0.0010,0.0099,0.0000,0.0060
-7.2600,0.0000,0.0011,0.0095,0.0000,0.0056
-7.2400,0.0000,0.0012,0.0093,0.0000,0.0054
-7.2200,0.0000,0.0014,0.0091,0.0000,0.0052
-7.2000,0.0000,0.0015,0.0089,0.0000,0.0051
-7.1800,0.0000,0.0016,0.0087,0.0000,0.0050
-7.1600,0.0000,0.0018,0.0085,0.0000,0.0049
-7.1400,0.0000,0.0019,0.0084,0.0000,0.0048
-7.1200,0.0000,0.0021,0.0082,0.0000,0.0047
-7.1000,0.0000,0.0022,0.0080,0.0000,0.0046
-7.0800,0.0000,0.0023,0.0078,0.0000,0.0045
-7.0600,0.0000,0.0025,0.0076,0.0000,0.0044
-7.0400,0.0000,0.0026,0.0075,0.0000,0.0043
-7.0200,0.0000,0.0027,0.0073,0.0000,0.0042
