job,fragment,pose,seed,E_total_eV,E_ads_eV,basin,slab_basin,basin_consistent,flipped_ni_poscar_idx
tier1/ptfe_c10__fib04vfib04_r090__Litop__afm2424_net4,ptfe_c10,Litop,net4,-1123.278937,-0.4619,A,B,False,
tier1/ptfe_c10__fib04vfib04_r090__Litop__afm2424_pm1,ptfe_c10,Litop,pm1,-1123.357704,-0.4124,A,A,True,
tier1/ptfe_c10__fib04vfib04_r090__Nitop__afm2424_net4,ptfe_c10,Nitop,net4,-1123.178717,-0.3617,B,B,True,82
tier1/ptfe_c10__fib04vfib04_r090__Nitop__afm2424_pm1,ptfe_c10,Nitop,pm1,-1123.307937,-0.3626,A,A,True,
tier1/ptfe_dimer__fib08vfib08_r180__Litop__afm2424_net4,ptfe_dimer,Litop,net4,-1020.691105,-0.3661,B,B,True,82
tier1/ptfe_dimer__fib08vfib08_r180__Litop__afm2424_pm1,ptfe_dimer,Litop,pm1,-1020.819563,-0.3663,A,A,True,
tier1/ptfe_dimer__fib08vfib08_r180__Nitop__afm2424_net4,ptfe_dimer,Nitop,net4,-1020.654948,-0.33,B,B,True,82
tier1/ptfe_dimer__fib08vfib08_r180__Nitop__afm2424_pm1,ptfe_dimer,Nitop,pm1,-1020.783492,-0.3302,A,A,True,
tier2/sdcp_doped__fib10vfib10_r000__Litop__afm2424_net4,sdcp_doped,Litop,net4,-1146.112336,-0.9206,A,B,False,
tier2/sdcp_doped__fib10vfib10_r000__Litop__afm2424_pm1,sdcp_doped,Litop,pm1,-1146.296306,-0.9763,A,A,True,
tier2/sdcp_doped__fib10vfib10_r000__Nitop__afm2424_net4,sdcp_doped,Nitop,net4,-1146.131282,-0.9395,A,B,False,
tier2/sdcp_doped__fib10vfib10_r000__Nitop__afm2424_pm1,sdcp_doped,Nitop,pm1,-1146.209857,-0.8898,A,A,True,
tier2/sdcp_neutral__fib04vfib04_r180__Litop__afm2424_net4,sdcp_neutral,Litop,net4,-1151.062932,-0.768,B,B,True,82
tier2/sdcp_neutral__fib04vfib04_r180__Litop__afm2424_pm1,sdcp_neutral,Litop,pm1,-1151.190751,-0.7675,A,A,True,
tier2/sdcp_neutral__fib04vfib04_r180__Nitop__afm2424_net4,sdcp_neutral,Nitop,net4,-1151.103629,-0.8087,A,B,False,
tier2/sdcp_neutral__fib04vfib04_r180__Nitop__afm2424_pm1,sdcp_neutral,Nitop,pm1,-1151.181486,-0.7582,A,A,True,
tier2/sdcp_neutral__fib04vfib04_r180__cross_Li_at_Ni_pose__afm2424_net4,sdcp_neutral,cross_Li_at_Ni_pose,net4,-1151.068361,-0.7734,B,B,True,82
tier2/sdcp_neutral__fib04vfib04_r180__cross_Li_at_Ni_pose__afm2424_pm1,sdcp_neutral,cross_Li_at_Ni_pose,pm1,-1151.196001,-0.7728,A,A,True,
tier2/sdcp_neutral__fib04vfib04_r180__cross_Ni_at_Li_pose__afm2424_net4,sdcp_neutral,cross_Ni_at_Li_pose,net4,-1151.057557,-0.7626,B,B,True,82
tier2/sdcp_neutral__fib04vfib04_r180__cross_Ni_at_Li_pose__afm2424_pm1,sdcp_neutral,cross_Ni_at_Li_pose,pm1,-1151.18656,-0.7633,A,A,True,
