# ELF profile along each bond path — Origin-ready
# frac = 0 at first atom, 1 at second. 결합 길이는 열 이름에 (Å).
# ⚠ 판정은 **내부 최솟값**(frac 0.18~0.82)으로 — 핵 근처 스파이크 제외.
frac,ELF_P-S_2.05A,ELF_Cl-Li_2.56A,ELF_S(free)-Li_2.34A,ELF_P-O_1.56A,ELF_O-Li_1.95A
0.5025,0.94555,0.88507,0.91738,0.92106,0.77703
0.5075,0.94466,0.87811,0.91409,0.92147,0.75621
0.5126,0.94380,0.87082,0.91055,0.92184,0.73565
0.5176,0.94290,0.86227,0.90640,0.92218,0.71538
0.5226,0.94193,0.85058,0.90098,0.92250,0.69547
0.5276,0.94099,0.83818,0.89448,0.92278,0.66595
0.5327,0.94008,0.82508,0.88574,0.92304,0.62520
0.5377,0.93920,0.81126,0.87575,0.92328,0.58459
0.5427,0.93813,0.79599,0.86457,0.92348,0.54413
0.5477,0.93699,0.77758,0.85220,0.92367,0.50384
0.5528,0.93587,0.75459,0.83857,0.92382,0.46372
0.5578,0.93478,0.72470,0.82361,0.92396,0.42377
0.5628,0.93372,0.69303,0.80724,0.92403,0.38411
0.5678,0.93266,0.65959,0.78942,0.92392,0.35145
0.5729,0.93157,0.62437,0.77006,0.92378,0.32301
0.5779,0.93033,0.58738,0.74613,0.92362,0.29407
0.5829,0.92869,0.54726,0.71592,0.92343,0.26464
0.5879,0.92707,0.50153,0.67954,0.92322,0.23472
0.5930,0.92547,0.45329,0.64167,0.92298,0.20432
0.5980,0.92391,0.40562,0.60243,0.92272,0.17343
0.6030,0.92236,0.35851,0.56195,0.92243,0.14207
0.6080,0.92085,0.31199,0.52034,0.92211,0.12740
0.6131,0.91935,0.26606,0.47773,0.92168,0.11953
0.6181,0.91671,0.22073,0.43424,0.92098,0.11136
0.6231,0.91402,0.18887,0.39044,0.92022,0.10291
0.6281,0.91136,0.16406,0.34788,0.91938,0.09415
0.6332,0.90873,0.14098,0.30522,0.91846,0.08510
0.6382,0.90614,0.11961,0.26979,0.91746,0.07574
0.6432,0.90358,0.09995,0.24240,0.91638,0.06608
0.6482,0.90106,0.08200,0.21692,0.91522,0.06817
