# B2O3-doped LPSCl DFT equation of state (QE PBE) + Birch-Murnaghan 3rd-order fit
# B0=24.48 GPa  V0=2436.33 A3  B0'=4.24  E0=-2621.755437 Ry  fitRMS=0.04 meV  (5 pts; v1.06 excluded)
# reference: undoped modelC (DFT BM-EOS) B0=21.7 GPa  ->  B2O3 doping stiffens +2.8 GPa (+13%)
# kind: data = DFT-computed point ; fit = BM3 curve
kind,x_scale,volume_A3,volume_bohr3,E_Ry,E_minus_E0_meV
data,0.96,2307.839,15574.073,-2621.7136072,569.117
data,0.98,2355.919,15898.533,-2621.73963052,215.052
data,1.0,2403.999,16222.992,-2621.75297508,33.489
data,1.02,2452.079,16547.452,-2621.75486781,7.738
data,1.04,2500.159,16871.912,-2621.74646071,122.122
fit,,2296.3,15496.202,-2621.70531964,681.875
fit,,2297.387,15503.539,-2621.7061356,670.773
fit,,2298.475,15510.876,-2621.70694419,659.772
fit,,2299.562,15518.213,-2621.70774543,648.871
fit,,2300.649,15525.55,-2621.70853934,638.069
fit,,2301.736,15532.887,-2621.70932595,627.366
fit,,2302.824,15540.225,-2621.71010526,616.763
fit,,2303.911,15547.562,-2621.71087729,606.259
fit,,2304.998,15554.899,-2621.71164206,595.854
fit,,2306.085,15562.236,-2621.71239959,585.547
fit,,2307.173,15569.573,-2621.71314989,575.339
fit,,2308.26,15576.91,-2621.71389299,565.229
fit,,2309.347,15584.247,-2621.7146289,555.216
fit,,2310.434,15591.584,-2621.71535763,545.301
fit,,2311.522,15598.921,-2621.7160792,535.484
fit,,2312.609,15606.258,-2621.71679364,525.763
fit,,2313.696,15613.595,-2621.71750095,516.14
fit,,2314.783,15620.932,-2621.71820115,506.613
fit,,2315.87,15628.269,-2621.71889427,497.183
fit,,2316.958,15635.606,-2621.71958031,487.849
fit,,2318.045,15642.943,-2621.7202593,478.611
fit,,2319.132,15650.28,-2621.72093125,469.468
fit,,2320.219,15657.617,-2621.72159618,460.421
fit,,2321.307,15664.954,-2621.7222541,451.47
fit,,2322.394,15672.291,-2621.72290503,442.614
fit,,2323.481,15679.628,-2621.72354898,433.852
fit,,2324.568,15686.965,-2621.72418599,425.185
fit,,2325.656,15694.302,-2621.72481605,416.613
fit,,2326.743,15701.639,-2621.72543919,408.135
fit,,2327.83,15708.976,-2621.72605542,399.75
fit,,2328.917,15716.313,-2621.72666476,391.46
fit,,2330.005,15723.65,-2621.72726723,383.263
fit,,2331.092,15730.987,-2621.72786283,375.159
fit,,2332.179,15738.324,-2621.7284516,367.149
fit,,2333.266,15745.661,-2621.72903354,359.231
fit,,2334.354,15752.998,-2621.72960867,351.406
fit,,2335.441,15760.335,-2621.73017701,343.673
fit,,2336.528,15767.673,-2621.73073857,336.033
fit,,2337.615,15775.01,-2621.73129336,328.484
fit,,2338.702,15782.347,-2621.73184142,321.028
fit,,2339.79,15789.684,-2621.73238274,313.663
fit,,2340.877,15797.021,-2621.73291735,306.389
fit,,2341.964,15804.358,-2621.73344526,299.206
fit,,2343.051,15811.695,-2621.73396649,292.115
fit,,2344.139,15819.032,-2621.73448105,285.114
fit,,2345.226,15826.369,-2621.73498896,278.203
fit,,2346.313,15833.706,-2621.73549024,271.383
fit,,2347.4,15841.043,-2621.73598489,264.653
fit,,2348.488,15848.38,-2621.73647295,258.013
fit,,2349.575,15855.717,-2621.73695441,251.462
fit,,2350.662,15863.054,-2621.7374293,245.001
fit,,2351.749,15870.391,-2621.73789764,238.629
fit,,2352.837,15877.728,-2621.73835943,232.346
fit,,2353.924,15885.065,-2621.7388147,226.151
fit,,2355.011,15892.402,-2621.73926346,220.046
fit,,2356.098,15899.739,-2621.73970572,214.028
fit,,2357.185,15907.076,-2621.7401415,208.099
fit,,2358.273,15914.413,-2621.74057081,202.258
fit,,2359.36,15921.75,-2621.74099368,196.505
fit,,2360.447,15929.087,-2621.74141011,190.839
fit,,2361.534,15936.424,-2621.74182012,185.26
fit,,2362.622,15943.761,-2621.74222373,179.769
fit,,2363.709,15951.098,-2621.74262095,174.365
fit,,2364.796,15958.435,-2621.74301179,169.047
fit,,2365.883,15965.772,-2621.74339628,163.816
fit,,2366.971,15973.109,-2621.74377442,158.671
fit,,2368.058,15980.446,-2621.74414623,153.612
fit,,2369.145,15987.783,-2621.74451172,148.639
fit,,2370.232,15995.12,-2621.74487092,143.752
fit,,2371.32,16002.458,-2621.74522383,138.951
fit,,2372.407,16009.795,-2621.74557047,134.234
fit,,2373.494,16017.132,-2621.74591086,129.603
fit,,2374.581,16024.469,-2621.74624501,125.057
fit,,2375.668,16031.806,-2621.74657293,120.595
fit,,2376.756,16039.143,-2621.74689464,116.218
fit,,2377.843,16046.48,-2621.74721015,111.925
fit,,2378.93,16053.817,-2621.74751948,107.717
fit,,2380.017,16061.154,-2621.74782264,103.592
fit,,2381.105,16068.491,-2621.74811965,99.551
fit,,2382.192,16075.828,-2621.74841052,95.593
fit,,2383.279,16083.165,-2621.74869527,91.719
fit,,2384.366,16090.502,-2621.7489739,87.928
fit,,2385.454,16097.839,-2621.74924644,84.22
fit,,2386.541,16105.176,-2621.7495129,80.595
fit,,2387.628,16112.513,-2621.7497733,77.052
fit,,2388.715,16119.85,-2621.75002764,73.592
fit,,2389.803,16127.187,-2621.75027594,70.213
fit,,2390.89,16134.524,-2621.75051821,66.917
