fragment,basin_id,rep_label,site,fib,roll,anchor_mol_element,anchor_surface_element,anchor_distance_A,height_A,tilt_deg,n_members,role_in_c12
ptfe_c10,b00,ptfe_c10__Ni_top__fib05__r270,Ni_top,fib05,r270,F,Ni,2.538,4.208,86.1,1,primary
ptfe_c10,b01,ptfe_c10__Ni_top__fib05__r090,Ni_top,fib05,r090,F,Ni,2.525,4.195,86.1,1,
ptfe_c10,b02,ptfe_c10__NiO_bridge__fib05__r090,NiO_bridge,fib05,r090,F,Li,2.589,4.214,86.0,1,
ptfe_c10,b03,ptfe_c10__O_top__fib05__r270,O_top,fib05,r270,F,O,2.701,4.308,87.0,1,
ptfe_c10,b04,ptfe_c10__NiO_bridge__fib06__r000,NiO_bridge,fib06,r000,F,Li,2.699,4.315,85.8,1,
ptfe_c10,b05,ptfe_c10__Li_top__fib07__r180,Li_top,fib07,r180,F,Li,2.362,5.357,75.9,1,
ptfe_c10,b06,ptfe_c10__Li_top__fib04__r090,Li_top,fib04,r090,F,Li,2.365,5.35,75.0,1,
ptfe_c10,b07,ptfe_c10__Li_top__fib04__r270,Li_top,fib04,r270,F,Li,2.374,5.347,75.0,1,
ptfe_c10,b08,ptfe_c10__Li_top__fib07__r000,Li_top,fib07,r000,F,Li,2.371,5.357,75.9,1,
ptfe_c10,b09,ptfe_c10__Ni_top__fib06__r180,Ni_top,fib06,r180,F,Ni,2.542,4.306,86.0,1,
ptfe_c10,b10,ptfe_c10__O_top__fib05__r090,O_top,fib05,r090,F,O,2.65,4.255,86.4,1,
ptfe_c10,b11,ptfe_c10__NiO_bridge__fib05__r270,NiO_bridge,fib05,r270,F,Ni,2.715,4.231,86.5,1,
ptfe_c10,b12,ptfe_c10__O_top__fib06__r000,O_top,fib06,r000,F,O,2.648,4.345,85.9,1,
ptfe_c10,b13,ptfe_c10__Ni_top__fib04__r090,Ni_top,fib04,r090,F,Ni,2.523,5.403,75.4,1,
ptfe_c10,b14,ptfe_c10__LiO_bridge__fib05__r270,LiO_bridge,fib05,r270,F,Ni,2.707,4.219,86.3,1,
ptfe_c10,b15,ptfe_c10__Li_top__fib08__r270,Li_top,fib08,r270,F,Li,2.397,5.767,65.1,1,
ptfe_c10,b16,ptfe_c10__Ni_top__fib08__r090,Ni_top,fib08,r090,F,Ni,2.61,5.816,65.4,1,
ptfe_c10,b17,ptfe_c10__Ni_top__fib08__r270,Ni_top,fib08,r270,F,Ni,2.611,5.818,65.4,1,
ptfe_c10,b18,ptfe_c10__hollow__fib04__r090,hollow,fib04,r090,F,Ni,2.878,5.454,75.7,2,
ptfe_c10,b19,ptfe_c10__LiO_bridge__fib04__r270,LiO_bridge,fib04,r270,F,Li,2.667,5.402,75.4,1,
ptfe_c10,b20,ptfe_c10__NiO_bridge__fib06__r180,NiO_bridge,fib06,r180,F,Ni,2.746,4.337,86.1,1,
ptfe_c10,b21,ptfe_c10__Li_top__fib08__r090,Li_top,fib08,r090,F,Li,2.385,5.762,64.9,1,
ptfe_c10,b22,ptfe_c10__NiO_bridge__fib08__r090,NiO_bridge,fib08,r090,F,Ni,2.816,5.845,65.7,1,
ptfe_c10,b23,ptfe_c10__NiO_bridge__fib04__r090,NiO_bridge,fib04,r090,F,Ni,2.7,5.43,75.6,1,
ptfe_c10,b24,ptfe_c10__LiO_bridge__fib07__r000,LiO_bridge,fib07,r000,F,Li,2.66,5.413,76.3,1,
ptfe_c10,b25,ptfe_c10__NiO_bridge__fib04__r270,NiO_bridge,fib04,r270,F,Ni,2.813,5.449,75.9,1,
ptfe_c10,b26,ptfe_c10__LiNi_bridge__fib04__r270,LiNi_bridge,fib04,r270,F,Li,2.829,5.396,75.6,2,
ptfe_c10,b27,ptfe_c10__Li_top__fib00__r270,Li_top,fib00,r270,F,Li,2.342,8.794,24.1,1,
