frame,t_ps,P_S,S_Li,P_Li,Li_penetrated,B_S,B_Li
98.000,19.600,3.000,4.146,1.500,66.000,3.000,2.000
99.000,19.800,3.000,4.049,2.000,66.000,3.000,1.500
100.000,20.000,3.000,4.195,1.750,65.000,3.000,2.500
101.000,20.200,3.000,3.976,1.375,64.000,3.000,2.000
102.000,20.400,3.000,4.098,2.000,64.000,3.000,2.000
103.000,20.600,3.000,4.098,1.625,64.000,3.000,2.000
104.000,20.800,3.000,3.927,1.375,63.000,3.000,2.000
105.000,21.000,3.000,4.024,1.750,63.000,3.000,0.500
106.000,21.200,3.000,3.951,1.500,65.000,3.000,1.500
107.000,21.400,3.000,4.049,1.500,66.000,3.000,2.500
108.000,21.600,3.000,4.146,1.875,65.000,3.000,2.500
109.000,21.800,3.000,3.951,1.750,63.000,3.000,2.000
110.000,22.000,3.000,4.073,1.750,63.000,3.000,1.500
111.000,22.200,3.000,4.146,1.625,63.000,3.000,1.500
112.000,22.400,3.000,3.927,1.375,63.000,3.000,1.500
113.000,22.600,3.000,3.902,1.250,63.000,3.000,1.000
114.000,22.800,3.000,4.073,1.375,63.000,3.000,1.500
115.000,23.000,3.000,4.122,1.625,65.000,3.000,1.500
116.000,23.200,3.000,4.073,1.750,65.000,3.000,1.500
117.000,23.400,3.000,3.976,1.375,63.000,3.000,0.500
118.000,23.600,3.000,3.902,1.625,63.000,3.000,1.500
119.000,23.800,3.000,3.878,1.250,63.000,3.000,1.000
120.000,24.000,3.000,3.976,1.500,63.000,3.000,1.500
121.000,24.200,3.000,3.927,1.250,63.000,3.000,1.000
122.000,24.400,3.000,3.951,1.875,63.000,3.000,1.500
123.000,24.600,3.000,4.000,1.125,65.000,3.000,0.500
124.000,24.800,3.000,3.927,1.500,65.000,3.000,0.500
125.000,25.000,3.000,3.902,1.625,66.000,3.000,1.000
126.000,25.200,3.000,4.073,1.500,66.000,3.000,1.500
127.000,25.400,3.000,3.951,1.250,66.000,3.000,0.000
128.000,25.600,3.000,4.049,1.375,66.000,3.000,0.500
129.000,25.800,3.000,3.951,1.000,66.000,3.000,2.500
130.000,26.000,3.000,3.976,1.750,66.000,3.000,1.000
131.000,26.200,3.000,4.098,1.500,66.000,3.000,0.500
132.000,26.400,3.000,4.146,1.375,66.000,3.000,1.000
133.000,26.600,3.000,3.854,1.500,63.000,3.000,1.500
134.000,26.800,3.000,3.878,1.750,64.000,3.000,1.000
135.000,27.000,3.000,4.049,1.250,65.000,3.000,1.500
136.000,27.200,3.000,4.098,1.500,64.000,3.000,1.000
137.000,27.400,3.000,4.122,1.500,64.000,3.000,1.500
138.000,27.600,3.000,4.098,1.375,64.000,3.000,1.000
139.000,27.800,3.000,4.073,1.375,63.000,3.000,2.500
140.000,28.000,3.000,4.049,1.625,63.000,3.000,1.500
141.000,28.200,3.000,4.000,1.750,63.000,3.000,0.500
142.000,28.400,3.000,4.000,2.000,63.000,3.000,1.000
143.000,28.600,3.000,4.049,1.875,64.000,3.000,2.000
144.000,28.800,3.000,3.976,1.875,64.000,3.000,1.500
145.000,29.000,3.000,4.000,1.625,64.000,3.000,1.000
146.000,29.200,3.000,4.098,1.750,64.000,3.000,2.500
147.000,29.400,3.000,4.073,1.875,64.000,3.000,2.000
148.000,29.600,3.000,3.927,1.125,64.000,3.000,0.500
149.000,29.800,3.000,3.902,1.125,65.000,3.000,1.000
150.000,30.000,3.000,4.171,1.375,64.000,3.000,1.500
151.000,30.200,3.000,4.024,1.625,64.000,3.000,2.000
152.000,30.400,3.000,4.000,1.250,63.000,3.000,2.000
153.000,30.600,3.000,3.976,2.125,64.000,3.000,2.000
154.000,30.800,3.000,3.878,1.750,66.000,3.000,2.500
155.000,31.000,3.000,4.073,1.375,65.000,3.000,2.500
156.000,31.200,3.000,4.049,1.750,64.000,3.000,1.500
157.000,31.400,3.000,4.024,1.625,64.000,3.000,1.500
158.000,31.600,3.000,4.122,2.125,64.000,3.000,3.500
159.000,31.800,3.000,4.268,1.375,64.000,3.000,2.500
160.000,32.000,3.000,4.073,1.875,64.000,3.000,1.500
161.000,32.200,3.000,4.049,1.500,64.000,3.000,2.000
162.000,32.400,2.875,4.000,1.875,64.000,3.000,1.000
163.000,32.600,2.875,4.049,1.625,64.000,3.000,1.000
164.000,32.800,2.875,4.098,1.500,64.000,3.000,2.000
165.000,33.000,2.875,4.146,2.125,65.000,3.000,1.500
166.000,33.200,2.875,4.220,1.875,65.000,3.000,1.500
167.000,33.400,2.875,4.098,1.875,65.000,3.000,2.500
168.000,33.600,2.875,4.098,2.250,65.000,3.000,2.000
169.000,33.800,2.875,4.122,2.250,65.000,3.000,3.000
170.000,34.000,2.875,4.098,1.750,65.000,3.000,2.000
171.000,34.200,2.875,4.073,1.625,65.000,3.000,2.500
172.000,34.400,2.875,4.195,1.500,65.000,3.000,2.000
173.000,34.600,2.875,4.146,1.625,65.000,3.000,1.000
174.000,34.800,2.875,4.098,1.500,65.000,3.000,2.000
175.000,35.000,2.875,4.073,1.875,65.000,3.000,1.500
176.000,35.200,2.875,4.244,1.750,65.000,3.000,2.000
177.000,35.400,2.875,4.195,2.375,65.000,3.000,2.500
178.000,35.600,2.875,4.268,1.500,65.000,3.000,2.000
179.000,35.800,2.875,4.146,1.500,65.000,3.000,2.500
180.000,36.000,2.875,4.293,1.750,65.000,3.000,2.500
181.000,36.200,2.875,4.390,1.875,65.000,3.000,2.500
182.000,36.400,2.875,4.293,1.375,65.000,3.000,1.500
183.000,36.600,2.875,4.293,1.750,65.000,3.000,1.000
184.000,36.800,2.875,4.244,1.750,66.000,3.000,2.000
185.000,37.000,2.875,4.220,1.500,66.000,3.000,1.000
186.000,37.200,2.875,4.171,1.250,66.000,3.000,1.000
187.000,37.400,2.875,4.146,1.875,65.000,3.000,1.500
188.000,37.600,2.875,4.146,1.875,65.000,3.000,1.500
189.000,37.800,2.875,4.317,1.625,65.000,3.000,2.000
190.000,38.000,2.875,4.171,2.125,65.000,3.000,2.500
191.000,38.200,2.875,4.000,1.750,65.000,3.000,1.000
192.000,38.400,2.875,4.073,2.250,65.000,3.000,2.500
193.000,38.600,2.875,4.146,1.375,65.000,3.000,2.000
194.000,38.800,2.875,4.317,1.750,66.000,3.000,1.500
195.000,39.000,2.875,4.195,1.375,65.000,3.000,1.500
196.000,39.200,2.875,4.049,1.625,65.000,3.000,1.000
