# Step 5 — energy change from the short anneal (seminar 2026-08).
# RAW values, one per structure (n=681). Unit: meV PER CELL, not per atom.
# Origin: Plot > Statistical > Histogram, then set Bin Size 50, Begin -1250, End 0.
# Do NOT feed the binned table below into Histogram - Origin would re-bin it.
#   Use the binned counts only to CHECK your result:
#    -1200 ..  -1150 :   3
#    -1150 ..  -1100 :   4
#    -1100 ..  -1050 :  18
#    -1050 ..  -1000 :  49
#    -1000 ..   -950 :  43
#     -950 ..   -900 :  76
#     -900 ..   -850 :  70
#     -850 ..   -800 : 121
#     -800 ..   -750 : 146
#     -750 ..   -700 : 114
#     -700 ..   -650 :  37
anneal_delta_E_meV_per_cell
-1197.437
-1191.529
-1180.259
-1140.105
-1132.964
-1130.819
-1116.107
-1095.923
-1094.969
-1094.858
-1091.980
-1089.415
-1087.161
-1079.386
-1073.322
-1073.225
-1072.092
-1068.016
-1062.618
-1060.040
-1059.025
-1058.269
-1054.345
-1053.916
-1052.174
-1047.854
-1047.725
-1046.544
-1046.448
-1044.234
-1043.254
-1042.689
-1042.610
-1041.959
-1039.923
-1038.825
-1037.574
-1037.160
-1033.201
-1032.387
-1029.974
-1028.837
-1028.228
-1027.754
-1026.707
-1026.674
-1026.433
-1024.999
-1023.590
-1023.096
-1022.355
-1022.137
-1021.948
-1021.846
-1021.148
-1020.114
-1018.932
-1018.913
-1018.233
-1017.980
-1014.030
-1011.377
-1010.819
-1009.897
-1009.448
-1007.967
-1007.369
-1007.247
-1007.233
-1005.306
-1004.655
-1002.848
-1001.483
-1000.853
-998.267
-996.812
-995.962
-995.654
-995.199
-994.079
-991.784
-991.646
-990.105
-985.697
-985.083
-984.826
-982.140
-981.726
-981.150
-981.078
-980.733
-979.154
-978.378
-978.371
-977.554
-977.221
-976.884
-975.103
-974.665
-973.172
-972.449
-972.330
-970.910
-968.836
-966.679
-966.183
-966.078
-964.207
-963.358
-962.959
-962.913
-962.425
-959.769
-957.299
-953.093
-951.991
-951.399
-949.128
-948.213
-948.033
-947.787
-947.680
-946.890
-946.716
-944.705
-943.359
-942.287
-939.896
-939.751
-939.745
-939.723
-939.415
-938.785
-937.054
-935.643
-934.957
-933.580
-933.339
-933.263
-933.042
-932.195
-932.038
-930.837
-930.346
-929.338
-928.291
-927.747
-926.703
-926.673
-924.902
-923.493
-923.315
-923.069
-922.884
-922.727
-922.471
-922.162
-921.952
-921.388
-921.118
-921.059
-920.235
-919.760
-917.852
-917.786
-917.758
-917.665
-917.463
-915.019
-913.524
-913.086
-912.969
-912.958
-912.566
-912.362
-911.765
-910.942
-910.776
-910.135
-909.305
-909.151
-907.916
-907.353
-907.115
-907.000
-905.585
-904.062
-902.179
-902.007
-901.782
-900.705
-900.703
-900.488
-899.417
-898.489
-898.288
-897.105
-896.213
-895.516
-894.889
-894.171
-893.922
-893.715
-893.425
-891.604
-891.274
-891.241
-891.050
-890.651
-888.763
-888.104
-887.340
-887.241
-886.570
-885.979
-885.089
-884.151
-883.442
-882.527
-880.295
-879.017
-878.864
-878.572
-878.142
-877.938
-877.554
-877.513
-875.671
-875.429
-873.401
-873.007
-872.624
-872.245
-872.010
-871.794
-871.442
-871.345
-870.588
-869.555
-868.010
-865.600
-864.832
-862.064
-861.897
-859.275
-858.500
-858.460
-856.571
-855.820
-855.355
-855.100
-854.770
-854.574
-854.440
-853.537
-853.131
-853.113
-853.110
-852.621
-852.405
-851.846
-851.185
-850.924
-848.325
-846.533
-842.815
-842.796
-841.995
-841.900
-841.390
-840.677
-840.280
-840.276
-839.558
-839.464
-839.326
-838.173
-837.835
-836.779
-836.753
-836.417
-835.958
-835.732
-835.500
-835.153
-835.024
-834.078
-833.920
-833.287
-831.744
-830.833
-830.252
-829.260
-827.384
-827.251
-827.123
-826.892
-826.773
-826.751
-825.899
-824.763
-824.530
-823.520
-823.261
-823.187
-822.862
-822.129
-821.856
-821.761
-821.606
-821.114
-819.923
-819.881
-818.682
-818.307
-818.089
-817.946
-816.750
-816.464
-816.439
-816.350
-816.317
-815.696
-815.598
-815.597
-815.542
-814.971
-814.734
-814.596
-814.275
-814.225
-814.152
-813.971
-813.869
-813.857
-813.619
-813.527
-813.079
-812.522
-812.194
-812.042
-811.906
-811.766
-811.534
-811.533
-811.460
-811.396
-809.920
-809.287
-809.276
-808.963
-808.957
-808.405
-808.240
-808.227
-807.401
-807.218
-806.960
-806.943
-806.653
-805.811
-805.784
-805.763
-805.731
-805.459
-805.355
-804.762
-804.496
-804.318
-803.615
-803.401
-803.186
-802.339
-801.704
-801.684
