E_minus_VBM,total_DOS
-2.2200,9.1266
-2.2000,11.1466
-2.1800,13.5198
-2.1600,16.0989
-2.1400,18.9621
-2.1200,22.2329
-2.1000,25.8414
-2.0800,29.4340
-2.0600,32.5358
-2.0400,34.8550
-2.0200,36.4785
-2.0000,37.7894
-1.9800,39.1732
-1.9600,40.7639
-1.9400,42.4549
-1.9200,44.1500
-1.9000,45.9589
-1.8800,48.1255
-1.8600,50.7400
-1.8400,53.5657
-1.8200,56.1591
-1.8000,58.1626
-1.7800,59.4630
-1.7600,60.1217
-1.7400,60.2112
-1.7200,59.7587
-1.7000,58.8064
-1.6800,57.4862
-1.6600,55.9973
-1.6400,54.5118
-1.6200,53.1160
-1.6000,51.8119
-1.5800,50.5562
-1.5600,49.2890
-1.5400,47.9486
-1.5200,46.4914
-1.5000,44.9337
-1.4800,43.3765
-1.4600,41.9792
-1.4400,40.8603
-1.4200,39.9736
-1.4000,39.0785
-1.3800,37.8744
-1.3600,36.2365
-1.3400,34.3733
-1.3200,32.7688
-1.3000,31.9081
-1.2800,31.9553
-1.2600,32.6206
-1.2400,33.3151
-1.2200,33.4692
-1.2000,32.7856
-1.1800,31.2901
-1.1600,29.2467
-1.1400,27.0351
-1.1200,25.0264
-1.1000,23.4778
-1.0800,22.5030
-1.0600,22.1446
-1.0400,22.4745
-1.0200,23.6249
-1.0000,25.7125
-0.9800,28.7306
-0.9600,32.4668
-0.9400,36.5163
-0.9200,40.3857
-0.9000,43.6458
-0.8800,46.0465
-0.8600,47.5677
-0.8400,48.4004
-0.8200,48.8750
-0.8000,49.3183
-0.7800,49.8864
-0.7600,50.4824
-0.7400,50.8354
-0.7200,50.7160
-0.7000,50.1406
-0.6800,49.4293
-0.6600,49.0697
-0.6400,49.4758
-0.6200,50.7827
-0.6000,52.8130
-0.5800,55.1892
-0.5600,57.4886
-0.5400,59.3284
-0.5200,60.4073
-0.5000,60.5773
-0.4800,59.9372
-0.4600,58.8478
-0.4400,57.7910
-0.4200,57.1200
-0.4000,56.8692
-0.3800,56.7020
-0.3600,56.0226
-0.3400,54.2178
-0.3200,50.9352
-0.3000,46.2816
-0.2800,40.7914
-0.2600,35.1738
-0.2400,30.0093
-0.2200,25.5780
-0.2000,21.8618
-0.1800,18.6705
-0.1600,15.7842
-0.1400,13.0694
-0.1200,10.5179
-0.1000,8.2100
-0.0800,6.2343
-0.0600,4.6258
-0.0400,3.3551
-0.0200,2.3604
0.0000,1.5855
0.0200,0.9984
0.0400,0.5792
0.0600,0.3049
0.0800,0.1442
0.1000,0.0606
0.1200,0.0225
0.1400,0.0073
0.1600,0.0020
0.1800,0.0004
0.2000,0.0001
0.2200,0.0000
0.2400,0.0000
0.2600,0.0000
0.2800,0.0000
0.3000,0.0000
0.3200,0.0000
0.3400,0.0000
0.3600,0.0000
0.3800,0.0000
0.4000,0.0000
0.4200,0.0000
0.4400,0.0000
0.4600,0.0000
0.4800,0.0000
0.5000,0.0000
0.5200,0.0000
0.5400,0.0000
0.5600,0.0000
0.5800,0.0000
0.6000,0.0000
0.6200,0.0000
0.6400,0.0000
0.6600,0.0000
0.6800,0.0000
0.7000,0.0000
0.7200,0.0000
0.7400,0.0000
0.7600,0.0000
0.7800,0.0000
0.8000,0.0000
0.8200,0.0000
0.8400,0.0000
0.8600,0.0000
0.8800,0.0000
0.9000,0.0000
0.9200,0.0000
0.9400,0.0000
0.9600,0.0000
0.9800,0.0000
1.0000,0.0000
1.0200,0.0000
1.0400,0.0000
1.0600,0.0000
1.0800,0.0000
1.1000,0.0000
1.1200,0.0000
1.1400,0.0000
1.1600,0.0000
1.1800,0.0000
1.2000,0.0000
1.2200,0.0000
1.2400,0.0000
1.2600,0.0000
1.2800,0.0000
1.3000,0.0000
1.3200,0.0000
1.3400,0.0000
1.3600,0.0000
1.3800,0.0000
1.4000,0.0000
1.4200,0.0000
1.4400,0.0000
1.4600,0.0000
1.4800,0.0000
1.5000,0.0000
1.5200,0.0000
1.5400,0.0000
1.5600,0.0000
1.5800,0.0000
1.6000,0.0000
1.6200,0.0000
1.6400,0.0000
1.6600,0.0000
1.6800,0.0000
1.7000,0.0000
1.7200,0.0000
1.7400,0.0000
1.7600,0.0000
1.7800,0.0000
1.8000,0.0000
1.8200,0.0000
1.8400,0.0000
1.8600,0.0000
1.8800,0.0000
1.9000,0.0000
1.9200,0.0000
1.9400,0.0000
1.9600,0.0000
1.9800,0.0000
2.0000,0.0000
2.0200,0.0000
2.0400,0.0001
2.0600,0.0005
2.0800,0.0018
2.1000,0.0057
2.1200,0.0153
2.1400,0.0354
2.1600,0.0707
2.1800,0.1223
2.2000,0.1843
2.2200,0.2477
2.2400,0.3108
2.2600,0.3908
2.2800,0.5228
2.3000,0.7353
2.3200,1.0151
2.3400,1.2886
2.3600,1.4504
2.3800,1.4250
2.4000,1.2211
2.4200,0.9304
2.4400,0.6776
2.4600,0.5642
2.4800,0.6416
2.5000,0.9139
2.5200,1.3475
2.5400,1.8771
2.5600,2.4179
2.5800,2.8870
2.6000,3.2250
2.6200,3.3968
2.6400,3.3841
2.6600,3.1948
2.6800,2.8938
2.7000,2.6280
2.7200,2.5953
2.7400,2.9585
2.7600,3.7496
2.7800,4.8271
2.8000,5.9230
2.8200,6.7611
2.8400,7.1868
2.8600,7.2417
2.8800,7.1539
2.9000,7.2415
2.9200,7.7529
2.9400,8.7051
2.9600,9.8268
2.9800,10.6862
3.0000,10.9393
3.0200,10.5207
3.0400,9.6377
3.0600,8.6106
3.0800,7.7131
3.1000,7.1137
3.1200,6.8944
3.1400,7.0677
3.1600,7.5738
3.1800,8.2816
3.2000,9.0219
3.2200,9.6399
3.2400,10.0424
3.2600,10.2136
3.2800,10.2078
3.3000,10.1222
3.3200,10.0653
3.3400,10.1162
3.3600,10.2890
3.3800,10.5216
3.4000,10.7148
3.4200,10.7982
3.4400,10.7711
3.4600,10.6895
3.4800,10.6099
3.5000,10.5381
3.5200,10.4096
3.5400,10.1092
3.5600,9.5233
3.5800,8.6101
3.6000,7.4433
3.6200,6.2010
3.6400,5.0956
3.6600,4.2988
3.6800,3.9013
3.7000,3.9173
3.7200,4.3004
3.7400,4.9502
3.7600,5.7269
3.7800,6.4967
3.8000,7.2027
3.8200,7.9085
3.8400,8.7784
3.8600,9.9888
3.8800,11.6188
3.9000,13.5774
3.9200,15.6145
3.9400,17.4209
3.9600,18.7645
3.9800,19.5971
4.0000,20.0743
4.0200,20.4723
4.0400,21.0616
4.0600,21.9780
4.0800,23.1558
4.1000,24.3470
4.1200,25.2425
4.1400,25.6348
4.1600,25.5197
4.1800,25.0549
