E_minus_VBM,Li,P,S,Cl,B,O
1.4200,0.0023,0.0015,0.0191,0.0000,0.0000,0.0001
1.4400,0.0022,0.0016,0.0180,0.0000,0.0000,0.0001
1.4600,0.0021,0.0016,0.0170,0.0000,0.0000,0.0001
1.4800,0.0020,0.0016,0.0160,0.0000,0.0000,0.0000
1.5000,0.0019,0.0016,0.0150,0.0000,0.0000,0.0000
1.5200,0.0018,0.0017,0.0139,0.0000,0.0000,0.0000
1.5400,0.0017,0.0017,0.0129,0.0000,0.0000,0.0000
1.5600,0.0016,0.0017,0.0119,0.0000,0.0000,0.0000
1.5800,0.0015,0.0018,0.0109,0.0000,0.0000,0.0000
1.6000,0.0015,0.0018,0.0100,0.0000,0.0000,0.0000
1.6200,0.0014,0.0020,0.0093,0.0000,0.0000,0.0000
1.6400,0.0015,0.0023,0.0088,0.0000,0.0000,0.0000
1.6600,0.0016,0.0029,0.0089,0.0000,0.0000,0.0000
1.6800,0.0020,0.0038,0.0097,0.0001,0.0000,0.0000
1.7000,0.0026,0.0053,0.0117,0.0001,0.0000,0.0000
1.7200,0.0035,0.0076,0.0151,0.0002,0.0001,0.0000
1.7400,0.0049,0.0108,0.0204,0.0002,0.0001,0.0001
1.7600,0.0069,0.0153,0.0280,0.0004,0.0001,0.0001
1.7800,0.0097,0.0214,0.0386,0.0005,0.0002,0.0001
1.8000,0.0133,0.0294,0.0528,0.0007,0.0002,0.0002
1.8200,0.0180,0.0398,0.0714,0.0010,0.0003,0.0003
1.8400,0.0241,0.0531,0.0952,0.0014,0.0004,0.0004
1.8600,0.0316,0.0695,0.1245,0.0018,0.0005,0.0005
1.8800,0.0407,0.0893,0.1597,0.0024,0.0007,0.0006
1.9000,0.0513,0.1124,0.2010,0.0030,0.0008,0.0008
1.9200,0.0635,0.1390,0.2482,0.0037,0.0009,0.0010
1.9400,0.0774,0.1690,0.3015,0.0046,0.0011,0.0012
1.9600,0.0929,0.2024,0.3608,0.0055,0.0013,0.0015
1.9800,0.1100,0.2392,0.4257,0.0066,0.0014,0.0017
2.0000,0.1285,0.2789,0.4957,0.0077,0.0016,0.0020
2.0200,0.1482,0.3212,0.5698,0.0090,0.0018,0.0024
2.0400,0.1688,0.3654,0.6469,0.0103,0.0020,0.0027
2.0600,0.1901,0.4110,0.7259,0.0117,0.0021,0.0031
2.0800,0.2119,0.4575,0.8059,0.0131,0.0023,0.0034
2.1000,0.2340,0.5047,0.8864,0.0146,0.0025,0.0038
2.1200,0.2565,0.5526,0.9674,0.0161,0.0026,0.0042
2.1400,0.2794,0.6016,1.0491,0.0177,0.0028,0.0047
2.1600,0.3029,0.6520,1.1325,0.0194,0.0030,0.0051
2.1800,0.3273,0.7045,1.2183,0.0211,0.0033,0.0056
2.2000,0.3527,0.7595,1.3073,0.0230,0.0036,0.0061
2.2200,0.3795,0.8176,1.4005,0.0249,0.0041,0.0066
2.2400,0.4078,0.8793,1.4985,0.0270,0.0047,0.0072
2.2600,0.4378,0.9449,1.6021,0.0293,0.0055,0.0078
2.2800,0.4699,1.0149,1.7119,0.0317,0.0067,0.0085
2.3000,0.5043,1.0899,1.8289,0.0344,0.0085,0.0092
2.3200,0.5414,1.1702,1.9538,0.0372,0.0110,0.0100
2.3400,0.5813,1.2561,2.0872,0.0404,0.0146,0.0109
2.3600,0.6245,1.3478,2.2293,0.0438,0.0197,0.0118
2.3800,0.6711,1.4450,2.3801,0.0476,0.0271,0.0127
2.4000,0.7215,1.5476,2.5397,0.0518,0.0376,0.0137
2.4200,0.7759,1.6554,2.7079,0.0564,0.0522,0.0147
2.4400,0.8348,1.7681,2.8847,0.0615,0.0719,0.0157
2.4600,0.8984,1.8854,3.0701,0.0671,0.0978,0.0167
2.4800,0.9667,2.0067,3.2637,0.0733,0.1306,0.0178
2.5000,1.0398,2.1312,3.4648,0.0800,0.1716,0.0188
2.5200,1.1176,2.2580,3.6729,0.0872,0.2218,0.0199
2.5400,1.1999,2.3860,3.8870,0.0950,0.2826,0.0209
2.5600,1.2866,2.5141,4.1063,0.1033,0.3550,0.0219
