E_minus_VBM,Li,P,S,Cl,B,O
-7.8000,2.9866,7.3534,17.3321,0.0375,0.0022,3.4184
-7.7800,2.9459,7.3242,17.2456,0.0362,0.0024,3.4408
-7.7600,2.8784,7.2231,17.0046,0.0347,0.0026,3.4025
-7.7400,2.7850,7.0509,16.6118,0.0329,0.0028,3.3022
-7.7200,2.6675,6.8112,16.0739,0.0310,0.0029,3.1437
-7.7000,2.5288,6.5102,15.4023,0.0289,0.0031,2.9362
-7.6800,2.3724,6.1559,14.6109,0.0267,0.0032,2.6924
-7.6600,2.2018,5.7565,13.7141,0.0244,0.0032,2.4255
-7.6400,2.0205,5.3200,12.7261,0.0221,0.0032,2.1477
-7.6200,1.8316,4.8547,11.6630,0.0198,0.0032,1.8688
-7.6000,1.6387,4.3699,10.5451,0.0176,0.0031,1.5965
-7.5800,1.4456,3.8766,9.3979,0.0154,0.0030,1.3369
-7.5600,1.2568,3.3877,8.2518,0.0133,0.0028,1.0960
-7.5400,1.0764,2.9158,7.1372,0.0113,0.0026,0.8788
-7.5200,0.9084,2.4721,6.0811,0.0095,0.0023,0.6893
-7.5000,0.7553,2.0644,5.1030,0.0079,0.0021,0.5297
-7.4800,0.6185,1.6970,4.2143,0.0065,0.0018,0.3994
-7.4600,0.4980,1.3714,3.4200,0.0052,0.0016,0.2960
-7.4400,0.3937,1.0874,2.7222,0.0041,0.0013,0.2156
-7.4200,0.3049,0.8445,2.1213,0.0032,0.0011,0.1540
-7.4000,0.2311,0.6417,1.6171,0.0024,0.0008,0.1075
-7.3800,0.1715,0.4773,1.2066,0.0018,0.0006,0.0731
-7.3600,0.1248,0.3482,0.8829,0.0013,0.0005,0.0484
-7.3400,0.0893,0.2498,0.6352,0.0010,0.0004,0.0313
-7.3200,0.0630,0.1764,0.4500,0.0007,0.0003,0.0198
-7.3000,0.0438,0.1228,0.3141,0.0005,0.0002,0.0123
-7.2800,0.0300,0.0843,0.2163,0.0004,0.0001,0.0076
-7.2600,0.0204,0.0573,0.1474,0.0003,0.0001,0.0046
-7.2400,0.0138,0.0390,0.1007,0.0002,0.0001,0.0028
-7.2200,0.0096,0.0272,0.0704,0.0001,0.0001,0.0016
-7.2000,0.0071,0.0200,0.0520,0.0001,0.0001,0.0010
-7.1800,0.0056,0.0159,0.0414,0.0001,0.0001,0.0007
-7.1600,0.0048,0.0136,0.0357,0.0001,0.0001,0.0005
-7.1400,0.0044,0.0124,0.0326,0.0001,0.0001,0.0004
-7.1200,0.0042,0.0117,0.0309,0.0001,0.0001,0.0004
-7.1000,0.0040,0.0113,0.0298,0.0001,0.0001,0.0003
-7.0800,0.0039,0.0109,0.0290,0.0001,0.0002,0.0003
-7.0600,0.0038,0.0106,0.0283,0.0001,0.0002,0.0003
-7.0400,0.0037,0.0104,0.0276,0.0001,0.0002,0.0003
-7.0200,0.0037,0.0101,0.0269,0.0001,0.0002,0.0003
-7.0000,0.0036,0.0098,0.0262,0.0001,0.0002,0.0003
-6.9800,0.0035,0.0095,0.0255,0.0001,0.0002,0.0003
-6.9600,0.0034,0.0092,0.0248,0.0001,0.0003,0.0003
-6.9400,0.0033,0.0089,0.0241,0.0001,0.0003,0.0003
-6.9200,0.0032,0.0086,0.0234,0.0001,0.0003,0.0003
-6.9000,0.0031,0.0084,0.0227,0.0001,0.0003,0.0002
-6.8800,0.0030,0.0081,0.0220,0.0001,0.0003,0.0002
-6.8600,0.0029,0.0078,0.0214,0.0001,0.0003,0.0002
-6.8400,0.0029,0.0075,0.0207,0.0001,0.0004,0.0002
-6.8200,0.0028,0.0072,0.0200,0.0001,0.0004,0.0002
-6.8000,0.0027,0.0069,0.0193,0.0001,0.0004,0.0002
-6.7800,0.0026,0.0066,0.0186,0.0000,0.0004,0.0002
-6.7600,0.0025,0.0064,0.0179,0.0000,0.0004,0.0002
-6.7400,0.0024,0.0061,0.0172,0.0000,0.0004,0.0002
-6.7200,0.0023,0.0058,0.0165,0.0000,0.0005,0.0002
-6.7000,0.0022,0.0055,0.0158,0.0000,0.0005,0.0002
-6.6800,0.0021,0.0052,0.0151,0.0000,0.0005,0.0002
-6.6600,0.0020,0.0049,0.0144,0.0000,0.0005,0.0001
-6.6400,0.0020,0.0046,0.0137,0.0000,0.0005,0.0001
-6.6200,0.0019,0.0044,0.0131,0.0000,0.0005,0.0001
-6.6000,0.0018,0.0041,0.0124,0.0000,0.0006,0.0001
-6.5800,0.0017,0.0038,0.0117,0.0000,0.0006,0.0001
-6.5600,0.0016,0.0035,0.0110,0.0000,0.0006,0.0001
-6.5400,0.0015,0.0032,0.0103,0.0000,0.0006,0.0001
-6.5200,0.0014,0.0029,0.0096,0.0000,0.0006,0.0001
-6.5000,0.0013,0.0026,0.0089,0.0000,0.0006,0.0001
-6.4800,0.0012,0.0024,0.0082,0.0000,0.0007,0.0001
-6.4600,0.0012,0.0021,0.0076,0.0000,0.0007,0.0001
-6.4400,0.0011,0.0018,0.0070,0.0000,0.0008,0.0001
-6.4200,0.0011,0.0015,0.0067,0.0000,0.0009,0.0000
-6.4000,0.0011,0.0012,0.0066,0.0000,0.0010,0.0000
-6.3800,0.0012,0.0010,0.0071,0.0000,0.0014,0.0000
-6.3600,0.0015,0.0008,0.0084,0.0001,0.0020,0.0000
-6.3400,0.0021,0.0006,0.0110,0.0001,0.0029,0.0000
-6.3200,0.0029,0.0004,0.0153,0.0002,0.0043,0.0000
-6.3000,0.0042,0.0002,0.0219,0.0003,0.0064,0.0000
-6.2800,0.0061,0.0002,0.0314,0.0005,0.0094,0.0000
-6.2600,0.0087,0.0001,0.0450,0.0007,0.0135,0.0000
-6.2400,0.0122,0.0001,0.0637,0.0011,0.0192,0.0000
-6.2200,0.0170,0.0000,0.0888,0.0015,0.0268,0.0000
-6.2000,0.0232,0.0000,0.1217,0.0020,0.0367,0.0000
-6.1800,0.0311,0.0000,0.1633,0.0027,0.0493,0.0000
-6.1600,0.0406,0.0001,0.2142,0.0036,0.0647,0.0000
-6.1400,0.0519,0.0001,0.2749,0.0046,0.0831,0.0000
-6.1200,0.0650,0.0001,0.3459,0.0057,0.1046,0.0001
-6.1000,0.0798,0.0002,0.4277,0.0070,0.1293,0.0001
-6.0800,0.0966,0.0003,0.5206,0.0085,0.1574,0.0001
-6.0600,0.1151,0.0004,0.6247,0.0102,0.1890,0.0002
-6.0400,0.1353,0.0007,0.7398,0.0120,0.2239,0.0005
-6.0200,0.1571,0.0010,0.8653,0.0139,0.2620,0.0009
-6.0000,0.1801,0.0016,1.0001,0.0160,0.3029,0.0017
-5.9800,0.2043,0.0025,1.1438,0.0182,0.3465,0.0033
-5.9600,0.2294,0.0039,1.2960,0.0205,0.3927,0.0060
-5.9400,0.2555,0.0062,1.4567,0.0229,0.4413,0.0109
-5.9200,0.2829,0.0098,1.6268,0.0254,0.4925,0.0194
-5.9000,0.3118,0.0154,1.8076,0.0280,0.5465,0.0335
-5.8800,0.3427,0.0241,2.0008,0.0307,0.6036,0.0563
-5.8600,0.3764,0.0371,2.2085,0.0336,0.6640,0.0913
-5.8400,0.4133,0.0558,2.4325,0.0368,0.7279,0.1427
-5.8200,0.4542,0.0820,2.6735,0.0401,0.7948,0.2156
-5.8000,0.4996,0.1180,2.9311,0.0437,0.8640,0.3163
-5.7800,0.5502,0.1669,3.2037,0.0475,0.9340,0.4530
-5.7600,0.6068,0.2323,3.4891,0.0515,1.0029,0.6356
-5.7400,0.6699,0.3181,3.7846,0.0557,1.0685,0.8741
-5.7200,0.7403,0.4275,4.0874,0.0600,1.1289,1.1763
-5.7000,0.8178,0.5623,4.3944,0.0645,1.1823,1.5450
-5.6800,0.9019,0.7225,4.7019,0.0691,1.2272,1.9765
-5.6600,0.9911,0.9062,5.0053,0.0738,1.2623,2.4604
-5.6400,1.0836,1.1105,5.2992,0.0785,1.2861,2.9820
-5.6200,1.1776,1.3323,5.5787,0.0830,1.2973,3.5250
-5.6000,1.2712,1.5684,5.8402,0.0875,1.2952,4.0729
-5.5800,1.3630,1.8159,6.0829,0.0919,1.2796,4.6103
-5.5600,1.4520,2.0716,6.3099,0.0962,1.2520,5.1208
-5.5400,1.5373,2.3318,6.5278,0.1006,1.2149,5.5867
-5.5200,1.6181,2.5926,6.7460,0.1053,1.1719,5.9884
-5.5000,1.6940,2.8505,6.9748,0.1104,1.1266,6.3062
-5.4800,1.7647,3.1029,7.2241,0.1160,1.0819,6.5253
-5.4600,1.8306,3.3495,7.5018,0.1223,1.0401,6.6393
-5.4400,1.8930,3.5924,7.8141,0.1295,1.0021,6.6536
-5.4200,1.9538,3.8362,8.1664,0.1375,0.9679,6.5842
-5.4000,2.0159,4.0873,8.5635,0.1463,0.9370,6.4541
-5.3800,2.0819,4.3524,9.0098,0.1562,0.9085,6.2876
-5.3600,2.1541,4.6371,9.5082,0.1670,0.8814,6.1057
-5.3400,2.2336,4.9440,10.0580,0.1788,0.8548,5.9229
-5.3200,2.3199,5.2727,10.6542,0.1915,0.8276,5.7469
-5.3000,2.4115,5.6195,11.2869,0.2050,0.7984,5.5796
-5.2800,2.5060,5.9786,11.9431,0.2190,0.7660,5.4192
-5.2600,2.6005,6.3440,12.6098,0.2334,0.7290,5.2627
-5.2400,2.6929,6.7105,13.2761,0.2481,0.6863,5.1083
-5.2200,2.7817,7.0752,13.9352,0.2632,0.6378,4.9564
-5.2000,2.8664,7.4375,14.5851,0.2788,0.5839,4.8115
-5.1800,2.9476,7.7991,15.2280,0.2951,0.5261,4.6815
-5.1600,3.0262,8.1629,15.8685,0.3126,0.4664,4.5773
-5.1400,3.1033,8.5321,16.5117,0.3316,0.4070,4.5101
-5.1200,3.1796,8.9083,17.1603,0.3526,0.3499,4.4888
-5.1000,3.2549,9.2903,17.8130,0.3756,0.2966,4.5168
-5.0800,3.3281,9.6732,18.4626,0.4005,0.2478,4.5908
-5.0600,3.3966,10.0480,19.0959,0.4271,0.2042,4.7005
-5.0400,3.4575,10.4030,19.6957,0.4549,0.1659,4.8309
-5.0200,3.5073,10.7257,20.2438,0.4833,0.1331,4.9655
-5.0000,3.5432,11.0055,20.7259,0.5121,0.1057,5.0886
-4.9800,3.5639,11.2367,21.1360,0.5409,0.0838,5.1865
-4.9600,3.5697,11.4192,21.4789,0.5698,0.0669,5.2475
-4.9400,3.5625,11.5585,21.7694,0.5988,0.0544,5.2606
-4.9200,3.5454,11.6634,22.0295,0.6284,0.0457,5.2150
-4.9000,3.5216,11.7443,22.2838,0.6588,0.0399,5.1002
-4.8800,3.4945,11.8114,22.5554,0.6902,0.0366,4.9093
-4.8600,3.4667,11.8749,22.8640,0.7227,0.0352,4.6416
-4.8400,3.4410,11.9454,23.2263,0.7562,0.0353,4.3049
-4.8200,3.4199,12.0351,23.6573,0.7905,0.0366,3.9154
-4.8000,3.4061,12.1570,24.1715,0.8250,0.0387,3.4947
-4.7800,3.4018,12.3239,24.7816,0.8591,0.0414,3.0662
-4.7600,3.4088,12.5449,25.4948,0.8923,0.0445,2.6498
-4.7400,3.4273,12.8226,26.3075,0.9238,0.0479,2.2603
-4.7200,3.4557,13.1506,27.2014,0.9529,0.0514,1.9060
-4.7000,3.4905,13.5143,28.1433,0.9786,0.0550,1.5905
-4.6800,3.5271,13.8928,29.0886,0.9997,0.0587,1.3141
-4.6600,3.5603,14.2629,29.9887,1.0152,0.0624,1.0763
-4.6400,3.5852,14.6025,30.7979,1.0240,0.0663,0.8759
-4.6200,3.5981,14.8927,31.4780,1.0255,0.0705,0.7107
-4.6000,3.5960,15.1170,31.9975,1.0199,0.0753,0.5777
-4.5800,3.5767,15.2602,32.3289,1.0076,0.0810,0.4723
-4.5600,3.5382,15.3064,32.4445,0.9896,0.0884,0.3894
-4.5400,3.4787,15.2398,32.3171,0.9670,0.0979,0.3237
-4.5200,3.3969,15.0473,31.9252,0.9406,0.1104,0.2711
-4.5000,3.2930,14.7219,31.2596,0.9117,0.1268,0.2283
-4.4800,3.1688,14.2649,30.3288,0.8813,0.1482,0.1929
-4.4600,3.0279,13.6850,29.1572,0.8509,0.1757,0.1632
-4.4400,2.8750,12.9953,27.7793,0.8223,0.2111,0.1381
-4.4200,2.7154,12.2101,26.2321,0.7972,0.2558,0.1168
-4.4000,2.5536,11.3436,24.5510,0.7776,0.3112,0.0985
-4.3800,2.3939,10.4111,22.7704,0.7651,0.3776,0.0828
-4.3600,2.2398,9.4307,20.9273,0.7618,0.4544,0.0693
-4.3400,2.0946,8.4249,19.0640,0.7698,0.5398,0.0579
-4.3200,1.9619,7.4193,17.2273,0.7917,0.6313,0.0481
-4.3000,1.8452,6.4401,15.4641,0.8307,0.7262,0.0398
-4.2800,1.7475,5.5101,13.8146,0.8903,0.8219,0.0329
-4.2600,1.6708,4.6460,12.3068,0.9743,0.9161,0.0271
-4.2400,1.6161,3.8581,10.9547,1.0873,1.0065,0.0224
-4.2200,1.5834,3.1513,9.7611,1.2345,1.0910,0.0187
-4.2000,1.5722,2.5281,8.7227,1.4225,1.1670,0.0157
-4.1800,1.5821,1.9899,7.8348,1.6581,1.2325,0.0134
-4.1600,1.6129,1.5374,7.0926,1.9469,1.2860,0.0117
-4.1400,1.6641,1.1684,6.4901,2.2916,1.3272,0.0106
-4.1200,1.7352,0.8774,6.0190,2.6911,1.3578,0.0099
-4.1000,1.8252,0.6547,5.6680,3.1406,1.3812,0.0098
-4.0800,1.9332,0.4888,5.4248,3.6332,1.4020,0.0103
-4.0600,2.0588,0.3680,5.2781,4.1622,1.4250,0.0114
-4.0400,2.2014,0.2822,5.2184,4.7221,1.4545,0.0134
-4.0200,2.3608,0.2235,5.2378,5.3100,1.4933,0.0163
-4.0000,2.5370,0.1856,5.3283,5.9256,1.5429,0.0205
-3.9800,2.7296,0.1634,5.4816,6.5710,1.6034,0.0264
-3.9600,2.9390,0.1526,5.6895,7.2510,1.6738,0.0345
-3.9400,3.1658,0.1494,5.9446,7.9736,1.7532,0.0453
-3.9200,3.4115,0.1511,6.2404,8.7497,1.8401,0.0595
-3.9000,3.6784,0.1558,6.5710,9.5949,1.9325,0.0777
-3.8800,3.9701,0.1625,6.9305,10.5311,2.0280,0.1003
-3.8600,4.2913,0.1708,7.3121,11.5882,2.1231,0.1279
-3.8400,4.6481,0.1808,7.7087,12.8029,2.2137,0.1612
-3.8200,5.0468,0.1928,8.1130,14.2135,2.2956,0.2009
-3.8000,5.4923,0.2072,8.5187,15.8507,2.3648,0.2475
-3.7800,5.9859,0.2241,8.9201,17.7285,2.4189,0.3013
-3.7600,6.5241,0.2436,9.3125,19.8380,2.4565,0.3625
-3.7400,7.0990,0.2653,9.6909,22.1496,2.4771,0.4307
-3.7200,7.6996,0.2890,10.0506,24.6201,2.4811,0.5054
-3.7000,8.3139,0.3142,10.3870,27.2029,2.4689,0.5862
-3.6800,8.9316,0.3406,10.6965,29.8561,2.4411,0.6728
-3.6600,9.5444,0.3679,10.9783,32.5454,2.3988,0.7647
-3.6400,10.1465,0.3955,11.2343,35.2441,2.3437,0.8618
-3.6200,10.7338,0.4232,11.4694,37.9296,2.2786,0.9636
-3.6000,11.3032,0.4505,11.6906,40.5819,2.2065,1.0700
-3.5800,11.8518,0.4769,11.9053,43.1837,2.1309,1.1804
-3.5600,12.3779,0.5021,12.1203,45.7223,2.0547,1.2948
-3.5400,12.8807,0.5259,12.3408,48.1928,1.9802,1.4125
-3.5200,13.3609,0.5481,12.5704,50.5995,1.9094,1.5330
-3.5000,13.8207,0.5687,12.8118,52.9553,1.8438,1.6551
-3.4800,14.2630,0.5879,13.0669,55.2782,1.7850,1.7779
-3.4600,14.6904,0.6056,13.3370,57.5867,1.7344,1.9002
-3.4400,15.1044,0.6221,13.6225,59.8938,1.6930,2.0213
-3.4200,15.5048,0.6373,13.9218,62.2029,1.6612,2.1411
-3.4000,15.8892,0.6512,14.2312,64.5052,1.6388,2.2603
-3.3800,16.2530,0.6638,14.5441,66.7796,1.6246,2.3802
-3.3600,16.5895,0.6752,14.8521,68.9949,1.6173,2.5030
-3.3400,16.8908,0.6851,15.1460,71.1143,1.6151,2.6306
-3.3200,17.1493,0.6935,15.4171,73.1002,1.6167,2.7648
-3.3000,17.3578,0.7002,15.6581,74.9161,1.6208,2.9064
-3.2800,17.5104,0.7051,15.8634,76.5260,1.6264,3.0550
-3.2600,17.6011,0.7080,16.0277,77.8906,1.6327,3.2092
-3.2400,17.6237,0.7084,16.1460,78.9656,1.6387,3.3670
-3.2200,17.5716,0.7063,16.2133,79.7052,1.6435,3.5260
-3.2000,17.4396,0.7013,16.2254,80.0722,1.6464,3.6841
-3.1800,17.2258,0.6933,16.1803,80.0498,1.6466,3.8397
-3.1600,16.9332,0.6825,16.0792,79.6489,1.6434,3.9918
-3.1400,16.5697,0.6693,15.9260,78.9062,1.6362,4.1395
-3.1200,16.1456,0.6540,15.7264,77.8738,1.6241,4.2826
-3.1000,15.6718,0.6372,15.4860,76.6066,1.6064,4.4205
-3.0800,15.1584,0.6194,15.2099,75.1542,1.5822,4.5533
-3.0600,14.6141,0.6009,14.9029,73.5583,1.5514,4.6810
-3.0400,14.0471,0.5821,14.5697,71.8552,1.5138,4.8041
-3.0200,13.4658,0.5634,14.2152,70.0790,1.4702,4.9236
-3.0000,12.8788,0.5452,13.8446,68.2616,1.4210,5.0405
-2.9800,12.2940,0.5279,13.4627,66.4303,1.3672,5.1558
-2.9600,11.7178,0.5118,13.0732,64.6030,1.3094,5.2697
-2.9400,11.1538,0.4968,12.6785,62.7831,1.2482,5.3813
-2.9200,10.6028,0.4829,12.2792,60.9570,1.1843,5.4882
-2.9000,10.0630,0.4698,11.8752,59.0940,1.1185,5.5866
-2.8800,9.5309,0.4570,11.4656,57.1516,1.0517,5.6714
-2.8600,9.0030,0.4441,11.0504,55.0841,0.9847,5.7375
-2.8400,8.4769,0.4305,10.6316,52.8546,0.9185,5.7806
-2.8200,7.9526,0.4162,10.2158,50.4455,0.8541,5.7995
-2.8000,7.4332,0.4013,9.8154,47.8636,0.7926,5.7959
-2.7800,6.9249,0.3861,9.4496,45.1393,0.7355,5.7747
-2.7600,6.4366,0.3712,9.1432,42.3184,0.6844,5.7432
-2.7400,5.9781,0.3571,8.9234,39.4523,0.6411,5.7089
-2.7200,5.5584,0.3444,8.8148,36.5890,0.6070,5.6782
-2.7000,5.1848,0.3336,8.8360,33.7696,0.5827,5.6553
-2.6800,4.8615,0.3248,8.9982,31.0284,0.5682,5.6418
-2.6600,4.5915,0.3183,9.3071,28.3971,0.5625,5.6368
-2.6400,4.3765,0.3142,9.7659,25.9070,0.5641,5.6382
-2.6200,4.2184,0.3126,10.3775,23.5888,0.5714,5.6429
-2.6000,4.1184,0.3135,11.1436,21.4682,0.5825,5.6481
-2.5800,4.0758,0.3168,12.0615,19.5606,0.5958,5.6509
-2.5600,4.0873,0.3221,13.1221,17.8683,0.6093,5.6490
-2.5400,4.1465,0.3290,14.3098,16.3824,0.6208,5.6396
-2.5200,4.2457,0.3369,15.6055,15.0879,0.6277,5.6199
-2.5000,4.3774,0.3450,16.9906,13.9692,0.6275,5.5869
-2.4800,4.5347,0.3527,18.4501,13.0126,0.6182,5.5374
-2.4600,4.7129,0.3596,19.9737,12.2057,0.5987,5.4687
-2.4400,4.9082,0.3654,21.5559,11.5353,0.5696,5.3781
-2.4200,5.1181,0.3697,23.1953,10.9870,0.5322,5.2626
-2.4000,5.3408,0.3725,24.8932,10.5462,0.4891,5.1193
-2.3800,5.5752,0.3736,26.6531,10.1997,0.4426,4.9453
-2.3600,5.8208,0.3730,28.4782,9.9369,0.3953,4.7389
-2.3400,6.0774,0.3707,30.3692,9.7489,0.3489,4.5014
-2.3200,6.3452,0.3670,32.3234,9.6274,0.3052,4.2376
-2.3000,6.6250,0.3623,34.3343,9.5642,0.2651,3.9567
-2.2800,6.9175,0.3572,36.3930,9.5513,0.2298,3.6704
-2.2600,7.2236,0.3522,38.4888,9.5814,0.2002,3.3912
-2.2400,7.5436,0.3479,40.6101,9.6480,0.1772,3.1301
-2.2200,7.8761,0.3447,42.7421,9.7446,0.1608,2.8953
-2.2000,8.2177,0.3427,44.8653,9.8642,0.1509,2.6919
-2.1800,8.5630,0.3420,46.9536,9.9984,0.1466,2.5221
-2.1600,8.9049,0.3425,48.9760,10.1377,0.1468,2.3870
-2.1400,9.2357,0.3442,50.8997,10.2729,0.1502,2.2868
-2.1200,9.5489,0.3470,52.6959,10.3958,0.1559,2.2210
-2.1000,9.8401,0.3507,54.3449,10.5004,0.1628,2.1875
-2.0800,10.1074,0.3553,55.8381,10.5833,0.1706,2.1818
-2.0600,10.3508,0.3605,57.1757,10.6426,0.1786,2.1969
-2.0400,10.5716,0.3662,58.3624,10.6776,0.1867,2.2242
-2.0200,10.7714,0.3720,59.4037,10.6879,0.1946,2.2548
-2.0000,10.9514,0.3779,60.3044,10.6735,0.2021,2.2812
-1.9800,11.1124,0.3837,61.0691,10.6348,0.2091,2.2978
-1.9600,11.2549,0.3891,61.7041,10.5738,0.2156,2.3017
-1.9400,11.3790,0.3941,62.2168,10.4932,0.2216,2.2919
-1.9200,11.4843,0.3984,62.6146,10.3964,0.2274,2.2684
-1.9000,11.5700,0.4020,62.9029,10.2868,0.2330,2.2320
-1.8800,11.6345,0.4045,63.0845,10.1671,0.2385,2.1838
-1.8600,11.6760,0.4059,63.1598,10.0392,0.2438,2.1253
-1.8400,11.6921,0.4062,63.1276,9.9041,0.2490,2.0587
-1.8200,11.6800,0.4053,62.9848,9.7621,0.2538,1.9872
-1.8000,11.6359,0.4031,62.7263,9.6129,0.2579,1.9145
-1.7800,11.5562,0.3997,62.3467,9.4563,0.2612,1.8442
-1.7600,11.4383,0.3950,61.8435,9.2920,0.2633,1.7796
-1.7400,11.2823,0.3891,61.2225,9.1205,0.2641,1.7228
-1.7200,11.0922,0.3820,60.5013,8.9432,0.2637,1.6747
-1.7000,10.8758,0.3740,59.7097,8.7624,0.2624,1.6352
-1.6800,10.6433,0.3651,58.8859,8.5813,0.2604,1.6035
-1.6600,10.4054,0.3557,58.0689,8.4029,0.2580,1.5789
-1.6400,10.1713,0.3459,57.2914,8.2293,0.2556,1.5604
-1.6200,9.9473,0.3357,56.5734,8.0612,0.2533,1.5473
-1.6000,9.7366,0.3254,55.9203,7.8975,0.2511,1.5393
-1.5800,9.5399,0.3150,55.3247,7.7350,0.2490,1.5357
-1.5600,9.3560,0.3044,54.7713,7.5693,0.2470,1.5363
-1.5400,9.1835,0.2938,54.2432,7.3956,0.2450,1.5408
-1.5200,9.0216,0.2832,53.7285,7.2097,0.2426,1.5489
-1.5000,8.8701,0.2727,53.2243,7.0092,0.2400,1.5604
-1.4800,8.7306,0.2624,52.7401,6.7932,0.2370,1.5748
-1.4600,8.6057,0.2525,52.2973,6.5628,0.2335,1.5914
-1.4400,8.4995,0.2434,51.9276,6.3201,0.2295,1.6096
-1.4200,8.4168,0.2352,51.6672,6.0676,0.2250,1.6284
-1.4000,8.3621,0.2282,51.5519,5.8084,0.2198,1.6469
-1.3800,8.3393,0.2226,51.6127,5.5455,0.2142,1.6639
-1.3600,8.3513,0.2186,51.8755,5.2832,0.2081,1.6780
-1.3400,8.4005,0.2160,52.3643,5.0266,0.2017,1.6874
-1.3200,8.4889,0.2151,53.1034,4.7816,0.1953,1.6899
-1.3000,8.6187,0.2156,54.1169,4.5544,0.1892,1.6833
-1.2800,8.7908,0.2176,55.4211,4.3502,0.1834,1.6660
-1.2600,9.0038,0.2211,57.0156,4.1722,0.1782,1.6371
-1.2400,9.2527,0.2258,58.8755,4.0210,0.1736,1.5974
-1.2200,9.5288,0.2316,60.9523,3.8950,0.1697,1.5485
-1.2000,9.8210,0.2380,63.1820,3.7913,0.1664,1.4932
-1.1800,10.1175,0.2450,65.4964,3.7067,0.1637,1.4343
-1.1600,10.4076,0.2521,67.8345,3.6379,0.1616,1.3743
-1.1400,10.6831,0.2591,70.1472,3.5819,0.1601,1.3153
-1.1200,10.9378,0.2660,72.3968,3.5355,0.1591,1.2589
-1.1000,11.1672,0.2726,74.5534,3.4951,0.1586,1.2061
-1.0800,11.3676,0.2789,76.5905,3.4568,0.1585,1.1580
-1.0600,11.5355,0.2847,78.4847,3.4170,0.1589,1.1154
-1.0400,11.6686,0.2901,80.2192,3.3724,0.1597,1.0792
-1.0200,11.7660,0.2950,81.7890,3.3214,0.1608,1.0499
-1.0000,11.8294,0.2994,83.2042,3.2633,0.1621,1.0280
-0.9800,11.8628,0.3035,84.4891,3.1989,0.1637,1.0136
-0.9600,11.8711,0.3071,85.6763,3.1294,0.1655,1.0070
-0.9400,11.8596,0.3105,86.7986,3.0566,0.1672,1.0082
-0.9200,11.8321,0.3136,87.8805,2.9819,0.1689,1.0173
-0.9000,11.7907,0.3163,88.9320,2.9062,0.1705,1.0338
-0.8800,11.7356,0.3187,89.9460,2.8301,0.1718,1.0566
-0.8600,11.6649,0.3206,90.8979,2.7538,0.1727,1.0840
-0.8400,11.5754,0.3219,91.7498,2.6769,0.1731,1.1138
-0.8200,11.4630,0.3222,92.4567,2.5993,0.1727,1.1437
-0.8000,11.3236,0.3214,92.9734,2.5204,0.1716,1.1714
-0.7800,11.1541,0.3195,93.2597,2.4398,0.1695,1.1951
-0.7600,10.9522,0.3162,93.2803,2.3570,0.1665,1.2133
-0.7400,10.7168,0.3117,93.0010,2.2713,0.1624,1.2244
-0.7200,10.4467,0.3059,92.3848,2.1819,0.1574,1.2272
-0.7000,10.1409,0.2989,91.3929,2.0882,0.1513,1.2201
-0.6800,9.7988,0.2907,89.9927,1.9896,0.1443,1.2022
-0.6600,9.4210,0.2813,88.1680,1.8860,0.1364,1.1730
-0.6400,9.0101,0.2708,85.9255,1.7779,0.1278,1.1331
-0.6200,8.5708,0.2594,83.2930,1.6665,0.1186,1.0838
-0.6000,8.1087,0.2473,80.3099,1.5532,0.1092,1.0270
-0.5800,7.6301,0.2346,77.0176,1.4396,0.0998,0.9649
-0.5600,7.1406,0.2214,73.4551,1.3273,0.0906,0.8993
-0.5400,6.6452,0.2080,69.6607,1.2176,0.0819,0.8321
-0.5200,6.1491,0.1945,65.6776,1.1114,0.0738,0.7650
-0.5000,5.6573,0.1810,61.5566,1.0098,0.0663,0.6997
-0.4800,5.1754,0.1678,57.3543,0.9135,0.0594,0.6383
-0.4600,4.7090,0.1551,53.1282,0.8234,0.0533,0.5826
-0.4400,4.2632,0.1430,48.9309,0.7404,0.0480,0.5342
-0.4200,3.8418,0.1316,44.8083,0.6648,0.0434,0.4939
-0.4000,3.4471,0.1210,40.8015,0.5968,0.0394,0.4619
