# B2O3-doped Li5.4PS4.4Cl1.6 — DFT EOS (Origin: Volume vs Energy(eV))
# B0 = 24.5 GPa  |  V0(cell) = 2436.33 A^3  |  V/f.u. = 243.63 A^3 (10 f.u. = 2x modelC)  |  B0' = 4.24
# ref undoped modelC (DFT): B0=21.7 GPa, V/f.u.=243.29 A^3  ->  B2O3 doping: B0 +13%, V/f.u. ~unchanged
# 점=data 칼럼(5), 곡선=fit 칼럼(200). X=Volume_*_A3(셀) 또는 *_perfu_A3(f.u.당), Y=Energy_*_eV
Volume_data_A3,Vperfu_data_A3,Energy_data_eV,Volume_fit_A3,Vperfu_fit_A3,Energy_fit_eV
2307.8394,230.7839,-35670.230497,2289.3767,228.9377,-35670.044678
2355.9194,235.5919,-35670.584562,2290.5364,229.0536,-35670.057203
2403.9994,240.3999,-35670.766124,2291.6962,229.1696,-35670.069612
2452.0794,245.2079,-35670.791876,2292.8559,229.2856,-35670.081905
2500.1594,250.0159,-35670.677492,2294.0156,229.4016,-35670.094083
,,,2295.1753,229.5175,-35670.106147
,,,2296.3350,229.6335,-35670.118096
,,,2297.4948,229.7495,-35670.129931
,,,2298.6545,229.8654,-35670.141651
,,,2299.8142,229.9814,-35670.153259
,,,2300.9739,230.0974,-35670.164752
,,,2302.1336,230.2134,-35670.176133
,,,2303.2934,230.3293,-35670.187401
,,,2304.4531,230.4453,-35670.198556
,,,2305.6128,230.5613,-35670.209599
,,,2306.7725,230.6773,-35670.220530
,,,2307.9322,230.7932,-35670.231349
,,,2309.0919,230.9092,-35670.242057
,,,2310.2517,231.0252,-35670.252654
,,,2311.4114,231.1411,-35670.263140
,,,2312.5711,231.2571,-35670.273515
,,,2313.7308,231.3731,-35670.283781
,,,2314.8905,231.4891,-35670.293936
,,,2316.0503,231.6050,-35670.303981
,,,2317.2100,231.7210,-35670.313917
,,,2318.3697,231.8370,-35670.323744
,,,2319.5294,231.9529,-35670.333462
,,,2320.6891,232.0689,-35670.343071
,,,2321.8488,232.1849,-35670.352572
,,,2323.0086,232.3009,-35670.361965
,,,2324.1683,232.4168,-35670.371250
,,,2325.3280,232.5328,-35670.380428
,,,2326.4877,232.6488,-35670.389498
,,,2327.6474,232.7647,-35670.398462
,,,2328.8072,232.8807,-35670.407318
,,,2329.9669,232.9967,-35670.416069
,,,2331.1266,233.1127,-35670.424713
,,,2332.2863,233.2286,-35670.433251
,,,2333.4460,233.3446,-35670.441683
,,,2334.6057,233.4606,-35670.450010
,,,2335.7655,233.5765,-35670.458232
,,,2336.9252,233.6925,-35670.466350
,,,2338.0849,233.8085,-35670.474362
,,,2339.2446,233.9245,-35670.482270
,,,2340.4043,234.0404,-35670.490075
,,,2341.5641,234.1564,-35670.497775
,,,2342.7238,234.2724,-35670.505372
,,,2343.8835,234.3883,-35670.512865
,,,2345.0432,234.5043,-35670.520256
,,,2346.2029,234.6203,-35670.527544
,,,2347.3626,234.7363,-35670.534729
,,,2348.5224,234.8522,-35670.541812
,,,2349.6821,234.9682,-35670.548794
,,,2350.8418,235.0842,-35670.555673
,,,2352.0015,235.2002,-35670.562451
,,,2353.1612,235.3161,-35670.569128
,,,2354.3210,235.4321,-35670.575703
,,,2355.4807,235.5481,-35670.582179
,,,2356.6404,235.6640,-35670.588553
,,,2357.8001,235.7800,-35670.594828
,,,2358.9598,235.8960,-35670.601002
,,,2360.1195,236.0120,-35670.607077
,,,2361.2793,236.1279,-35670.613052
,,,2362.4390,236.2439,-35670.618928
,,,2363.5987,236.3599,-35670.624706
,,,2364.7584,236.4758,-35670.630384
,,,2365.9181,236.5918,-35670.635964
,,,2367.0779,236.7078,-35670.641446
,,,2368.2376,236.8238,-35670.646830
,,,2369.3973,236.9397,-35670.652116
,,,2370.5570,237.0557,-35670.657305
,,,2371.7167,237.1717,-35670.662396
,,,2372.8765,237.2876,-35670.667391
,,,2374.0362,237.4036,-35670.672288
,,,2375.1959,237.5196,-35670.677090
,,,2376.3556,237.6356,-35670.681795
,,,2377.5153,237.7515,-35670.686404
,,,2378.6750,237.8675,-35670.690917
,,,2379.8348,237.9835,-35670.695335
,,,2380.9945,238.0994,-35670.699657
,,,2382.1542,238.2154,-35670.703885
,,,2383.3139,238.3314,-35670.708017
,,,2384.4736,238.4474,-35670.712055
,,,2385.6334,238.5633,-35670.715999
,,,2386.7931,238.6793,-35670.719848
,,,2387.9528,238.7953,-35670.723604
,,,2389.1125,238.9113,-35670.727266
,,,2390.2722,239.0272,-35670.730835
,,,2391.4319,239.1432,-35670.734310
,,,2392.5917,239.2592,-35670.737693
,,,2393.7514,239.3751,-35670.740983
,,,2394.9111,239.4911,-35670.744180
,,,2396.0708,239.6071,-35670.747285
,,,2397.2305,239.7231,-35670.750298
,,,2398.3903,239.8390,-35670.753220
,,,2399.5500,239.9550,-35670.756050
,,,2400.7097,240.0710,-35670.758788
,,,2401.8694,240.1869,-35670.761435
,,,2403.0291,240.3029,-35670.763992
,,,2404.1888,240.4189,-35670.766458
,,,2405.3486,240.5349,-35670.768833
,,,2406.5083,240.6508,-35670.771119
,,,2407.6680,240.7668,-35670.773314
,,,2408.8277,240.8828,-35670.775420
,,,2409.9874,240.9987,-35670.777436
,,,2411.1472,241.1147,-35670.779363
,,,2412.3069,241.2307,-35670.781201
,,,2413.4666,241.3467,-35670.782950
,,,2414.6263,241.4626,-35670.784610
,,,2415.7860,241.5786,-35670.786182
,,,2416.9457,241.6946,-35670.787666
,,,2418.1055,241.8105,-35670.789062
,,,2419.2652,241.9265,-35670.790370
,,,2420.4249,242.0425,-35670.791590
,,,2421.5846,242.1585,-35670.792724
,,,2422.7443,242.2744,-35670.793770
,,,2423.9041,242.3904,-35670.794729
,,,2425.0638,242.5064,-35670.795602
,,,2426.2235,242.6223,-35670.796388
,,,2427.3832,242.7383,-35670.797088
,,,2428.5429,242.8543,-35670.797702
,,,2429.7026,242.9703,-35670.798230
,,,2430.8624,243.0862,-35670.798673
,,,2432.0221,243.2022,-35670.799030
,,,2433.1818,243.3182,-35670.799303
,,,2434.3415,243.4342,-35670.799490
,,,2435.5012,243.5501,-35670.799592
,,,2436.6610,243.6661,-35670.799610
,,,2437.8207,243.7821,-35670.799544
,,,2438.9804,243.8980,-35670.799394
,,,2440.1401,244.0140,-35670.799159
,,,2441.2998,244.1300,-35670.798842
,,,2442.4595,244.2460,-35670.798440
,,,2443.6193,244.3619,-35670.797956
,,,2444.7790,244.4779,-35670.797388
,,,2445.9387,244.5939,-35670.796737
,,,2447.0984,244.7098,-35670.796004
,,,2448.2581,244.8258,-35670.795189
,,,2449.4179,244.9418,-35670.794291
,,,2450.5776,245.0578,-35670.793311
,,,2451.7373,245.1737,-35670.792249
,,,2452.8970,245.2897,-35670.791106
,,,2454.0567,245.4057,-35670.789881
,,,2455.2165,245.5216,-35670.788575
,,,2456.3762,245.6376,-35670.787189
,,,2457.5359,245.7536,-35670.785721
,,,2458.6956,245.8696,-35670.784173
,,,2459.8553,245.9855,-35670.782544
,,,2461.0150,246.1015,-35670.780835
,,,2462.1748,246.2175,-35670.779046
,,,2463.3345,246.3334,-35670.777177
,,,2464.4942,246.4494,-35670.775229
,,,2465.6539,246.5654,-35670.773201
,,,2466.8136,246.6814,-35670.771095
,,,2467.9734,246.7973,-35670.768909
,,,2469.1331,246.9133,-35670.766644
,,,2470.2928,247.0293,-35670.764301
,,,2471.4525,247.1453,-35670.761879
,,,2472.6122,247.2612,-35670.759379
,,,2473.7719,247.3772,-35670.756801
,,,2474.9317,247.4932,-35670.754145
,,,2476.0914,247.6091,-35670.751411
,,,2477.2511,247.7251,-35670.748600
,,,2478.4108,247.8411,-35670.745712
,,,2479.5705,247.9571,-35670.742747
,,,2480.7303,248.0730,-35670.739705
,,,2481.8900,248.1890,-35670.736586
,,,2483.0497,248.3050,-35670.733390
,,,2484.2094,248.4209,-35670.730119
,,,2485.3691,248.5369,-35670.726771
,,,2486.5288,248.6529,-35670.723347
,,,2487.6886,248.7689,-35670.719848
,,,2488.8483,248.8848,-35670.716272
,,,2490.0080,249.0008,-35670.712622
,,,2491.1677,249.1168,-35670.708896
,,,2492.3274,249.2327,-35670.705096
,,,2493.4872,249.3487,-35670.701221
,,,2494.6469,249.4647,-35670.697271
,,,2495.8066,249.5807,-35670.693246
,,,2496.9663,249.6966,-35670.689147
,,,2498.1260,249.8126,-35670.684975
,,,2499.2857,249.9286,-35670.680728
,,,2500.4455,250.0445,-35670.676408
,,,2501.6052,250.1605,-35670.672014
,,,2502.7649,250.2765,-35670.667547
,,,2503.9246,250.3925,-35670.663006
,,,2505.0843,250.5084,-35670.658393
,,,2506.2441,250.6244,-35670.653707
,,,2507.4038,250.7404,-35670.648948
,,,2508.5635,250.8563,-35670.644117
,,,2509.7232,250.9723,-35670.639214
,,,2510.8829,251.0883,-35670.634238
,,,2512.0426,251.2043,-35670.629191
,,,2513.2024,251.3202,-35670.624072
,,,2514.3621,251.4362,-35670.618881
,,,2515.5218,251.5522,-35670.613620
,,,2516.6815,251.6682,-35670.608286
,,,2517.8412,251.7841,-35670.602882
,,,2519.0010,251.9001,-35670.597407
,,,2520.1607,252.0161,-35670.591862
