# beta gate null distribution vs hop count. window 2-50 ps, n_Li 27, prod 200 ps, cage intercept 2.0 A^2, 1000 trials, seed 12345. All rows are TRUE Fickian - false_fail_pct is the false-rejection rate of the beta>=0.8 gate.
# n_hop convention = MSD(prod)/d_hop^2, d_hop 3 A (hops_per_ion.py). beta_crit_5pct = 5th percentile of null beta = threshold giving 5% false fail.
n_hop_200ps,D_cm2_s,c_over_msd50_pct,beta_deterministic,beta_median,beta_p5,beta_p95,false_fail_pct,beta_crit_5pct
1.0,7.503751875937969e-07,47.04636385031772,0.272,0.271,0.179,0.375,100.0,0.179
2.0,1.5007503751875938e-06,30.758578242806585,0.411,0.411,0.304,0.521,100.0,0.304
3.0,2.2511255627813906e-06,22.848325522916905,0.501,0.502,0.385,0.619,100.0,0.385
5.0,3.7518759379689844e-06,15.087931164616196,0.613,0.614,0.497,0.743,99.6,0.497
8.4,6.303151575787894e-06,9.565050959376046,0.716,0.715,0.582,0.842,84.6,0.582
10.0,7.503751875937969e-06,8.159516714967957,0.747,0.747,0.62,0.876,74.2,0.62
13.9,1.0430215107553777e-05,6.007693694776702,0.8,0.8,0.676,0.928,50.0,0.676
20.0,1.5007503751875938e-05,4.2532819847230785,0.849,0.853,0.708,0.981,25.8,0.708
30.0,2.2511255627813908e-05,2.8763003784227106,0.892,0.888,0.754,1.028,14.2,0.754
