system,invT_1000overT,T_K,D_cm2_s,note
comp2_LPSCl0.5Br0.5,1.6667,600,2.2681e-06,3-seed mean
comp2_LPSCl0.5Br0.5,1.2500,800,7.6248e-06,3-seed mean
comp2_LPSCl0.5Br0.5,1.0000,1000,2.0316e-05,3-seed mean
comp2_s2,1.6667,600,1.8231e-06,individual seed
comp2_s2,1.2500,800,6.2380e-06,individual seed
comp2_s2,1.0000,1000,2.1425e-05,individual seed
comp2_s3,1.6667,600,2.4388e-06,individual seed
comp2_s3,1.2500,800,2.1464e-06,individual seed
comp2_s3,1.0000,1000,1.8506e-05,individual seed
comp2_s4,1.6667,600,2.5425e-06,individual seed
comp2_s4,1.2500,800,1.4490e-05,individual seed
comp2_s4,1.0000,1000,2.1017e-05,individual seed
comp1_LPSCl,1.6667,600,3.0900e-06,ref (single seed)
comp1_LPSCl,1.2500,800,1.0300e-05,ref (single seed)
comp1_LPSCl,1.0000,1000,2.2000e-05,ref (single seed)
modelC_LPSCl1.6,1.6667,600,7.9000e-06,anchor
modelC_LPSCl1.6,1.2500,800,2.0500e-05,anchor
modelC_LPSCl1.6,1.0000,1000,4.5500e-05,anchor
