# h-BN@VGCF Li migration - the 7 CI-NEB image points per case (neb.x .dat). Energies in meV relative to the first image.
xi_Li_on_hBN_1L,E_meV_Li_on_hBN_1L,xi_Li_on_graphene_1L,E_meV_Li_on_graphene_1L,xi_Li_in_gallery_1L1L,E_meV_Li_in_gallery_1L1L,xi_Li_in_gallery_2L2L,E_meV_Li_in_gallery_2L2L
0.000000,0.0000,0.000000,0.0000,0.000000,0.0000,0.000000,0.0000
0.192255,-0.9434,0.194614,117.7239,0.200013,83.0633,0.189599,76.2871
0.388048,-1.1051,0.355393,231.5958,0.366006,265.8803,0.344690,143.9176
0.573482,1.6057,0.499859,272.9499,0.507247,356.7241,0.488599,131.6287
0.729978,5.0840,0.644501,231.6214,0.645295,270.3979,0.633586,147.3143
0.866856,7.0414,0.805380,118.1358,0.806157,94.7759,0.798490,76.5496
1.000000,7.3574,1.000000,0.9316,1.000000,7.5309,1.000000,1.5373
