"# lpscl16 element PDOS normalized. _perTOT = /total atoms (62); _perEL = /count of that element {'Li': 27, 'P': 5, 'S': 22, 'Cl': 8}"
E_minus_VBM,Li_perTOT,P_perTOT,S_perTOT,Cl_perTOT,Li_perEL,P_perEL,S_perEL,Cl_perEL
-7.3300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.3200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.3100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.3000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.2900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.2800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.2700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.2600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.2500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.2400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.2300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.2200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.2100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.2000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.1900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.1800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.1700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.1600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.1500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.1400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.1300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.1200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.1100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.1000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.0900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.0800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.0700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.0600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.0500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.0400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.0300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-7.0200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
