"# Slide: Step 3 - volume change vs relative energy, one row per structure.",,,
# dV_pct = |screen_dV_over_V0| x 100.  dE_per_atom = screen_de_per_atom.,,,
# ** dE compares structures INSIDE this screen only ** - not a formation energy or hull distance.,,,
"# group: 'carried_forward' if dV_pct <= 25, else 'dropped'.",,,
# In Origin: plot dE vs dV as two scatter series split by the group column.,,,
dV_pct,dE_per_atom,group,dopant
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.098,-0.0448,carried_forward,LiBr
1.100,-0.2994,carried_forward,AlCl3
1.112,-0.4525,carried_forward,CaS
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.175,-0.0504,carried_forward,LiCl
1.207,-0.2640,carried_forward,AlBr3
1.207,-0.2640,carried_forward,AlBr3
1.207,-0.2640,carried_forward,AlBr3
1.233,-0.3710,carried_forward,ZnO
1.233,-0.3710,carried_forward,ZnO
1.272,-0.3709,carried_forward,ZnO
1.291,-0.4535,carried_forward,CaS
1.416,-0.3899,carried_forward,Li3N
1.418,-0.3899,carried_forward,Li3N
1.418,-0.3899,carried_forward,Li3N
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.423,-0.0541,carried_forward,Li2O
1.433,-0.3389,carried_forward,LiI
1.436,-0.8610,carried_forward,Sm2O3+Clrich
1.452,-0.3899,carried_forward,Li3N
1.534,-0.8607,carried_forward,Sm2O3+Clrich
1.534,-0.8607,carried_forward,Sm2O3+Clrich
1.560,-0.3901,carried_forward,Li3N
1.560,-0.3901,carried_forward,Li3N
1.560,-0.3901,carried_forward,Li3N
1.560,-0.3901,carried_forward,Li3N
1.560,-0.3901,carried_forward,Li3N
1.560,-0.3901,carried_forward,Li3N
1.561,-0.3901,carried_forward,Li3N
1.561,-0.3901,carried_forward,Li3N
1.561,-0.3901,carried_forward,Li3N
1.561,-0.3901,carried_forward,Li3N
1.561,-0.3901,carried_forward,Li3N
1.561,-0.3901,carried_forward,Li3N
1.562,-0.3901,carried_forward,Li3N
1.562,-0.3901,carried_forward,Li3N
1.562,-0.3901,carried_forward,Li3N
1.563,-0.3901,carried_forward,Li3N
1.564,-0.3901,carried_forward,Li3N
1.564,-0.3901,carried_forward,Li3N
1.565,-0.3901,carried_forward,Li3N
1.567,-0.3901,carried_forward,Li3N
1.573,-0.3901,carried_forward,Li3N
1.673,-0.6248,carried_forward,In2O3
1.678,-0.3398,carried_forward,NbCl5
1.802,-0.6249,carried_forward,In2O3
1.828,-0.3904,carried_forward,Li3N
1.857,-0.3906,carried_forward,Li3N
1.857,-0.3906,carried_forward,Li3N
1.858,-0.3906,carried_forward,Li3N
1.859,-0.3906,carried_forward,Li3N
1.862,-0.6250,carried_forward,In2O3
1.885,-0.3400,carried_forward,NbCl5
1.933,-0.3934,carried_forward,LiBr
1.949,-0.7502,carried_forward,WO3+Clrich
1.955,-0.7501,carried_forward,WO3+Clrich
1.963,-0.7501,carried_forward,WO3+Clrich
1.970,-0.5602,carried_forward,ZrBr4
1.972,-0.5602,carried_forward,ZrBr4
2.075,-0.4607,carried_forward,ZrBr4
2.075,-0.4607,carried_forward,ZrBr4
2.077,-0.4607,carried_forward,ZrBr4
2.155,-0.6705,carried_forward,B2O3+Clrich
2.174,-0.3848,carried_forward,BaCl2
2.179,-0.6705,carried_forward,B2O3+Clrich
2.183,-0.6706,carried_forward,B2O3+Clrich
2.308,-0.5456,carried_forward,HfCl4
2.386,-0.3524,carried_forward,NaI
2.453,-0.3687,carried_forward,LiI
2.562,-0.3622,carried_forward,LiI
2.584,-0.5728,carried_forward,ZrBr4
2.612,-0.7281,carried_forward,MoO3+Clrich
2.614,-0.3627,carried_forward,AlI3
2.615,-0.3627,carried_forward,AlI3
2.615,-0.3627,carried_forward,AlI3
2.626,-0.7270,carried_forward,MoO3+Clrich
2.651,-0.7268,carried_forward,MoO3+Clrich
2.673,-0.3592,carried_forward,Na2S
2.824,-0.4613,carried_forward,LaCl3
2.884,-0.3636,carried_forward,LiI
2.888,-0.4618,carried_forward,LaCl3
2.952,-0.4621,carried_forward,LaCl3
2.968,-0.7457,carried_forward,WO3+Clrich
3.049,-0.2997,carried_forward,AlBr3
3.049,-0.2997,carried_forward,AlBr3
3.053,-0.2997,carried_forward,AlBr3
3.198,-0.6572,carried_forward,MoO3+Clrich
3.198,-0.6572,carried_forward,MoO3+Clrich
3.198,-0.6572,carried_forward,MoO3+Clrich
3.219,-0.6984,carried_forward,MoO3+Clrich
3.231,-0.6985,carried_forward,MoO3+Clrich
3.232,-0.6985,carried_forward,MoO3+Clrich
3.250,-0.7465,carried_forward,WO3+Clrich
3.251,-0.7465,carried_forward,WO3+Clrich
3.271,-0.2990,carried_forward,CaBr2
3.272,-0.2990,carried_forward,CaBr2
3.272,-0.2990,carried_forward,CaBr2
