# Interpolated MEP from QE neb.x <case>.int (251 pts). E relative to initial image [eV].
# NOT cell-converged — see db/properties/sei_neb.json (citable=false, cell_convergence_status=untested).
reaction_coord,E_eV__li2s,E_eV__li3nd_ccc,E_eV__li3nd_ccb
0.596000,0.280558,0.229785,0.056267
0.600000,0.278547,0.230432,0.082892
0.604000,0.276462,0.230998,0.109718
0.608000,0.274304,0.231473,0.136732
0.612000,0.272075,0.231850,0.163919
0.616000,0.269773,0.232120,0.191268
0.620000,0.267401,0.232275,0.218764
0.624000,0.264959,0.232306,0.246393
0.628000,0.262448,0.232205,0.274144
0.632000,0.259867,0.231963,0.302002
0.636000,0.257219,0.231571,0.329954
0.640000,0.254503,0.231022,0.357987
0.644000,0.251720,0.230307,0.386088
0.648000,0.248875,0.229417,0.414242
0.652000,0.245971,0.228370,0.442437
0.656000,0.243008,0.227282,0.470660
0.660000,0.239990,0.226164,0.498897
0.664000,0.236918,0.225014,0.527134
0.668000,0.233793,0.223830,0.555359
0.672000,0.230619,0.222608,0.583558
0.676000,0.227396,0.221346,0.611718
0.680000,0.224128,0.220042,0.639825
0.684000,0.220814,0.218693,0.667866
0.688000,0.217459,0.217296,0.695828
0.692000,0.214062,0.215850,0.723697
0.696000,0.210627,0.214350,0.751460
0.700000,0.207156,0.212796,0.779104
0.704000,0.203649,0.211184,0.806616
0.708000,0.200110,0.209511,0.833981
0.712000,0.196540,0.207775,0.861188
0.716000,0.192940,0.205975,0.888221
0.720000,0.189314,0.204106,0.915069
0.724000,0.185662,0.202166,0.941718
0.728000,0.181987,0.200153,0.968153
0.732000,0.178290,0.198065,0.994363
0.736000,0.174574,0.195898,1.020323
0.740000,0.170840,0.193650,1.046015
0.744000,0.167091,0.191319,1.071440
0.748000,0.163327,0.188902,1.096600
0.752000,0.159552,0.186397,1.121498
0.756000,0.155767,0.183800,1.146134
0.760000,0.151974,0.181110,1.170512
0.764000,0.148175,0.178323,1.194632
0.768000,0.144371,0.175438,1.218497
0.772000,0.140566,0.172451,1.242108
0.776000,0.136759,0.169360,1.265468
0.780000,0.132955,0.166163,1.288577
0.784000,0.129154,0.162857,1.311439
0.788000,0.125358,0.159439,1.334055
0.792000,0.121569,0.155907,1.356426
0.796000,0.117789,0.152258,1.378555
0.800000,0.114021,0.148490,1.400443
0.804000,0.110265,0.144600,1.422093
0.808000,0.106533,0.140586,1.443506
