op,mix,sigma_min_voltage,sigma_min_augmented,gain_pct,cond_voltage,cond_augmented,angle_E_deg
pristine,상계 ([y;z] 통째),0.6892627137774759,1.5740124965012698,128.3617646854795,18.23805385272871,11.183379480025295,
pristine,θ=0°,0.6892627137774759,0.7059180618230012,2.4164005556381207,,25.311858289334527,13.92912320374281
pristine,θ=30°,0.6892627137774759,1.0190801325283685,47.85075591037584,,17.438424202417526,1.21183232717326
pristine,θ=45°,0.6892627137774759,1.211599411403054,75.7819460105325,,14.622815012315098,2.443423143050982
pristine,θ=60°,0.6892627137774759,1.4104606796547832,104.63324817395265,,12.517782469328537,5.65751524630606
pristine,θ=75°,0.6892627137774759,1.6341468365210485,137.08620876431485,,10.756001200996398,9.344902989584517
pristine,θ=90°,0.6892627137774759,1.9169468120049074,178.1155535745085,,9.09723611359987,77.44598508140598
22p 근방,상계 ([y;z] 통째),0.6627010856937429,1.144237812643627,72.66273397542295,16.314142894355882,12.681996114788145,
22p 근방,θ=0°,0.6627010856937429,0.7406800191139971,11.766833509654306,,20.934068182214048,25.608302149988784
22p 근방,θ=30°,0.6627010856937429,0.8960439430398062,35.21087597159893,,16.78588256279232,0.8265128976112415
22p 근방,θ=45°,0.6627010856937429,1.0164864079343026,53.38535425367572,,14.56463678837865,1.274095842739981
22p 근방,θ=60°,0.6627010856937429,1.132452190268793,70.88431190410608,,12.885469034102194,3.0260297133666256
22p 근방,θ=75°,0.6627010856937429,1.2435710829456808,87.6518855622304,,11.57209264949636,24.503897069629673
22p 근방,θ=90°,0.6627010856937429,1.349815790591886,103.68395642189765,,10.503356450549013,70.53091519802257
