"time_s","phis_V","phil_V","Eeq_V","eta_V","etamid_V","x_surface","x_particle_average","cs_surface_mol_m3","reaction_input_mol_m3","csmax_mol_m3","direct_Eeq_surface_V","Isx_A_m2"
"0.0","2.2306115627203473","-1.3559782478737248","3.5783867745034788","0.008203036090593141","0.008203036090593141","0.9240638865435734","0.9240638866942695","46857.154339685556","46857.154339685556","50707.7","3.5783867745034788","-2.5035817973804937"
"1.002E-5","2.2306159338837825","-1.3559739051490383","3.5783868149428693","0.008203024089951771","0.008203024089951771","0.9240638111789439","0.924063886420731","46857.15051811853","46857.15051811853","50707.7","3.5783868149428693","-2.503581797490553"
"2.002E-5","2.230620303134049","-1.3559695642402632","3.578386855245074","0.008203012129238019","0.008203012129238019","0.924063736069978","0.9240638861471921","46857.146709515626","46857.146709515626","50707.7","3.578386855245074","-2.503581797545583"
"4.002E-5","2.2306290370546966","-1.355960886777186","3.578386935531548","0.008202988300334724","0.008202988300334724","0.9240635864445667","0.9240638856001154","46857.13912235515","46857.13912235515","50707.7","3.578386935531548","-2.5035817977106727"
"7.001E-5","2.230642119311894","-1.355947888481677","3.578387054938858","0.008202952854713175","0.008202952854713175","0.9240633639118423","0.9240638847797763","46857.127838232525","46857.127838232525","50707.7","3.578387054938858","-2.503581797985822"
"1.0E-4","2.230655184336503","-1.3559349065848723","3.578387173170103","0.008202917751272576","0.008202917751272576","0.9240631435708841","0.9240638839594393","46857.11666524932","46857.11666524932","50707.7","3.578387173170103","-2.5035817981509116"
"1.5000000000000001E-4","2.2306769277951997","-1.3559132998726922","3.57838736768457","0.008202859983321709","0.008202859983321709","0.9240627810651517","0.9240638825917603","46857.09828341739","46857.09828341739","50707.7","3.57838736768457","-2.50358179859115"
"2.0E-4","2.2306986227873833","-1.3558917393580963","3.5783875589994856","0.008202803145993975","0.008202803145993975","0.9240624245222441","0.9240638812240883","46857.08020394659","46857.08020394659","50707.7","3.5783875589994856","-2.5035817989213296"
"2.999999999999999E-4","2.2307418681320645","-1.3558487564355","3.5783879324174808","0.008202692150083735","0.008202692150083735","0.9240617286040129","0.9240638784887628","46857.044915533705","46857.044915533705","50707.7","3.5783879324174808","-2.503581799471628"
"5.0E-4","2.2308277867491295","-1.3557633382195764","3.5783886447908455","0.008202480177860405","0.008202480177860405","0.9240604009936191","0.9240638730181858","46856.97759546414","46856.97759546414","50707.7","3.5783886447908455","-2.5035818008473743"
"7.5E-4","2.230934127208487","-1.3556575810655263","3.578389475768139","0.00820223250587393","0.00820223250587393","0.9240588523477156","0.9240638661800966","46856.89906719225","46856.89906719225","50707.7","3.578389475768139","-2.5035818023331804"
"0.001","2.2310393118499836","-1.355552937340159","3.5783902469866984","0.008202002203444358","0.008202002203444358","0.9240574150708231","0.9240638593421454","46856.82618618677","46856.82618618677","50707.7","3.5783902469866984","-2.503581803763957"
"0.0014999999999999996","2.2312463275930563","-1.355346899300191","3.578391642632494","0.008201584260752792","0.008201584260752792","0.9240548140838157","0.9240638456666111","46856.6942961179","46856.6942961179","50707.7","3.578391642632494","-2.5035818062953297"
"0.002","2.231448980660534","-1.3551451037413016","3.578392868841988","0.00820121555984743","0.00820121555984743","0.9240525288657667","0.9240638319915307","46856.57841796664","46856.57841796664","50707.7","3.578392868841988","-2.503581808496524"
"0.0025","2.231647421534808","-1.3549474234441652","3.578393958410748","0.008200886568225485","0.008200886568225485","0.9240504982974131","0.9240638183168554","46856.47545251573","46856.47545251573","50707.7","3.578393958410748","-2.5035818105326286"
