,model,force_softening,energy_softening,model,dataset
wbm-1-10040,grace,0.9001798876,-0.48375828959000006,grace,mptrj
wbm-1-10104,grace,0.8571922546,-0.37368599760033333,grace,mptrj
wbm-1-10131,grace,1.0001361764,-0.37955303163900006,grace,mptrj
wbm-1-10631,grace,0.9961918075,-0.42873649406333336,grace,mptrj
wbm-1-10690,grace,0.8755149216,-0.3630876649488889,grace,mptrj
wbm-1-10748,grace,1.0093559235,-0.4103510383833332,grace,mptrj
wbm-1-10973,grace,0.9116757721000001,-0.34921833756000015,grace,mptrj
wbm-1-10992,grace,0.7905034395,0.065642031049074,grace,mptrj
wbm-1-11087,grace,0.8486550794000001,-0.014326300138889062,grace,mptrj
wbm-1-11317,grace,0.8308291844,-0.0034310469833332352,grace,mptrj
wbm-1-11393,grace,1.0084180819,0.03800538507166659,grace,mptrj
wbm-1-11757,grace,1.0074998383,-0.031004627379999983,grace,mptrj
wbm-1-11840,grace,0.7903904737,-0.023976476057142752,grace,mptrj
wbm-1-12258,grace,0.9655990607,-0.04097501860416649,grace,mptrj
wbm-1-12348,grace,0.8526371423,-0.06865437057777803,grace,mptrj
wbm-1-12519,grace,0.8943893137000001,-0.12547955426296298,grace,mptrj
wbm-1-12679,grace,0.7695799327,-0.037680608535000285,grace,mptrj
wbm-1-12695,grace,1.0182102067,-0.05685669051499982,grace,mptrj
wbm-1-12778,grace,0.8268000541,-0.10358442821750007,grace,mptrj
wbm-1-12786,grace,0.828903999,-0.023360607082500005,grace,mptrj
wbm-1-13108,grace,0.9524792497000001,-0.2591034306558333,grace,mptrj
wbm-1-13152,grace,0.978961673,-0.25153637437,grace,mptrj
wbm-1-13168,grace,0.9005965520000001,-0.0395063926520001,grace,mptrj
wbm-1-13402,grace,0.9397440205,-0.012889133247500028,grace,mptrj
wbm-1-13560,grace,1.0075016908,-0.024340507251666685,grace,mptrj
wbm-1-13566,grace,0.9732454199,-0.013454667123333172,grace,mptrj
wbm-1-13665,grace,0.8648197894,-0.3692117789470001,grace,mptrj
wbm-1-13928,grace,0.9350685663,-0.013020286980000151,grace,mptrj
wbm-1-14142,grace,0.8885962205,-0.133709167755,grace,mptrj
wbm-1-14347,grace,0.8512340223,-0.052700239269999914,grace,mptrj
wbm-1-14351,grace,0.9596616655,-0.0009415321449999681,grace,mptrj
wbm-1-14495,grace,0.92674298,-0.0005697423033333315,grace,mptrj
wbm-1-14703,grace,0.7887447361000001,-0.3760999392416668,grace,mptrj
wbm-1-14724,grace,0.9615941386,-0.3367891600008333,grace,mptrj
wbm-1-1523,grace,0.9338327615,-0.039092062829999975,grace,mptrj
wbm-1-15999,grace,1.0402320923,-0.3525531654097223,grace,mptrj
wbm-1-16058,grace,1.0232264278,-0.2741797971470001,grace,mptrj
wbm-1-16080,grace,0.9121969813,-0.29322163130000006,grace,mptrj
wbm-1-1660,grace,0.8885250440000001,-0.041684174188333444,grace,mptrj
