,eSEN-30M-OAM,eqV2 M,SevenNet-MF-ompa,GRACE-2L-OAM,ORB v3,AlphaNet-v1-OMA,eSEN-30M-MP,eqV2 S DeNS,DPA-3.1-MPtrj,SevenNet-l3i5,ORB v2 MPtrj,GRACE-2L-MPtrj,MACE-MP-0,CHGNet,M3GNet,MACE-MPA-0,MatterSim v1 5M,ORB v2,GNoME,DPA-3.1-3M-FT
F1,0.925,0.917,0.901,0.88,0.905,0.909,0.831,0.815,0.803,0.76,0.765,0.691,0.669,0.613,0.569,0.852,0.862,0.88,0.829,0.884
DAF,6.069,6.047,5.825,5.774,5.912,5.777,5.26,5.042,5.024,4.629,4.702,4.163,3.777,3.361,2.882,5.582,5.852,6.041,5.523,5.667
Precision,0.928,0.924,0.89,0.883,0.904,0.883,0.804,0.771,0.768,0.708,0.719,0.636,0.577,0.514,0.441,0.853,0.895,0.924,0.844,0.866
Recall,0.923,0.91,0.911,0.878,0.907,0.936,0.861,0.864,0.841,0.821,0.817,0.757,0.796,0.758,0.803,0.851,0.831,0.841,0.814,0.903
Accuracy,0.977,0.975,0.969,0.963,0.971,0.971,0.946,0.941,0.936,0.92,0.922,0.896,0.878,0.851,0.813,0.954,0.959,0.965,0.955,0.963
TPR,0.923,0.91,0.911,0.878,0.907,0.936,0.861,0.864,0.841,0.821,0.817,0.757,0.796,0.758,0.803,0.851,0.831,0.841,0.814,0.903
FPR,0.013,0.014,0.021,0.021,0.018,0.023,0.038,0.047,0.047,0.062,0.059,0.079,0.107,0.132,0.187,0.027,0.018,0.013,0.028,0.026
TNR,0.987,0.986,0.979,0.979,0.982,0.977,0.962,0.953,0.953,0.938,0.941,0.921,0.893,0.868,0.813,0.973,0.982,0.987,0.972,0.974
FNR,0.077,0.09,0.089,0.122,0.093,0.064,0.139,0.136,0.159,0.179,0.183,0.243,0.204,0.242,0.197,0.149,0.169,0.159,0.186,0.097
TP,30809.0,30372.0,30401.0,29313.0,30261.0,31248.0,28722.0,28842.0,28064.0,27404.0,27276.0,25255.0,26582.0,25313.0,26797.0,28417.0,27750.0,28055.0,27178.0,30139.0
FP,2397.0,2481.0,3739.0,3898.0,3222.0,4135.0,7000.0,8576.0,8476.0,11322.0,10668.0,14425.0,19457.0,23955.0,34034.0,4886.0,3268.0,2323.0,5009.0,4650.0
TN,179717.0,179633.0,178375.0,178216.0,178892.0,177979.0,175114.0,173538.0,173638.0,170792.0,171446.0,167689.0,162657.0,158159.0,148080.0,177228.0,178846.0,179791.0,177105.0,177464.0
FN,2565.0,3002.0,2973.0,4061.0,3113.0,2126.0,4652.0,4532.0,5310.0,5970.0,6098.0,8119.0,6792.0,8061.0,6577.0,4957.0,5624.0,5319.0,6196.0,3235.0
MAE,0.018,0.02,0.021,0.023,0.024,0.02,0.033,0.036,0.037,0.044,0.045,0.052,0.057,0.063,0.075,0.028,0.024,0.028,0.035,0.023
RMSE,0.067,0.072,0.067,0.068,0.078,0.067,0.078,0.085,0.08,0.087,0.091,0.094,0.101,0.103,0.118,0.073,0.068,0.077,0.085,0.067
R2,0.866,0.848,0.867,0.862,0.821,0.868,0.822,0.788,0.812,0.776,0.756,0.741,0.697,0.689,0.585,0.842,0.863,0.824,0.785,0.869
missing_preds,0,0,0,0,0,0,0,309,0,1,0,110,34,0,299,2,0,0,1517,0
missing_percent,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.14%,0.00%,0.00%,0.00%,0.05%,0.02%,0.00%,0.14%,0.00%,0.00%,0.00%,0.70%,0.00%
κ_SRME,0.1704,1.771,0.317,0.294,0.21,0.644,0.3398,1.676,0.65,0.55,1.725,0.525,0.647,1.717,1.412,0.412,0.574,1.732,,0.469
pred_file,models/eSEN/eSEN-30m-oam/2025-03-18-kappa-103-FIRE-dist=0.03-fmax=1e-4-symprec=1e-5.json.gz,models/eqV2/eqV2-m-omat-salex-mp/2024-11-09-kappa-103-FIRE-dist=0.01-fmax=1e-4-symprec=1e-5.json.gz,models/sevennet/sevennet-mf-ompa/2025-03-11-kappa-103-FIRE-dist=0.03-fmax=1e-4-symprec=1e-5.json.gz,models/grace/grace-2l-oam/2025-01-28-kappa-103-FIRE-dist=0.01-fmax=1e-4-symprec=1e-5.json.gz,models/orb/orb-v3/2025-04-04-kappa-103-disp0.03-float64-orb-v3-con-inf-mpa.json.gz,models/alphanet/oma/2025-04-20-oma-kappa-103-FIRE-dist=0.03-fmax=1e-4-symprec=1e-5.json.gz,models/eSEN/eSEN-30m-mp/2025-03-18-kappa-103-FIRE-dist=0.03-fmax=1e-4-symprec=1e-5.json.gz,models/eqV2/eqV2-s-dens-mp/2024-11-08-kappa-103-FIRE-dist=0.01-fmax=1e-4-symprec=1e-5.json.gz,models/deepmd/dpa-3.1-mptrj/2025-06-05-kappa-103-FIRE-dist=0.01-fmax=1e-4-symprec=1e-5.json.gz,models/sevennet/sevennet-l3i5/2024-12-10-kappa-103-FIRE-dist=0.01-fmax=1e-4-symprec=1e-5.json.gz,models/orb/orbff-mptrj-v2/2024-11-09-kappa-103-FIRE-dist=0.01-fmax=1e-4-symprec=1e-5.json.gz,models/grace/grace-2l-mptrj/2024-11-20-kappa-103-FIRE-fmax=1e-4-symprec=1e-5.json.gz,models/mace/mace-mp-0/2024-11-09-kappa-103-FIRE-dist=0.01-fmax=1e-4-symprec=1e-5.json.gz,models/chgnet/chgnet-0.3.0/2024-11-09-kappa-103-FIRE-fmax=1e-4-symprec=1e-5.json.gz,models/m3gnet/m3gnet-matgl-mp-2021-2-8-pes/2024-11-09-kappa-103-FIRE-dist=0.01-fmax=1e-4-symprec=1e-5.json.gz,models/mace/mace-mpa-0/2024-11-25-kappa-103-FIRE-dist=0.01-fmax=1e-4-symprec=1e-5.json.gz,models/mattersim/mattersim-v1-5M/2024-12-09-kappa-103-FIRE-dist=0.01-fmax=1e-4-symprec=1e-5.json.gz,models/orb/orbff-v2/2024-11-09-kappa-103-FIRE-dist=0.01-fmax=1e-4-symprec=1e-5.json.gz,,models/deepmd/dpa-3.1-3m-ft/2025-06-05-kappa-103-FIRE-dist=0.01-fmax=1e-4-symprec=1e-5.json.gz
pred_file_url,https://figshare.com/files/53090591,https://figshare.com/files/52134893,https://figshare.com/files/53090603,https://figshare.com/files/53090594,https://figshare.com/files/53461061,https://figshare.com/files/55426331,https://figshare.com/files/53090588,https://figshare.com/files/52151558,https://figshare.com/files/55426289,https://figshare.com/files/52134881,https://figshare.com/files/52134890,https://figshare.com/files/52134896,https://figshare.com/files/52134872,https://figshare.com/files/52134857,https://figshare.com/files/52134866,https://figshare.com/files/52134875,https://figshare.com/files/52134884,https://figshare.com/files/52134887,,https://figshare.com/files/55426286
