formula,run_type,mp_anion_correction,mp_e_form_uncorrected,omat_e_form_uncorrected,mp_e_form_corrected,omat_e_form_corrected,omat_anion_correction,mp_ggau_correction,omat_ggau_correction,exp_energy,uncertainty
Ac,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ag,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ag2WO4,GGA+U,-0.3925714285714286,-0.322119777083334,-0.3333914155952381,-1.3486912056547626,-1.3308199870238095,-0.376,-0.634,-0.6214285714285713,,
Al,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Al2(SO4)3,GGA,-0.5737058823529412,-1.850183168786765,-1.857690658547794,-2.423889051139706,-2.4081024232536765,-0.5504117647058824,0.0,0.0,,
Al2CoO4,GGA+U,-0.3925714285714286,-2.240348114285715,-2.251865987142857,-2.866919542857144,-2.9348659871428566,-0.376,-0.23399999999999999,-0.307,-2.8827455520235326,0.005626891872657399
Al2FeO4,GGA+U,-0.3925714285714286,-2.1887071828571427,-2.0470839014285707,-2.903564325714285,-2.7693696157142846,-0.376,-0.32228571428571423,-0.34628571428571425,-2.911916544100204,0.00370190254780092
Al2NiO4,GGA+U,-0.3925714285714286,-2.023534296428572,-2.042050379285715,-2.779105725000001,-2.786478950714286,-0.376,-0.363,-0.36842857142857144,-2.843801537220667,0.006811500687953692
Al2O3,GGA,-0.4122,-3.0143510080000007,-3.0269724499999997,-3.4265510080000006,-3.421772449999999,-0.39480000000000004,0.0,0.0,-3.4578,
Al2S3,GGA,-0.30179999999999996,-1.051288112375,-1.0566982155624998,-1.353088112375,-1.3488982155624996,-0.29219999999999996,0.0,0.0,-1.3494900948632726,
Al2Se3,GGA,-0.2832,-0.8401247704062499,-0.8486387186875,-1.12332477040625,-1.1330387186875002,-0.2844,0.0,0.0,-1.1751008936270053,0.05202863367443612
Al2SiO5,GGA,-0.42937500000000006,-2.9261092456250006,-2.9358351046875004,-3.355484245625,-3.3470851046875003,-0.41125,0.0,0.0,-3.3547845343613623,0.0027206207847688207
Al2Te3,GGA,-0.2532,-0.45130076124999974,-0.4466608029999996,-0.70450076125,-0.6974608029999999,-0.2508,0.0,0.0,-0.6608258332832763,0.0190702561675224
AlBr3,GGA,-0.4005,-1.11756051875,-1.2711616556249998,-1.51806051875,-1.508911655625,-0.23775000000000002,0.0,0.0,-1.3247739028005014,
AlCl3,GGA,-0.4605,-1.50531181125,-1.506623371875,-1.9658118112499996,-1.9551233718749996,-0.4485,0.0,0.0,-1.8282571673646475,0.004404814603911423
AlClO,GGA,-0.43366666666666664,-2.3515232716666667,-2.357156989166666,-2.785189938333333,-2.775823655833333,-0.4186666666666667,0.0,0.0,,
AlF3,GGA,-0.34650000000000003,-3.523869753125,-3.5378429875,-3.870369753125,-3.8648429875,-0.327,0.0,0.0,-3.913548222204597,0.0033683876382852064
AlH3,GGA,-0.13424999999999998,-0.006699683749999963,-0.009927148124999619,-0.14094968374999972,-0.13967714812499965,-0.12974999999999998,0.0,0.0,-0.029538168520347196,0.002072853931252435
AlI3,GGA,-0.28425,-0.6709641906249999,-0.7915133675000001,-0.955214190625,-0.9370133675000003,-0.14550000000000002,0.0,0.0,-0.7848913232035626,
AlN,GGA,-0.1805,-1.4038970050000001,-1.4182250749999996,-1.5843970050000005,-1.5702250749999997,-0.152,0.0,0.0,-1.6478359611884354,
AlPO4,GGA,-0.458,-2.6628005988888894,-2.671324653174603,-3.120800598888889,-3.1099913198412694,-0.4386666666666667,0.0,0.0,,
AlSb,GGA,-0.096,-0.15949678,-0.16335816250000024,-0.2554967800000001,-0.26035816250000066,-0.097,0.0,0.0,-0.2601431683721806,0.005182134828131087
Ar,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
As,GGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
