system,method,class,count,percent
LPSC-H2O,cutoff,H-O,574,95.99
LPSC-H2O,cutoff,H-S,17,2.84
LPSC-H2O,cutoff,unbound,7,1.17
LPSC-H2O,nearest_heavy_atom,O,581,97.16
LPSC-H2O,nearest_heavy_atom,S,17,2.84
LPSC-ion,cutoff,H-O,555,92.5
LPSC-ion,cutoff,H-S,30,5.0
LPSC-ion,cutoff,H2,2,0.33
LPSC-ion,cutoff,unbound,13,2.17
LPSC-ion,nearest_heavy_atom,O,570,95.0
LPSC-ion,nearest_heavy_atom,S,30,5.0
LPSnSC-ion,cutoff,H-O,566,94.33
LPSnSC-ion,cutoff,H-S,19,3.17
LPSnSC-ion,cutoff,H2,2,0.33
LPSnSC-ion,cutoff,unbound,13,2.17
LPSnSC-ion,nearest_heavy_atom,O,581,96.83
LPSnSC-ion,nearest_heavy_atom,S,19,3.17
