system,n_atoms,Cl,H,Li,O,P,S,Sn,H_over_O,a_A,b_A,c_A,volume_A3
LPSC-H2O,2769,144,598,864,299,144,720,0,2.0,29.8138,31.4056,64.1789,60092.01
LPSC-ion,2771,144,600,864,299,144,720,0,2.0067,29.8138,31.4056,64.1789,60092.01
LPSnSC-ion,2806,144,600,900,299,108,719,36,2.0067,29.9144,30.41,65.8708,59922.46
