"time_s","ce_mol_m3"
"0.0","1199.9999999743102"
"1.002E-5","1199.9999871282942"
"2.002E-5","1199.99997428467"
"4.002E-5","1199.999948612672"
"7.001E-5","1199.9999101966948"
"1.0E-4","1199.999871916481"
"1.5000000000000001E-4","1199.9998085169805"
"2.0E-4","1199.9997457145791"
"2.999999999999999E-4","1199.9996221208514"
"5.0E-4","1199.9993827498126"
"7.5E-4","1199.999083017156"
"0.001","1199.9987906990184"
"0.0014999999999999996","1199.9982276049964"
"0.002","1199.9976910741404"
"0.003","1199.9965726838257"
"0.004","1199.995431196826"
"0.005","1199.9942902226273"
"0.006","1199.9931499841166"
"0.007","1199.9920108325057"
"0.008","1199.9908714861378"
"0.009000000000000001","1199.9897320594694"
"0.01","1199.9885929828597"
"0.011","1199.9874542541547"
"0.011999999999999997","1199.9863162344793"
"0.012999999999999994","1199.9851791128199"
"0.013999999999999995","1199.9840421182023"
"0.014999999999999996","1199.9829047155738"
"0.015999999999999997","1199.9817674329681"
"0.016999999999999998","1199.980630539274"
"0.018","1199.9794938063108"
"0.019","1199.9783573975578"
"0.02","1199.977221571277"
"0.021","1199.9760864081204"
"0.022000000000000002","1199.9749512744193"
"0.023000000000000003","1199.9738160043873"
"0.024000000000000004","1199.97268064626"
"0.025000000000000005","1199.9715455253722"
"0.026000000000000006","1199.9704104608516"
"0.027000000000000007","1199.9692758380527"
"0.028000000000000008","1199.9681411260165"
"0.029000000000000005","1199.967006757332"
"0.03","1199.9658728383915"
"0.031","1199.964739407166"
"0.032","1199.9636059572338"
"0.033","1199.9624724930077"
"0.034","1199.9613391487399"
"0.035","1199.96020561823"
"0.036000000000000004","1199.9590724299449"
"0.037000000000000005","1199.9579390924846"
"0.038000000000000006","1199.9568060147858"
"0.03900000000000001","1199.9556732936023"
"0.04","1199.9545403800291"
"0.041","1199.9534077495234"
"0.042","1199.9522754660347"
"0.043000000000000003","1199.9511435495426"
"0.044000000000000004","1199.9500116897138"
"0.045000000000000005","1199.9488798862021"
"0.046000000000000006","1199.9477480679507"
"0.04700000000000001","1199.9466163438315"
"0.04800000000000001","1199.945484562871"
"0.049","1199.9443528725922"
"0.05","1199.9432214159167"
"0.051000000000000004","1199.9420897438501"
"0.052000000000000005","1199.9409583452707"
"0.053000000000000005","1199.9398272327558"
"0.054000000000000006","1199.9386960048375"
"0.05500000000000001","1199.9375648819298"
"0.05600000000000001","1199.9364340321138"
"0.05700000000000001","1199.935303466875"
"0.05800000000000001","1199.934173197792"
"0.059000000000000004","1199.9330426566921"
"0.06","1199.9319123715468"
"0.061","1199.930782106096"
"0.062","1199.9296517998578"
"0.063","1199.92852170934"
"0.064","1199.927391362411"
"0.065","1199.9262612525238"
"0.066","1199.9251313410762"
"0.067","1199.9240011712154"
"0.068","1199.9228712258143"
"0.069","1199.9217415125709"
"0.07","1199.9206119171165"
"0.07100000000000001","1199.919482131187"
"0.07200000000000001","1199.9183525649335"
"0.07300000000000001","1199.9172232254148"
"0.07400000000000001","1199.9160941197301"
"0.07500000000000001","1199.9149652025897"
"0.07600000000000001","1199.913836024226"
"0.07700000000000001","1199.9127070672114"
"0.07800000000000001","1199.911578325082"
"0.07900000000000001","1199.9104492855565"
"0.08","1199.9093204554524"
"0.081","1199.9081917340777"
"0.082","1199.9070627998938"
"0.083","1199.9059340632516"
"0.084","1199.9048055295557"
"0.085","1199.9036768123005"
"0.08600000000000001","1199.9025481527817"
"0.08700000000000001","1199.901419684373"
"0.08800000000000001","1199.9002914120515"
"0.089","1199.8991631236759"
"0.09","1199.8980347241138"
"0.091","1199.8969065092576"
"0.092","1199.895778483695"
"0.093","1199.8946506520306"
"0.094","1199.8935230188806"
"0.095","1199.8923951275078"
"0.096","1199.8912673568248"
"0.097","1199.8901397732307"
"0.098","1199.889012247485"
"0.099","1199.8878845290042"
"0.1","1199.8867569868817"
"0.101","1199.8856296250233"
"0.10300000000000001","1199.8833744260476"
"0.10650000000000001","1199.8794286980333"
"0.11","1199.8754839047056"
"0.11499999999999999","1199.869849725069"
"0.12","1199.8642173739745"
"0.125","1199.8585855339022"
"0.13","1199.8529546824664"
"0.135","1199.847325132099"
"0.14","1199.8416973599114"
"0.15","1199.830444623837"
"0.16","1199.8191953232317"
"0.17","1199.807950750245"
"0.18","1199.7967092155986"
"0.19","1199.7854705106797"
"0.2","1199.7742364772773"
"0.21","1199.7630044142732"
"0.22","1199.7517750020793"
"0.23","1199.740549434234"
"0.24","1199.729326043405"
"0.25","1199.7181050935474"
"0.26","1199.706886834438"
"0.27","1199.6956712156968"
"0.28","1199.684457265222"
"0.29","1199.673245495519"
"0.3","1199.6620367417152"
"0.31","1199.6508296254092"
"0.32","1199.6396239824803"
"0.33","1199.6284206311964"
"0.34","1199.6172198596805"
"0.35","1199.60602002561"
"0.36","1199.5948218243843"
"0.37","1199.583625581411"
"0.38","1199.5724315831026"
"0.39","1199.561238783132"
"0.4","1199.5500470263876"
"0.41","1199.5388569797487"
"0.42","1199.52766892033"
"0.43","1199.51648229128"
"0.44","1199.5052967373692"
"0.45","1199.4941124188313"
"0.46","1199.4829295583716"
"0.47","1199.4717484423973"
"0.48","1199.4605680686025"
"0.49","1199.4493887296126"
"0.5","1199.438210720684"
"0.51","1199.427034307732"
"0.52","1199.415859004744"
"0.53","1199.4046845019586"
"0.54","1199.393510970715"
"0.55","1199.3823386274616"
"0.56","1199.3711677343852"
"0.57","1199.359997830107"
"0.58","1199.3488286197826"
"0.59","1199.3376602792823"
"0.6","1199.3264930232167"
"0.61","1199.3153270110581"
"0.62","1199.3041618530228"
"0.63","1199.2929975588154"
"0.64","1199.2818338358409"
"0.65","1199.270670872488"
"0.66","1199.2595088908197"
"0.67","1199.2483481468164"
"0.68","1199.2371882146217"
"0.69","1199.2260288191171"
"0.7","1199.2148701429744"
"0.71","1199.203712397917"
"0.72","1199.192555538212"
"0.73","1199.1813993559365"
"0.74","1199.1702439255794"
"0.75","1199.1590889782303"
"0.76","1199.147934698851"
"0.77","1199.1367812977378"
"0.78","1199.1256290106473"
"0.79","1199.1144770391363"
"0.8","1199.103325698382"
"0.81","1199.0921748107257"
"0.82","1199.0810245596858"
"0.83","1199.0698751509267"
"0.84","1199.0587266636305"
"0.85","1199.0475784315545"
"0.86","1199.0364308906994"
"0.87","1199.0252837890434"
"0.88","1199.0141373059903"
"0.89","1199.0029916403544"
"0.9","1198.9918460906572"
"0.91","1198.9807014692972"
"0.92","1198.9695575256667"
"0.93","1198.9584140176"
"0.94","1198.9472709117954"
"0.95","1198.93612793978"
"0.96","1198.9249857669306"
"0.97","1198.913844608176"
"0.98","1198.9027036428533"
"0.99","1198.891563035785"
"1.0","1198.8804228560873"
"1.02","1198.8581442525256"
"1.05","1198.82473025738"
"1.1","1198.769048680515"
"1.15","1198.7133784185373"
"1.2","1198.6577177558424"
"1.25","1198.602066034049"
"1.3","1198.5464222443768"
"1.35","1198.4907870328557"
"1.4","1198.4351588904144"
"1.45","1198.379538196061"
"1.5","1198.3239239900165"
"1.55","1198.2683156263802"
"1.6","1198.212713810917"
"1.65","1198.1571173644109"
"1.7","1198.1015262973067"
"1.75","1198.045940639289"
"1.8","1197.9903592368078"
"1.85","1197.9347826226829"
"1.9","1197.8792099198783"
"1.95","1197.8236419561385"
"2.0","1197.7680778200474"
"2.05","1197.7125171500668"
"2.1","1197.6569598625304"
"2.15","1197.6014062681309"
"2.2","1197.5458557043014"
"2.25","1197.4903080188062"
"2.3","1197.4347637724272"
"2.35","1197.379221456425"
"2.4","1197.32368261512"
"2.45","1197.2681453474506"
"2.5","1197.2126112932265"
"2.55","1197.157078644039"
"2.6","1197.1015490329555"
"2.65","1197.046020452598"
