sigma_sdcp_S_cm,sigma_e_eff_S_cm,vs_SBE_pct,sdcp_diss_share_pct,vgcf_diss_share_pct,sigma_ion_eff_S_cm,n_bv_faces,source
15,1.99,0.8,19.6,80.1,0.0002147,503928,V100 2026-07-15 payload-only (byte-재현 침대)
50,2.485,25.8,16.3,83.4,0.0002147,503928,V100 2026-07-15 payload-only
150,2.874,45.5,10.0,89.7,0.0002147,503928,V100 2026-07-15 기본 payload (원장 2.871 재현 +0.1%)
1500,3.227,63.4,1.7,98.1,0.0002147,503928,V100 2026-07-15 payload-only (기하 천장 근사)
