      Step     Time          Energy          fmax
FIRE:    0 22:28:15     -110.743238        0.042899
FIRE:    1 22:28:16     -110.743356        0.035973
FIRE:    2 22:28:16     -110.743546        0.033134
FIRE:    3 22:28:16     -110.743740        0.029205
FIRE:    4 22:28:16     -110.743897        0.028047
FIRE:    5 22:28:16     -110.744015        0.030495
FIRE:    6 22:28:17     -110.744142        0.036791
FIRE:    7 22:28:17     -110.744294        0.034651
FIRE:    8 22:28:17     -110.744479        0.023676
FIRE:    9 22:28:17     -110.744644        0.016181
