time_s_exact,R40_Eeq_surface_residual_N_V,R80_Eeq_surface_residual_N_V,R160_Eeq_surface_residual_N_V,difference_R80_minus_R40_Eeq_surface_residual_N_V,difference_R160_minus_R80_Eeq_surface_residual_N_V,R40_Eeq_surface_residual_P_V,R80_Eeq_surface_residual_P_V,R160_Eeq_surface_residual_P_V,difference_R80_minus_R40_Eeq_surface_residual_P_V,difference_R160_minus_R80_Eeq_surface_residual_P_V,R40_Li_total_mol_m2,R80_Li_total_mol_m2,R160_Li_total_mol_m2,difference_R80_minus_R40_Li_total_mol_m2,difference_R160_minus_R80_Li_total_mol_m2,R40_V_V,R80_V_V,R160_V_V,difference_R80_minus_R40_V_V,difference_R160_minus_R80_V_V,R40_boundary_N_Eeq_V,R80_boundary_N_Eeq_V,R160_boundary_N_Eeq_V,difference_R80_minus_R40_boundary_N_Eeq_V,difference_R160_minus_R80_boundary_N_Eeq_V,R40_boundary_N_etamid_V,R80_boundary_N_etamid_V,R160_boundary_N_etamid_V,difference_R80_minus_R40_boundary_N_etamid_V,difference_R160_minus_R80_boundary_N_etamid_V,R40_boundary_N_phil_V,R80_boundary_N_phil_V,R160_boundary_N_phil_V,difference_R80_minus_R40_boundary_N_phil_V,difference_R160_minus_R80_boundary_N_phil_V,R40_boundary_N_phis_V,R80_boundary_N_phis_V,R160_boundary_N_phis_V,difference_R80_minus_R40_boundary_N_phis_V,difference_R160_minus_R80_boundary_N_phis_V,R40_boundary_N_x_particle_average,R80_boundary_N_x_particle_average,R160_boundary_N_x_particle_average,difference_R80_minus_R40_boundary_N_x_particle_average,difference_R160_minus_R80_boundary_N_x_particle_average,R40_boundary_N_x_surface,R80_boundary_N_x_surface,R160_boundary_N_x_surface,difference_R80_minus_R40_boundary_N_x_surface,difference_R160_minus_R80_boundary_N_x_surface,R40_boundary_P_Eeq_V,R80_boundary_P_Eeq_V,R160_boundary_P_Eeq_V,difference_R80_minus_R40_boundary_P_Eeq_V,difference_R160_minus_R80_boundary_P_Eeq_V,R40_boundary_P_etamid_V,R80_boundary_P_etamid_V,R160_boundary_P_etamid_V,difference_R80_minus_R40_boundary_P_etamid_V,difference_R160_minus_R80_boundary_P_etamid_V,R40_boundary_P_phil_V,R80_boundary_P_phil_V,R160_boundary_P_phil_V,difference_R80_minus_R40_boundary_P_phil_V,difference_R160_minus_R80_boundary_P_phil_V,R40_boundary_P_phis_V,R80_boundary_P_phis_V,R160_boundary_P_phis_V,difference_R80_minus_R40_boundary_P_phis_V,difference_R160_minus_R80_boundary_P_phis_V,R40_boundary_P_x_particle_average,R80_boundary_P_x_particle_average,R160_boundary_P_x_particle_average,difference_R80_minus_R40_boundary_P_x_particle_average,difference_R160_minus_R80_boundary_P_x_particle_average,R40_boundary_P_x_surface,R80_boundary_P_x_surface,R160_boundary_P_x_surface,difference_R80_minus_R40_boundary_P_x_surface,difference_R160_minus_R80_boundary_P_x_surface,R40_delta_Eeq_V,R80_delta_Eeq_V,R160_delta_Eeq_V,difference_R80_minus_R40_delta_Eeq_V,difference_R160_minus_R80_delta_Eeq_V,R40_delta_etaMid_V,R80_delta_etaMid_V,R160_delta_etaMid_V,difference_R80_minus_R40_delta_etaMid_V,difference_R160_minus_R80_delta_etaMid_V,R40_delta_phiL_V,R80_delta_phiL_V,R160_delta_phiL_V,difference_R80_minus_R40_delta_phiL_V,difference_R160_minus_R80_delta_phiL_V,R40_eta_minus_etaMid_N_V,R80_eta_minus_etaMid_N_V,R160_eta_minus_etaMid_N_V,difference_R80_minus_R40_eta_minus_etaMid_N_V,difference_R160_minus_R80_eta_minus_etaMid_N_V,R40_eta_minus_etaMid_P_V,R80_eta_minus_etaMid_P_V,R160_eta_minus_etaMid_P_V,difference_R80_minus_R40_eta_minus_etaMid_P_V,difference_R160_minus_R80_eta_minus_etaMid_P_V,R40_identity_residual_V,R80_identity_residual_V,R160_identity_residual_V,difference_R80_minus_R40_identity_residual_V,difference_R160_minus_R80_identity_residual_V,R40_reaction_input_surface_residual_N_x,R80_reaction_input_surface_residual_N_x,R160_reaction_input_surface_residual_N_x,difference_R80_minus_R40_reaction_input_surface_residual_N_x,difference_R160_minus_R80_reaction_input_surface_residual_N_x,R40_reaction_input_surface_residual_P_x,R80_reaction_input_surface_residual_P_x,R160_reaction_input_surface_residual_P_x,difference_R80_minus_R40_reaction_input_surface_residual_P_x,difference_R160_minus_R80_reaction_input_surface_residual_P_x
0,0E-16,0E-16,0E-16,0E-16,0E-16,0E-15,0E-16,0E-16,0E-16,0E-16,1.236902963915189608,1.236902963915189606,1.236902963915189416,-2E-18,-1.90E-16,2.23061155833806,2.2306115627203473,2.230611571484734,4.3822873E-9,8.7643867E-9,1.4130534435266686,1.4130534391096747,1.4130534302758841,-4.4169939E-9,-8.8337906E-9,-0.05451148368433589,-0.054511483619834156,-0.05451148349083201,6.4501734E-11,1.29002146E-10,-1.3585419598423327,-1.3585419554898406,-1.3585419467850521,4.3524921E-9,8.7047885E-9,0.0,0.0,0.0,0.0,0.0,0.011720681490508414,0.011720681490508412,0.011720681490508419,-2E-18,7E-18,0.011720681560105346,0.011720681630554826,0.011720681771450633,7.0449480E-11,1.40895807E-10,3.578386774462802,3.5783867745034788,3.5783867745848283,4.06768E-11,8.13495E-11,0.00820303610240325,0.008203036090593141,0.0082030360669747,-1.1810109E-11,-2.3618441E-11,-1.3559782522271455,-1.3559782478737248,-1.3559782391670692,4.3534207E-9,8.7066556E-9,2.23061155833806,2.2306115627203473,2.230611571484734,4.3822873E-9,8.7643867E-9,0.9240638866942696,0.9240638866942695,0.9240638866942691,-1E-16,-4E-16,0.9240638866193801,0.9240638865435734,0.9240638863919672,-7.58067E-11,-1.516062E-10,2.1653333309361334,2.1653333353938041,2.1653333443089442,4.4576707E-9,8.9151401E-9,0.06271451978673914,0.062714519710427297,0.06271451955780671,-7.6311843E-11,-1.52620587E-10,0.0025637076151872,0.0025637076161158,0.0025637076179829,9.286E-13,1.8671E-12,0E-17,0E-18,0E-17,0E-18,0E-18,0E-17,0E-18,0E-16,0E-18,0E-18,2.6E-16,1.03E-16,1.9E-16,-1.57E-16,8.7E-17,0E-12,0E-12,0E-12,0E-12,0E-12,0E-10,0E-11,0E-11,0E-11,0E-11
0.0001,0E-15,0E-15,0E-16,0E-15,0E-16,0E-15,0E-15,0E-16,0E-15,0E-16,1.23690296391519114,1.236902963915190739,1.236902963915189842,-4.01E-16,-8.97E-16,2.2306333617896934,2.230655184336503,2.2306982981924954,0.0000218225468096,0.0000431138559924,1.413031482838677,1.413009483466414,1.4129659988472616,-0.000021999372263,-0.0000434846191524,-0.054511164850394644,-0.05451084339121515,-0.05451020759396297,3.21459179494E-7,6.3579725218E-7,-1.3585203179882823,-1.3584986400751988,-1.3584557912532986,0.0000216779130835,0.0000428488219002,0.0,0.0,0.0,0.0,0.0,0.011720684032074708,0.01172068403208369,0.011720684032101513,8.982E-15,1.7823E-14,0.011721031825248229,0.011721382707391438,0.01172207627156148,3.50882143209E-7,6.93564170042E-7,3.578386975934572,3.578387173170103,3.5783875334671458,1.97235531E-7,3.602970428E-7,0.008202975014181657,0.008202917751272576,0.008202813149093213,-5.7262909081E-8,-1.04602179363E-7,-1.3559565891590604,-1.3559349065848723,-1.3558920484237438,0.0000216825741881,0.0000428581611285,2.2306333617896934,2.230655184336503,2.2306982981924954,0.0000218225468096,0.0000431138559924,0.9240638839594321,0.9240638839594393,0.9240638839594516,7.2E-15,1.23E-14,0.9240635111477117,0.9240631435708841,0.9240624721054376,-3.675768276E-7,-6.714654465E-7,2.165355493095895,2.165377689703689,2.1654215346198842,0.000022196607794,0.0000438449161952,0.062714139864576301,0.062713761142487726,0.062713020743056183,-3.78722088575E-7,-7.40399431543E-7,0.0025637288292219,0.0025637334903265,0.0025637428295548,4.6611046E-9,9.3392283E-9,0E-18,0E-17,0E-17,0E-18,0E-17,0E-18,0E-18,0E-18,0E-18,0E-18,1.99E-16,-2.26E-16,2.17E-16,-4.25E-16,4.43E-16,0E-13,0E-11,0E-13,0E-13,0E-13,0E-11,0E-10,0E-10,0E-11,0E-10
0.0002,0E-16,0E-15,0E-16,0E-16,0E-16,0E-16,0E-16,0E-16,0E-16,0E-16,1.236902963915190791,1.236902963915191111,1.236902963915189705,3.20E-16,-1.406E-15,2.2306551458542914,2.2306986227873833,2.2307835363007493,0.0000434769330919,0.0000849135133660,1.4130095405878638,1.412965704014585,1.4128800122305314,-0.0000438365732788,-0.0000856917840536,-0.05451084621270197,-0.05451020529233186,-0.05450895091947339,6.4092037011E-7,0.00000125437285847,-1.3584986943751618,-1.3584554987222532,-1.358371061311058,0.0000431956529086,0.0000844374111952,0.0,0.0,0.0,0.0,0.0,0.01172068657416647,0.01172068657420145,0.011720686574270212,3.498E-14,6.8762E-14,0.011721381796324681,0.011722080974037541,0.011723447727437816,6.99177712860E-7,0.000001366753400275,3.5783871757888157,3.5783875589994856,3.5783882035538523,3.832106699E-7,6.445543667E-7,0.008202914400494254,0.008202803145993975,0.008202616024575171,-1.11254500279E-7,-1.87121418804E-7,-1.3559349443350186,-1.3558917393580963,-1.3558072832776784,0.0000432049769223,0.0000844560804179,2.2306551458542914,2.2306986227873833,2.2307835363007493,0.0000434769330919,0.0000849135133660,0.9240638812240614,0.9240638812240883,0.9240638812241339,2.69E-14,4.56E-14,0.9240631386905351,0.9240624245222441,0.924061223302323,-7.141682910E-7,-0.0000012012199211,2.1653776352009519,2.1654218549849006,2.1655081913233209,0.0000442197839487,0.0000863363384203,0.062713760613196224,0.062713008438325835,0.062711566944048561,-7.52174870389E-7,-0.000001441494277274,0.0025637500401432,0.0025637593641569,0.0025637780333796,9.3240137E-9,1.86692227E-8,0E-17,0E-17,0E-17,0E-17,0E-17,0E-18,0E-18,0E-18,0E-18,0E-18,7.6E-17,-3.5E-17,2.39E-16,-1.11E-16,2.74E-16,0E-12,0E-12,0E-13,0E-12,0E-13,0E-11,0E-10,0E-9,0E-11,0E-10
0.0005,0E-16,0E-15,0E-16,0E-16,0E-16,0E-16,0E-16,0E-15,0E-16,0E-16,1.236902963915190713,1.236902963915191627,1.236902963915190026,9.14E-16,-1.601E-15,2.2307203535733477,2.2308277867491295,2.231030597836243,0.0001074331757818,0.0002028110871135,1.4129438525629434,1.412835479445823,1.4126305436235291,-0.0001083731171204,-0.0002049358222939,-0.054509891565069246,-0.054508304287384624,-0.05450529386573644,0.000001587277684622,0.000003010421648184,-1.3584339609978742,-1.3583271751584385,-1.3581252497577927,0.0001067858394357,0.0002019254006458,0.0,0.0,0.0,0.0,0.0,0.011720694200545459,0.011720694200760256,0.011720694201171408,2.14797E-13,4.11152E-13,0.011722429496899582,0.011724158009474728,0.011727426662765736,0.000001728512575146,0.000003268653291008,3.5783877654842113,3.5783886447908455,3.578389827855058,8.793066342E-7,0.0000011830642125,0.008202735445403508,0.008202480177860405,0.008202136758146406,-2.55267543103E-7,-3.43419713999E-7,-1.355870147356267,-1.3557633382195764,-1.3555613667769615,0.0001068091366906,0.0002019714426149,2.2307203535733477,2.2308277867491295,2.231030597836243,0.0001074331757818,0.0002028110871135,0.9240638730180328,0.9240638730181858,0.9240638730184152,1.530E-13,2.294E-13,0.9240620397082094,0.9240604009936191,0.9240581961830188,-0.0000016387145903,-0.0000022048106003,2.1654439129212679,2.1655531653450225,2.1657592842315289,0.0001092524237546,0.0002061188865064,0.062712627010472754,0.062710784465245029,0.062707430623882846,-0.000001842545227725,-0.000003353841362183,0.0025638136416072,0.0025638369388621,0.0025638829808312,2.32972549E-8,4.60419691E-8,0E-18,0E-18,0E-17,0E-18,0E-18,0E-18,0E-18,0E-18,0E-18,0E-18,-1.54E-16,-1.29E-16,5.4E-17,2.5E-17,1.83E-16,0E-13,0E-13,0E-13,0E-13,0E-13,0E-10,0E-10,0E-11,0E-10,0E-11
0.001,0E-15,0E-15,0E-15,0E-15,0E-15,0E-16,0E-16,0E-16,0E-16,0E-16,1.236902963915191936,1.236902963915192118,1.236902963915189936,1.82E-16,-2.182E-15,2.2308285543296167,2.2310393118499836,2.231415863439055,0.0002107575203669,0.0003765515890714,1.412834832967978,1.412622082839294,1.412241045441717,-0.000212750128684,-0.000381037397577,-0.05450830469783319,-0.054505179517229774,-0.05449954929442913,0.000003125180603416,0.000005630222800644,-1.3583265282701449,-1.3581169033220641,-1.3577414961472878,0.0002096249480808,0.0003754071747763,0.0,0.0,0.0,0.0,0.0,0.011720706911521226,0.01172070691236632,0.011720706913920922,8.45094E-13,1.554602E-12,0.011724168320565841,0.011727561609257399,0.0117336390198811,0.000003393288691558,0.000006077410623701,3.5783887165938313,3.5783902469866984,3.5783917352262633,0.0000015303928671,0.0000014882395649,0.008202446442476141,0.008202002203444358,0.008201570277739823,-4.44239031783E-7,-4.31925704535E-7,-1.355762608706691,-1.355552937340159,-1.355177442064948,0.000209671366532,0.000375495275211,2.2308285543296167,2.2310393118499836,2.231415863439055,0.0002107575203669,0.0003765515890714,0.9240638593415892,0.9240638593421454,0.9240638593428189,5.562E-13,6.735E-13,0.92406026717841,0.9240574150708231,0.9240546415219862,-0.0000028521075869,-0.0000027735488369,2.1655538836258533,2.1657681641474044,2.1661506897845463,0.0002142805215511,0.0003825256371419,0.062710751140309331,0.062707181720674132,0.062701119572168953,-0.000003569419635199,-0.000006062148505179,0.0025639195634539,0.0025639659819051,0.0025640540823398,4.64184512E-8,8.81004347E-8,0E-17,0E-18,0E-17,0E-18,0E-18,0E-18,0E-18,0E-18,0E-18,0E-18,1.69E-16,-3.2E-17,-5.3E-17,-2.01E-16,-2.1E-17,0E-13,0E-13,0E-12,0E-13,0E-13,0E-10,0E-10,0E-11,0E-10,0E-11
0.002,0E-15,0E-14,0E-16,0E-15,0E-16,0E-15,0E-15,0E-16,0E-15,0E-16,1.236902963915190334,1.236902963915190823,1.236902963915189082,4.89E-16,-1.741E-15,2.2310431839092386,2.231448980660534,2.2321016702480225,0.0004057967512954,0.0006526895874885,1.412618503212595,1.41220841377296,1.4115469711136794,-0.000410089439635,-0.0006614426592806,-0.05450514667753059,-0.054499087528311785,-0.054489198529548366,0.000006059149218805,0.000009888998763419,-1.3581133565350645,-1.3577093262446482,-1.357057772584131,0.0004040302904163,0.0006515536605172,0.0,0.0,0.0,0.0,0.0,0.011720732334750399,0.011720732338025865,0.011720732343624538,3.275466E-12,5.598673E-12,0.011727618703026847,0.011734159483362204,0.011744709257925135,0.000006540780335357,0.000010549774562931,3.578390508804457,3.578392868841988,3.5783942495037766,0.000002360037531,0.0000013806617886,0.00820190049630476,0.00820121555984743,0.008200815014185903,-6.8493645733E-7,-4.00545661527E-7,-1.355549225391523,-1.3551451037413016,-1.3544933942699402,0.0004041216502214,0.0006517094713614,2.2310431839092386,2.231448980660534,2.2321016702480225,0.0004057967512954,0.0006526895874885,0.9240638319896721,0.9240638319915307,0.9240638319931759,1.8586E-12,1.6452E-12,0.9240569271357097,0.9240525288657667,0.9240499558036167,-0.0000043982699430,-0.0000025730621500,2.165772005591862,2.166184455069028,2.1668472783900972,0.000412449477166,0.0006628233210692,0.06270704717383535,0.062700303088159215,0.062690013543734269,-0.000006744085676135,-0.000010289544424946,0.0025641311435415,0.0025642225033466,0.0025643783141908,9.13598051E-8,1.558108442E-7,0E-17,0E-18,0E-18,0E-18,0E-18,0E-17,0E-17,0E-18,0E-17,0E-18,-2.5E-16,1.85E-16,2.31E-16,4.35E-16,4.6E-17,0E-12,0E-13,0E-13,0E-13,0E-13,0E-11,0E-10,0E-11,0E-11,0E-11
0.005,0E-15,0E-16,0E-15,0E-16,0E-16,0E-15,0E-15,0E-15,0E-15,0E-15,1.236902963915189691,1.236902963915191074,1.23690296391519113,1.383E-15,5.6E-17,2.23167329824665,2.232581287802342,2.233679610409095,0.000907989555692,0.001098322606753,1.411982884016696,1.4110633900497482,1.409948639543811,-0.0009194939669478,-0.0011147505059372,-0.05449579662496706,-0.05448197346102823,-0.05446471258196883,0.00001382316393883,0.00001726087905940,-1.3574870873917289,-1.35658141658872,-1.3554839269618422,0.0009056708030089,0.0010974896268778,0.0,0.0,0.0,0.0,0.0,0.011720808614431873,0.011720808633206061,0.011720808659416855,1.8774188E-11,2.6210794E-11,0.011737756602556793,0.011752422203462886,0.011770202076542653,0.000014665600906093,0.000017779873079767,3.578395143183149,3.578398113418882,3.578398925357956,0.000002970235733,8.11939074E-7,0.008200478841850156,0.00819961732640051,0.008199382031786495,-8.61515449646E-7,-2.35294614015E-7,-1.3549223237783492,-1.3540164429429404,-1.3529186969806475,0.0009058808354088,0.0010977459622929,2.23167329824665,2.232581287802342,2.233679610409095,0.000907989555692,0.001098322606753,0.92406374994092,0.924063749948363,0.924063749952131,7.443E-12,3.768E-12,0.9240482903033561,0.9240427548411541,0.9240412416757166,-0.0000055354622020,-0.0000015131654375,2.166412259166453,2.1673347233691338,2.168450285814145,0.0009224642026808,0.0011155624450112,0.062696275466817216,0.06268159078742874,0.062664094613755325,-0.000014684679388476,-0.000017496173673415,0.0025647636133797,0.0025649736457796,0.0025652299811947,2.100323999E-7,2.563354151E-7,0E-17,0E-17,0E-17,0E-17,0E-17,0E-18,0E-17,0E-18,0E-18,0E-18,8.4E-17,-1.4E-16,-2.5E-17,-2.24E-16,1.15E-16,0E-12,0E-13,0E-12,0E-13,0E-13,0E-10,0E-10,0E-10,0E-10,0E-10
0.01,0E-15,0E-16,0E-16,0E-16,0E-16,0E-15,0E-15,0E-16,0E-15,0E-16,1.23690296391519021,1.236902963915189584,1.236902963915191592,-6.26E-16,2.008E-15,2.232680100644896,2.2342028442195754,2.2354510623337727,0.0015227435746794,0.0012482181141973,1.410966050337267,1.4094215531414944,1.4081532149946143,-0.0015444971957726,-0.0012683381468801,-0.054480614633029445,-0.05445673479143043,-0.054435980653782634,0.000023879841599015,0.000020754137647796,-1.3564854357042375,-1.354964818350064,-1.3537172343408317,0.0015206173541735,0.0012475840092323,0.0,0.0,0.0,0.0,0.0,0.011720935779040325,0.011720935844315472,0.01172093591329872,6.5275147E-11,6.8983248E-11,0.01175397473716825,0.01177860891671482,0.011798838457902416,0.00002463417954657,0.000020229541187596,3.578401105403376,3.578403607284576,3.5784041206079116,0.000002501881200,5.133233356E-7,0.008198622402741051,0.008197897464344628,0.008197748891551448,-7.24938396423E-7,-1.48572793180E-7,-1.3539196271612213,-1.3523986605293452,-1.3511508071656904,0.0015209666318761,0.0012478533636548,2.232680100644896,2.2342028442195754,2.2354510623337727,0.0015227435746794,0.0012482181141973,0.9240636132122866,0.9240636132289688,0.924063613234843,1.66822E-11,5.8742E-12,0.9240371788470024,0.9240325162309488,0.9240315595789595,-0.0000046626160536,-9.566519893E-7,2.167435055066109,2.1689820541430816,2.1702509056132973,0.0015469990769726,0.0012688514702157,0.062679237035770496,0.062654632255775058,0.062633729545334082,-0.000024604779995438,-0.000020902710440976,0.0025658085430162,0.0025661578207188,0.0025664271751413,3.492777026E-7,2.693544225E-7,0E-18,0E-17,0E-18,0E-18,0E-18,0E-18,0E-18,0E-18,0E-18,0E-18,3.04E-16,-5.8E-17,1.8E-17,-3.62E-16,7.6E-17,0E-13,0E-13,0E-12,0E-13,0E-13,0E-11,0E-11,0E-11,0E-11,0E-11
0.02,0E-16,0E-16,0E-16,0E-16,0E-16,0E-16,0E-15,0E-16,0E-16,0E-16,1.236902963915190400,1.236902963915190734,1.23690296391519140,3.34E-16,6.66E-16,2.2345471584165626,2.236746323200518,2.2377971224898054,0.0021991647839554,0.0010507992892874,1.4090777723933516,1.4068438448987601,1.4057742755180638,-0.0022339274945915,-0.0010695693806963,-0.05445166884681507,-0.054415267640175013,-0.05439605994067409,0.000036401206640057,0.000019207699500923,-1.3546261035465366,-1.3524285772585851,-1.3513782155773897,0.0021975262879515,0.0010503616811954,0.0,0.0,0.0,0.0,0.0,0.011721190217167657,0.01172119041781115,0.011721190559767152,2.00643493E-10,1.41956002E-10,0.011784092097064764,0.01181972244404527,0.011836781694287816,0.000035630346980506,0.000017059250242546,3.5784094523793293,3.578411092202159,3.5784114388595736,0.0000016398228297,3.466574146E-7,0.008195951387619083,0.008195477127153517,0.008195376957282896,-4.74260465566E-7,-1.00169870621E-7,-1.3520582453503858,-1.349860246128794,-1.3488096933270508,0.0021979992215918,0.0010505528017432,2.2345471584165626,2.236746323200518,2.2377971224898054,0.0021991647839554,0.0010507992892874,0.9240633398087496,0.9240633398388862,0.9240633398475113,3.01366E-11,8.6251E-12,0.9240216230547897,0.9240185670087024,0.9240179209626682,-0.0000030560460873,-6.460460342E-7,2.1693316799859777,2.1715672473033989,2.1726371633415098,0.0022355673174212,0.0010699160381109,0.062647620234434153,0.062610744767328530,0.062591436897956986,-0.000036875467105623,-0.000019307869371544,0.0025678581961508,0.0025683311297911,0.0025685222503389,4.729336403E-7,1.911205478E-7,0E-17,0E-18,0E-17,0E-18,0E-18,0E-18,0E-18,0E-18,0E-18,0E-18,-5.3E-17,-5.30E-16,-2.86E-16,-4.77E-16,2.44E-16,0E-12,0E-12,0E-12,0E-12,0E-12,0E-10,0E-10,0E-10,0E-10,0E-10
0.03,0E-16,0E-16,0E-16,0E-16,0E-16,0E-16,0E-16,0E-15,0E-16,0E-16,1.236902963915190652,1.236902963915190875,1.236902963915190125,2.23E-16,-7.50E-16,2.236243617190081,2.2387002994097576,2.239538023073621,0.0024566822196766,0.0008377236638634,1.4073601733984438,1.4048621747657484,1.4040083204414613,-0.0024979986326954,-0.0008538543242871,-0.0544244623822554,-0.05438177727546134,-0.054365319175109006,0.00004268510679406,0.000016458100352334,-1.3529357110161884,-1.350480397490287,-1.3496430012663523,0.0024553135259014,0.0008373962239347,0.0,0.0,0.0,0.0,0.0,0.011721444783672597,0.011721445138206825,0.01172144532981996,3.54534228E-10,1.91613135E-10,0.011811487188584118,0.011851329376056745,0.011864948048067724,0.000039842187472627,0.000013618672010979,3.5784155328642666,3.5784167708829835,3.578417050200737,0.0000012380187169,2.793177535E-7,0.008193941054923659,0.00819358355089772,0.008193502942552833,-3.57504025939E-7,-8.0608344887E-8,-1.3503658567291092,-1.3479100550241236,-1.3470725300696686,0.0024558017049856,0.0008375249544550,2.236243617190081,2.2387002994097576,2.239538023073621,0.0024566822196766,0.0008377236638634,0.9240630664590045,0.9240630664985421,0.9240630665092208,3.95376E-11,1.06787E-11,0.9240102911951117,0.9240079839688741,0.9240074634200006,-0.0000023072262376,-5.205488735E-7,2.1710553594658228,2.1735545961172351,2.1744087297592757,0.0024992366514123,0.0008541336420406,0.062618403437179059,0.06257536082635906,0.062558822117661839,-0.000043042610819999,-0.000016538708697221,0.0025698542870792,0.0025703424661634,0.0025704711966837,4.881790842E-7,1.287305203E-7,0E-16,0E-17,0E-18,0E-17,0E-18,0E-18,0E-17,0E-18,0E-18,0E-18,-5.9E-17,4E-17,-2.39E-16,9.9E-17,-2.79E-16,0E-12,0E-12,0E-13,0E-12,0E-13,0E-11,0E-11,0E-11,0E-11,0E-11
