time_s_exact,electrode,sample_index,coordinate_R40_m,coordinate_R80_m,coordinate_R160_m,R40_x_surface,R80_x_surface,R160_x_surface,difference_R80_minus_R40_x_surface,difference_R160_minus_R80_x_surface,R40_x_particle_average,R80_x_particle_average,R160_x_particle_average,difference_R80_minus_R40_x_particle_average,difference_R160_minus_R80_x_particle_average,R40_Eeq_V,R80_Eeq_V,R160_Eeq_V,difference_R80_minus_R40_Eeq_V,difference_R160_minus_R80_Eeq_V,R40_etaMid_V,R80_etaMid_V,R160_etaMid_V,difference_R80_minus_R40_etaMid_V,difference_R160_minus_R80_etaMid_V,R40_phil_V,R80_phil_V,R160_phil_V,difference_R80_minus_R40_phil_V,difference_R160_minus_R80_phil_V
0.04,N,0,0.0,0.0,0.0,0.011836542026941661,0.011877217954800892,0.011888451721039927,0.000040675927859231,0.000011233766239035,0.011721699461384237,0.011721699965976906,0.011721700191697835,5.04592669E-10,2.25720929E-10,1.4057893020198942,1.4032390300940418,1.4025347029853859,-0.0025502719258524,-0.0007043271086559,-0.05439882811185992,-0.05435334687585125,-0.054339044116979096,0.00004548123600867,0.000014302758872154,-1.3513904739080342,-1.3488856832181906,-1.3481956588684068,0.0025047906898436,0.0006900243497838
0.04,N,1,2.1666666666666665E-7,2.1666666666666665E-7,2.1666666666666665E-7,0.01183654184718645,0.011877217725359877,0.011888451481749305,0.000040675878173427,0.000011233756389428,0.011721699459796167,0.011721699964455204,0.011721700190205804,5.04659037E-10,2.25750600E-10,1.4057893132900656,1.40323904447938,1.4025347179882681,-0.0025502688106856,-0.0007043264911119,-0.054398742342042006,-0.05435326423712228,-0.054338962098957166,0.000045478104919726,0.000014302138165114,-1.351390446127173,-1.3488856554215534,-1.3481956310686356,0.0025047907056196,0.0006900243529178
0.04,N,2,4.333333333333333E-7,4.333333333333333E-7,4.333333333333333E-7,0.011836541667431241,0.011877217495918862,0.011888451242458685,0.000040675828487621,0.000011233746539823,0.011721699458208104,0.011721699962933508,0.011721700188713774,5.04725404E-10,2.25780266E-10,1.4057893245602364,1.4032390588647186,1.4025347329911504,-0.0025502656955178,-0.0007043258735682,-0.05439871264892471,-0.05435323770696221,-0.05433893619583441,0.00004547494196250,0.00001430151112780,-1.3513903627850987,-1.3488855720321284,-1.3481955476698038,0.0025047907529703,0.0006900243623246
0.04,N,3,6.5E-7,6.5E-7,6.5E-7,0.011836541779356353,0.011877217639236026,0.01188845139213344,0.000040675859879673,0.000011233752897414,0.011721699459196605,0.011721699963882979,0.011721700189645676,5.04686374E-10,2.25762697E-10,1.4057893175428313,1.4032390498791156,1.4025347236069432,-0.0025502676637157,-0.0007043262721724,-0.05439872074432128,-0.05435324391385232,-0.05433894201995426,0.00004547683046896,0.00001430189389806,-1.3513902238824227,-1.3488854330504922,-1.3481954086724786,0.0025047908319305,0.0006900243780136
0.04,N,4,8.666666666666666E-7,8.666666666666666E-7,8.666666666666666E-7,0.01183654189188876,0.011877217783329296,0.011888451542618049,0.000040675891440536,0.000011233759288753,0.01172169946019046,0.011721699964837596,0.011721700190582635,5.04647136E-10,2.25745039E-10,1.4057893104873502,1.4032390408448525,1.4025347141719606,-0.0025502696424977,-0.0007043266728919,-0.05439878487729044,-0.0543533061796484,-0.0543390039072118,0.00004547869764204,0.0000143022724366,-1.3513900294195862,-1.3488852384770704,-1.3481952140770785,0.0025047909425158,0.0006900243999919
0.04,N,5,0.0000010833333333333333,0.0000010833333333333333,0.0000010833333333333333,0.011836542295491427,0.01187721829940076,0.01188845208125392,0.000040676003909333,0.00001123378185316,0.011721699463755496,0.011721699968258217,0.01172170019393846,5.04502721E-10,2.25680243E-10,1.405789285182542,1.4032390084885518,1.4025346804009318,-0.0025502766939902,-0.0007043280876200,-0.054398886836324545,-0.054353401230732956,-0.0543390975721012,0.000045485605591589,0.000014303658631756,-1.3513897793968463,-1.348884988312104,-1.3481949638838397,0.0025047910847423,0.0006900244282643
0.04,N,6,0.0000013,0.0000013,0.0000013,0.011836542700308681,0.011877218817024422,0.011888452621509473,0.000040676116715741,0.000011233804485051,0.011721699467331257,0.011721699971689127,0.011721700197304381,5.04357870E-10,2.25615254E-10,1.4057892598015826,1.4032389760349318,1.4025346465283528,-0.0025502837666508,-0.0007043295065790,-0.05439904479448887,-0.05435355229171335,-0.054339247249011846,0.00004549250277552,0.000014305042701504,-1.3513894738143155,-1.3488846825557048,-1.3481946580928703,0.0025047912586107,0.0006900244628345
0.04,N,7,0.0000015166666666666664,0.0000015166666666666664,0.0000015166666666666664,0.011836543395593101,0.011877219705854683,0.011888453549110696,0.000040676310261582,0.000011233843256013,0.011721699473472872,0.011721699977580933,0.011721700203084162,5.04108061E-10,2.25503229E-10,1.4057892162091083,1.4032389203076507,1.4025345883702363,-0.0025502959014576,-0.0007043319374144,-0.05439924061646395,-0.054353736186291135,-0.05433942875399955,0.000045504430172815,0.000014307432291585,-1.3513891126719513,-1.3488843212078319,-1.3481942967041283,0.0025047914641194,0.0006900245037036
0.04,N,8,0.0000017333333333333332,0.0000017333333333333332,0.0000017333333333333332,0.011836544092699427,0.011877220597013271,0.011888454479141474,0.000040676504313844,0.000011233882128203,0.01172169947963058,0.011721699983488173,0.01172170020887908,5.03857593E-10,2.25390907E-10,1.4057891725024054,1.40323886443439,1.402534530059793,-0.0025503080680154,-0.000704334374597,-0.05439949239969044,-0.05435397604228909,-0.05433966622041786,0.00004551635740135,0.00001430982187123,-1.3513886959696015,-1.3488839042683458,-1.3481938797174737,0.0025047917012557,0.0006900245508721
0.04,N,9,0.00000195,0.00000195,0.00000195,0.011836545079674419,0.011877221858612414,0.011888455795718017,0.000040676778937995,0.000011233937105603,0.011721699488348844,0.011721699991851228,0.011721700217082881,5.03502384E-10,2.25231653E-10,1.4057891106217122,1.4032387853354966,1.4025344475139638,-0.0025503252862156,-0.0007043378215328,-0.0543997820846811,-0.054354248780316805,-0.0543399355654679,0.000045533304364295,0.000014313214848905,-1.3513882237069954,-1.3488834317369875,-1.3481934071326496,0.0025047919700079,0.0006900246043379
