point,sv1,sv2,sv3,sv4,cons_sv1,cons_sv2,cons_sv1_over_sv1,cons_sv2_over_sv2
pristine,45.692232612873944,12.532214550357407,2.4135712517107786,1.3027260846902589,5.854172488930972,2.2368001667711046,0.12812183065183685,0.1784840307180436
22p 근방,22.632248571434996,10.899947870313545,1.778390312868993,1.0717937906698658,11.078737423216294,1.9242464411659106,0.48951112339757447,0.17653721504546593
