point,v3_alpha_PE,v3_beta_PE,v3_alpha_NE,v3_beta_NE,v4_alpha_PE,v4_beta_PE,v4_alpha_NE,v4_beta_NE,angle_weak_1,angle_weak_2,angle_strong_1,angle_strong_2
pristine,-0.9123525730105118,0.3528184851480789,0.1735642717351636,-0.11404973755320917,0.22195785231216858,0.011291635615806652,0.6933695315267916,-0.6854530644124419,65.11728001852022,88.54606354171555,1.4539364582850873,24.88271998147975
22p 근방,-0.9289166098764524,0.345449920748158,0.13315035914813786,0.007018974957336575,0.10777123686761149,0.01973574573986129,0.7358806777346285,-0.6681882137399164,16.427206321015298,87.97992677402412,2.020073225975836,73.57279367898471
