1000/T data,ln D LPSCl,ln D LPSCl1.6,1000/T fit,fit LPSCl,fit LPSCl1.6
1/K,ln(cm2/s),ln(cm2/s),1/K,ln(cm2/s),ln(cm2/s)
# fit: comp1 lnD=-7.7951-2.9387x (Ea 0.253 eV) | modelc lnD=-7.4634-2.5918x (Ea 0.223 eV)
1.666667,-12.6873,-11.7486,0.9500,-10.5868,-9.9256
1.250000,-11.4834,-10.7951,0.9750,-10.6603,-9.9904
1.000000,-10.7245,-9.9978,1.0000,-10.7338,-10.0552
,,,1.0250,-10.8073,-10.1200
,,,1.0500,-10.8807,-10.1848
,,,1.0750,-10.9542,-10.2496
,,,1.1000,-11.0277,-10.3144
,,,1.1250,-11.1011,-10.3792
,,,1.1500,-11.1746,-10.4440
,,,1.1750,-11.2481,-10.5088
,,,1.2000,-11.3215,-10.5736
,,,1.2250,-11.3950,-10.6384
,,,1.2500,-11.4685,-10.7032
,,,1.2750,-11.5419,-10.7680
,,,1.3000,-11.6154,-10.8328
,,,1.3250,-11.6889,-10.8976
,,,1.3500,-11.7623,-10.9624
,,,1.3750,-11.8358,-11.0272
,,,1.4000,-11.9093,-11.0920
,,,1.4250,-11.9827,-11.1568
,,,1.4500,-12.0562,-11.2216
,,,1.4750,-12.1297,-11.2863
,,,1.5000,-12.2031,-11.3511
,,,1.5250,-12.2766,-11.4159
,,,1.5500,-12.3501,-11.4807
,,,1.5750,-12.4235,-11.5455
,,,1.6000,-12.4970,-11.6103
,,,1.6250,-12.5705,-11.6751
,,,1.6500,-12.6439,-11.7399
,,,1.6750,-12.7174,-11.8047
,,,1.7000,-12.7909,-11.8695
,,,1.7250,-12.8644,-11.9343
,,,1.7500,-12.9378,-11.9991
,,,1.7750,-13.0113,-12.0639
