step_index,time_s,stepsize_s,raw_native_log_line
0,0.0,,0           0           - out   10    9   16                  0  1.7e-10  2.1e-09
1,1.002e-05,1e-05,1   1.002e-05       1e-05 out   12   10   18     1     0      0  3.6e-10  1.9e-14
2,2.002e-05,1e-05,2   2.002e-05       1e-05 out   14   11   20     1     0      0  2.3e-10    2e-15
3,4.002e-05,2e-05,3   4.002e-05       2e-05 out   16   12   22     2     0      0  5.3e-11  1.5e-15
4,7.001e-05,2.999e-05,4   7.001e-05   2.999e-05 out   18   13   24     2     0      0  1.1e-10  8.5e-16
5,0.0001,2.999e-05,5      0.0001   2.999e-05 out   20   14   26     2     0      0  1.3e-10  7.1e-16
6,0.00015,5e-05,6     0.00015       5e-05 out   22   15   28     2     0      0  2.2e-10  8.3e-16
7,0.0002,5e-05,7      0.0002       5e-05 out   24   16   30     2     0      0  5.8e-11  1.6e-15
8,0.0003,0.0001,8      0.0003      0.0001 out   26   17   32     2     0      0  6.5e-11  1.5e-15
9,0.0005,0.0002,9      0.0005      0.0002 out   28   18   34     2     0      0  3.7e-10  1.4e-15
10,0.00075,0.00025,10     0.00075     0.00025 out   30   19   36     2     0      0  6.8e-10  7.5e-16
11,0.001,0.00025,11       0.001     0.00025 out   32   20   38     2     0      0    2e-10  9.4e-16
12,0.0015,0.0005,12      0.0015      0.0005 out   34   21   40     2     0      0  1.4e-10  1.4e-15
13,0.002,0.0005,13       0.002      0.0005 out   36   22   42     2     0      0  2.1e-10    5e-16
14,0.003,0.001,14       0.003       0.001 out   38   23   44     2     0      0  4.5e-10  1.8e-15
15,0.005,0.002,15       0.005       0.002 out   40   24   46     2     0      0  1.1e-11  1.3e-15
16,0.0075,0.0025,16      0.0075      0.0025 out   42   25   48     2     0      0  1.5e-11  4.9e-15
17,0.01,0.0025,17        0.01      0.0025 out   44   26   50     2     0      0  4.7e-11  7.7e-15
18,0.015,0.005,18       0.015       0.005 out   46   27   52     2     0      0  1.5e-11  3.3e-14
19,0.0175,0.0025,19      0.0175      0.0025 out   48   28   54     2     0      0  3.2e-10  3.1e-15
20,0.02,0.0025,20        0.02      0.0025 out   50   29   56     2     0      0  2.1e-10  7.6e-15
