step_index,time_s,stepsize_s,raw_native_log_line
64,0.125,0.005,64       0.125       0.005 out  138   73  144     2     0      0  2.5e-10  2.6e-15
65,0.13,0.005,65        0.13       0.005 out  140   74  146     2     0      0  1.2e-10  1.6e-15
66,0.135,0.005,66       0.135       0.005 out  142   75  148     2     0      0  6.2e-11  1.4e-15
67,0.14,0.005,67        0.14       0.005 out  144   76  150     2     0      0  2.7e-11  7.9e-16
68,0.15,0.01,68        0.15        0.01 out  146   77  152     2     0      0  3.4e-11  1.9e-14
69,0.16,0.01,69        0.16        0.01 out  148   78  154     2     0      0  1.4e-10  1.7e-14
70,0.17,0.01,70        0.17        0.01 out  150   79  156     2     0      0  6.3e-11    2e-14
71,0.18,0.01,71        0.18        0.01 out  152   80  158     2     0      0  3.1e-11  1.7e-14
72,0.19,0.01,72        0.19        0.01 out  154   81  160     2     0      0  2.3e-10  1.5e-14
73,0.2,0.01,73         0.2        0.01 out  156   82  162     2     0      0    1e-10  9.1e-15
74,0.21,0.01,74        0.21        0.01 out  158   83  164     2     0      0  1.5e-11  8.2e-15
75,0.22,0.01,75        0.22        0.01 out  160   84  166     2     0      0  1.4e-10    5e-15
76,0.23,0.01,76        0.23        0.01 out  162   85  168     2     0      0  3.8e-12  4.8e-15
77,0.24,0.01,77        0.24        0.01 out  164   86  170     2     0      0  2.5e-10  4.1e-15
78,0.25,0.01,78        0.25        0.01 out  166   87  172     2     0      0  1.7e-10  2.6e-15
79,0.26,0.01,79        0.26        0.01 out  168   88  174     2     0      0  1.4e-10  2.2e-15
80,0.27,0.01,80        0.27        0.01 out  170   89  176     2     0      0  1.7e-10  2.1e-15
81,0.28,0.01,81        0.28        0.01 out  172   90  178     2     0      0  5.6e-11  1.3e-15
82,0.29,0.01,82        0.29        0.01 out  174   91  180     2     0      0  1.5e-10    1e-15
83,0.3,0.01,83         0.3        0.01 out  176   92  182     2     0      0  1.6e-10  1.1e-15
84,0.31,0.01,84        0.31        0.01 out  178   93  184     2     0      0  2.6e-11  9.8e-16
85,0.32,0.01,85        0.32        0.01 out  180   94  186     2     0      0  9.7e-11  8.6e-16
86,0.33,0.01,86        0.33        0.01 out  182   95  188     2     0      0  4.2e-11    5e-16
87,0.34,0.01,87        0.34        0.01 out  184   96  190     2     0      0  1.9e-10  8.2e-16
88,0.35,0.01,88        0.35        0.01 out  186   97  192     2     0      0  1.2e-10  6.5e-16
89,0.36,0.01,89        0.36        0.01 out  188   98  194     2     0      0  4.1e-11  7.2e-16
90,0.37,0.01,90        0.37        0.01 out  190   99  196     2     0      0  1.4e-10  3.3e-16
91,0.38,0.01,91        0.38        0.01 out  192  100  198     2     0      0  1.3e-11  5.2e-16
92,0.39,0.01,92        0.39        0.01 out  194  101  200     2     0      0  1.1e-10  3.3e-16
93,0.4,0.01,93         0.4        0.01 out  196  102  202     2     0      0  1.5e-10  2.6e-16
94,0.41,0.01,94        0.41        0.01 out  198  103  204     2     0      0  8.1e-11  2.7e-16
95,0.42,0.01,95        0.42        0.01 out  200  104  206     2     0      0  2.6e-11  2.9e-16
96,0.43,0.01,96        0.43        0.01 out  202  105  208     2     0      0  8.6e-11  5.1e-16
97,0.44,0.01,97        0.44        0.01 out  204  106  210     2     0      0  8.6e-13  2.5e-16
98,0.45,0.01,98        0.45        0.01 out  206  107  212     2     0      0  4.2e-11  3.1e-16
99,0.46,0.01,99        0.46        0.01 out  208  108  214     2     0      0  1.7e-11  4.4e-16
100,0.47,0.01,100        0.47        0.01 out  210  109  216     2     0      0  8.1e-12    3e-16
101,0.48,0.01,101        0.48        0.01 out  212  110  218     2     0      0  1.9e-11  2.5e-16
102,0.49,0.01,102        0.49        0.01 out  214  111  220     2     0      0  5.2e-11  2.6e-16
103,0.5,0.01,103         0.5        0.01 out  216  112  222     2     0      0  6.2e-11    3e-16
104,0.51,0.01,104        0.51        0.01 out  218  113  224     2     0      0  2.7e-11  2.4e-16
105,0.52,0.01,105        0.52        0.01 out  220  114  226     2     0      0  3.4e-12  2.7e-16
106,0.53,0.01,106        0.53        0.01 out  222  115  228     2     0      0  1.5e-10  3.2e-16
107,0.54,0.01,107        0.54        0.01 out  224  116  230     2     0      0  3.9e-11  2.4e-16
108,0.55,0.01,108        0.55        0.01 out  226  117  232     2     0      0  2.3e-11  2.5e-16
109,0.56,0.01,109        0.56        0.01 out  228  118  234     2     0      0  7.2e-11  3.8e-16
110,0.57,0.01,110        0.57        0.01 out  230  119  236     2     0      0  6.4e-11  2.5e-16
111,0.58,0.01,111        0.58        0.01 out  232  120  238     2     0      0  3.4e-11  2.4e-16
112,0.59,0.01,112        0.59        0.01 out  234  121  240     2     0      0  2.8e-11  3.2e-16
113,0.6,0.01,113         0.6        0.01 out  236  122  242     2     0      0  6.5e-11  3.6e-16
114,0.61,0.01,114        0.61        0.01 out  238  123  244     2     0      0  7.8e-12  3.4e-16
115,0.62,0.01,115        0.62        0.01 out  240  124  246     2     0      0  3.2e-11  2.4e-16
116,0.63,0.01,116        0.63        0.01 out  242  125  248     2     0      0  2.6e-12    4e-16
117,0.64,0.01,117        0.64        0.01 out  244  126  250     2     0      0  8.7e-11  4.4e-16
118,0.65,0.01,118        0.65        0.01 out  246  127  252     2     0      0  9.3e-12  2.8e-16
