      Step     Time          Energy          fmax
FIRE:    0 22:27:26     -110.741867        0.068831
FIRE:    1 22:27:26     -110.742062        0.056662
FIRE:    2 22:27:26     -110.742358        0.040512
FIRE:    3 22:27:27     -110.742629        0.039220
FIRE:    4 22:27:27     -110.742791        0.037063
FIRE:    5 22:27:27     -110.742882        0.043963
FIRE:    6 22:27:27     -110.742985        0.053535
FIRE:    7 22:27:27     -110.743154        0.050830
FIRE:    8 22:27:28     -110.743394        0.035195
FIRE:    9 22:27:28     -110.743594        0.015120
