config_PS,n,porosity_mean,porosity_std,porosity_pct_mean
S_only(0:10),6,0.2392,0.0368,23.92
3:7,5,0.2119,0.0342,21.19
5:5,4,0.2016,0.0248,20.16
7:3,5,0.1972,0.0312,19.72
P_only(10:0),5,0.2533,0.0179,25.33
