config_PS,height_mm,total_mass_g,porosity
S_only(0:10),0.26,0.0639,0.2305
S_only(0:10),0.25,0.0556,0.3037
S_only(0:10),0.33,0.0848,0.1954
S_only(0:10),0.31,0.0775,0.2173
S_only(0:10),0.3,0.075,0.2173
S_only(0:10),0.33,0.0768,0.2713
3:7,0.32,0.0742,0.2740
3:7,0.38,0.0998,0.1777
3:7,0.42,0.1072,0.2009
3:7,0.42,0.1091,0.1867
3:7,0.42,0.1046,0.2202
5:5,0.32,0.0824,0.1938
5:5,0.36,0.0893,0.2233
5:5,0.33,0.0817,0.2248
5:5,0.39,0.1041,0.1643
7:3,0.33,0.0869,0.1755
7:3,0.24,0.0592,0.2277
7:3,0.28,0.0679,0.2407
7:3,0.3,0.0784,0.1818
7:3,0.32,0.0858,0.1605
P_only(10:0),0.34,0.0831,0.2347
P_only(10:0),0.3,0.0699,0.2705
P_only(10:0),0.31,0.0748,0.2445
P_only(10:0),0.28,0.0645,0.2788
P_only(10:0),0.32,0.0779,0.2378
