objective,noise,n,degenerate_frac,degenerate_frac_corrected,mean_abs_err,mean_abs_err_lam_pe,mean_abs_err_lam_ne,mean_abs_err_lli,pe_ne_antisym_frac,alpha_wall_frac
pocv,0.0,492,0.782520325203252,0.6402439024390244,0.04783813438447219,0.02466069408966952,0.04070090890235661,0.01591935830887246,0.2865853658536585,0.09959349593495935
pocv,0.001,492,0.782520325203252,0.6849593495934959,0.04605783490242355,0.0238873928825948,0.03940732706909712,0.01582152116221268,0.28252032520325204,0.07926829268292683
pocv,0.005,492,0.7703252032520326,0.676829268292683,0.048328103846028904,0.024551387511168164,0.04172261113643552,0.01607657685240229,0.30691056910569103,0.07317073170731707
pocv_dvdq,0.0,492,0.6016260162601627,0.11991869918699187,0.0239989525656231,0.01900695530878488,0.012400475810041754,0.01594222122493315,0.7052845528455285,0.10365853658536585
pocv_dvdq,0.001,492,0.6219512195121951,0.13821138211382114,0.024487043397566344,0.01845423927082685,0.013480288143975156,0.015756062917940333,0.6869918699186992,0.10772357723577236
pocv_dvdq,0.005,492,0.6422764227642277,0.19715447154471544,0.025589797039455586,0.019066723070752117,0.014524044385513822,0.015852387543263843,0.6443089430894309,0.13008130081300814
pocv_dvdq_dqdv,0.0,492,0.6382113821138211,0.21951219512195122,0.023982031122151002,0.021931743979448942,0.011267458676058592,0.0186080233079362,0.5142276422764228,0.09959349593495935
pocv_dvdq_dqdv,0.001,492,0.6239837398373984,0.25203252032520324,0.02318347647860333,0.021178604814113905,0.012339487120776288,0.018184199969418648,0.4532520325203252,0.09349593495934959
pocv_dvdq_dqdv,0.005,492,0.6199186991869918,0.2703252032520325,0.024745808455580616,0.021256261201689008,0.013237675033413668,0.018337102112167283,0.4735772357723577,0.10975609756097561
dqdv_only,0.0,492,0.7621951219512195,0.6565040650406504,0.049439243943767475,0.025658126344532222,0.04314150359493237,0.026336339382884873,0.21544715447154472,0.06707317073170732
dqdv_only,0.001,492,0.7682926829268293,0.6504065040650406,0.049167718850147805,0.024132354524996305,0.04446616808439917,0.025487263777355267,0.1991869918699187,0.056910569105691054
dqdv_only,0.005,492,0.7804878048780488,0.6747967479674797,0.051468267224567515,0.021625620634352163,0.048270129163327916,0.02442519765641151,0.23373983739837398,0.06300813008130081
