E-EF,total,Cl,Li,P,S   # Gaussian 0.15 eV, E-EF (EF=0)
-46.2550,21871,30.957,21792,4.0527,41.404
-46.2450,21774,30.82,21695,4.0347,41.221
-46.2350,21581,30.548,21503,3.9991,40.856
-46.2250,21296,30.143,21219,3.9462,40.316
-46.2150,20921,29.613,20845,3.8767,39.606
-46.2050,20462,28.963,20388,3.7916,38.737
-46.1950,19924,28.201,19852,3.6919,37.719
-46.1850,19314,27.339,19244,3.579,36.564
-46.1750,18640,26.385,18573,3.4541,35.289
-46.1650,17910,25.351,17845,3.3188,33.906
-46.1550,17133,24.25,17071,3.1747,32.434
-46.1450,16316,23.095,16257,3.0234,30.888
-46.1350,15470,21.896,15414,2.8665,29.286
-46.1250,14602,20.668,14549,2.7058,27.643
-46.1150,13722,19.423,13672,2.5427,25.978
-46.1050,12838,18.172,12792,2.3789,24.304
-46.0950,11958,16.926,11914,2.2158,22.638
-46.0850,11089,15.695,11048,2.0547,20.992
-46.0750,10237,14.49,10200,1.8969,19.38
-46.0650,9408.8,13.318,9374.8,1.7435,17.812
-46.0550,8609.4,12.186,8578.3,1.5953,16.299
-46.0450,7843.1,11.101,7814.7,1.4533,14.848
-46.0350,7113.2,10.068,7087.5,1.3181,13.466
-46.0250,6422.8,9.0911,6399.5,1.1901,12.159
-46.0150,5773.6,8.1723,5752.7,1.0699,10.93
-46.0050,5167.1,7.3138,5148.4,0.95747,9.782
-45.9950,4603.8,6.5165,4587.2,0.85309,8.7156
-45.9850,4083.8,5.7804,4069,0.75673,7.7311
-45.9750,3606.4,5.1047,3593.4,0.66827,6.8274
-45.9650,3170.7,4.488,3159.3,0.58754,6.0026
-45.9550,2775.4,3.9284,2765.3,0.51428,5.2541
-45.9450,2418.5,3.4233,2409.8,0.44816,4.5786
-45.9350,2098.2,2.9699,2090.6,0.3888,3.9722
-45.9250,1812.3,2.5652,1805.7,0.33582,3.4309
-45.9150,1558.4,2.2058,1552.7,0.28877,2.9502
-45.9050,1334.1,1.8884,1329.3,0.24721,2.5256
-45.8950,1137.1,1.6094,1132.9,0.2107,2.1526
-45.8850,964.81,1.3656,961.32,0.17878,1.8265
-45.8750,815.04,1.1536,812.08,0.15103,1.543
-45.8650,685.46,0.97024,682.98,0.12702,1.2977
-45.8550,573.93,0.81237,571.85,0.10635,1.0865
-45.8450,478.42,0.67718,476.69,0.088652,0.90571
-45.8350,397.04,0.56199,395.6,0.073571,0.75164
-45.8250,328.04,0.46432,326.85,0.060786,0.62102
-45.8150,269.83,0.38193,268.85,0.05,0.51082
-45.8050,220.97,0.31277,220.17,0.040945,0.41832
-45.7950,180.15,0.25499,179.5,0.033382,0.34105
-45.7850,146.22,0.20697,145.69,0.027095,0.27682
-45.7750,118.16,0.16725,117.73,0.021895,0.22369
-45.7650,95.059,0.13455,94.715,0.017615,0.17996
-45.7550,76.136,0.10777,75.861,0.014108,0.14414
-45.7450,60.71,0.085932,60.49,0.01125,0.11493
-45.7350,48.195,0.068218,48.021,0.0089306,0.091239
-45.7250,38.09,0.053915,37.952,0.0070582,0.07211
-45.7150,29.971,0.042422,29.862,0.0055536,0.056739
-45.7050,23.478,0.033232,23.393,0.0043504,0.044446
-45.6950,18.31,0.025917,18.244,0.0033928,0.034663
-45.6850,14.216,0.020122,14.165,0.0026343,0.026913
-45.6750,10.989,0.015554,10.949,0.0020363,0.020803
-45.6650,8.4567,0.01197,8.4261,0.001567,0.01601
-45.6550,3.6725,0.0051983,3.6592,0.00068052,0.0069525
-45.6450,0,0,0,0,0
-45.6350,0,0,0,0,0
-45.6250,0,0,0,0,0
-45.6150,0,0,0,0,0
-45.6050,0,0,0,0,0
-45.5950,0,0,0,0,0
-45.5850,0,0,0,0,0
-45.5750,0,0,0,0,0
-45.5650,0,0,0,0,0
-45.5550,0,0,0,0,0
-45.5450,0,0,0,0,0
-45.5350,0,0,0,0,0
-45.5250,0,0,0,0,0
-45.5150,0,0,0,0,0
-45.5050,0,0,0,0,0
-45.4950,0,0,0,0,0
-45.4850,0,0,0,0,0
-45.4750,0,0,0,0,0
-45.4650,0,0,0,0,0
-45.4550,0,0,0,0,0
-45.4450,0,0,0,0,0
-45.4350,0,0,0,0,0
-45.4250,0,0,0,0,0
-45.4150,0,0,0,0,0
-45.4050,0,0,0,0,0
-45.3950,0,0,0,0,0
