# Morse-fit smoothed binding curves from output/paper_figures_v1/binding_curves_v1_paper_figure.csv
# E_adh = D*(1-exp(-a*(d-d_eq)))^2 - D + offset, J/m^2
# Step 0.02 A, range matched to source CSV
gap_A,comp1,comp2,comp3,comp4,comp5
0.800,+0.141617,+0.021121,-0.055764,,
0.820,+0.091880,-0.013847,-0.076507,,
0.840,+0.047719,-0.044455,-0.095934,,
0.860,+0.008648,-0.071104,-0.114114,,
0.880,-0.025779,-0.094160,-0.131113,,
0.900,-0.055974,-0.113958,-0.146991,,
0.920,-0.082316,-0.130807,-0.161809,,
0.940,-0.105151,-0.144989,-0.175623,,
0.960,-0.124799,-0.156762,-0.188485,,
0.980,-0.141554,-0.166362,-0.200447,,
1.000,-0.155685,-0.174006,-0.211558,+0.080057,+0.091805
1.020,-0.167439,-0.179891,-0.221863,+0.042560,+0.053933
1.040,-0.177044,-0.184198,-0.231405,+0.008463,+0.019316
1.060,-0.184708,-0.187092,-0.240227,-0.022499,-0.012290
1.080,-0.190621,-0.188723,-0.248369,-0.050575,-0.041111
1.100,-0.194959,-0.189229,-0.255866,-0.075994,-0.067357
1.120,-0.197881,-0.188735,-0.262756,-0.098967,-0.091222
1.140,-0.199535,-0.187356,-0.269072,-0.119690,-0.112888
1.160,-0.200054,-0.185196,-0.274846,-0.138345,-0.132523
1.180,-0.199562,-0.182348,-0.280109,-0.155099,-0.150282
1.200,-0.198170,-0.178900,-0.284890,-0.170109,-0.166312
1.220,-0.195981,-0.174928,-0.289216,-0.183516,-0.180747
1.240,-0.193089,-0.170504,-0.293115,-0.195454,-0.193711
1.260,-0.189577,-0.165693,-0.296610,-0.206045,-0.205321
1.280,-0.185525,-0.160552,-0.299725,-0.215402,-0.215684
1.300,-0.181003,-0.155134,-0.302483,-0.223630,-0.224900
1.320,-0.176075,-0.149486,-0.304906,-0.230826,-0.233062
1.340,-0.170799,-0.143651,-0.307012,-0.237079,-0.240254
1.360,-0.165228,-0.137668,-0.308822,-0.242470,-0.246558
1.380,-0.159410,-0.131572,-0.310353,-0.247076,-0.252046
1.400,-0.153389,-0.125392,-0.311624,-0.250966,-0.256786
1.420,-0.147204,-0.119158,-0.312649,-0.254206,-0.260842
1.440,-0.140890,-0.112895,-0.313445,-0.256854,-0.264273
1.460,-0.134479,-0.106623,-0.314027,-0.258966,-0.267132
1.480,-0.128000,-0.100363,-0.314408,-0.260592,-0.269470
1.500,-0.121479,-0.094133,-0.314601,-0.261778,-0.271332
1.520,-0.114938,-0.087947,-0.314620,-0.262568,-0.272762
1.540,-0.108398,-0.081820,-0.314475,-0.262999,-0.273800
1.560,-0.101878,-0.075762,-0.314178,-0.263109,-0.274481
1.580,-0.095394,-0.069785,-0.313741,-0.262930,-0.274839
1.600,-0.088959,-0.063896,-0.313171,-0.262494,-0.274907
1.620,-0.082588,-0.058105,-0.312480,-0.261827,-0.274711
1.640,-0.076290,-0.052417,-0.311676,-0.260957,-0.274280
1.660,-0.070076,-0.046837,-0.310768,-0.259905,-0.273637
1.680,-0.063954,-0.041370,-0.309764,-0.258693,-0.272805
1.700,-0.057930,-0.036020,-0.308670,-0.257342,-0.271804
1.720,-0.052012,-0.030789,-0.307496,-0.255869,-0.270653
1.740,-0.046205,-0.025680,-0.306246,-0.254291,-0.269371
1.760,-0.040512,-0.020695,-0.304928,-0.252622,-0.267972
1.780,-0.034937,-0.015834,-0.303548,-0.250876,-0.266472
1.800,-0.029483,-0.011097,-0.302111,-0.249066,-0.264884
1.820,-0.024153,-0.006486,-0.300622,-0.247203,-0.263221
1.840,-0.018947,-0.002000,-0.299088,-0.245297,-0.261493
1.860,-0.013866,+0.002363,-0.297512,-0.243357,-0.259712
1.880,-0.008912,+0.006602,-0.295899,-0.241392,-0.257886
1.900,-0.004085,+0.010719,-0.294253,-0.239410,-0.256025
1.920,+0.000617,+0.014716,-0.292578,-0.237417,-0.254135
1.940,+0.005193,+0.018594,-0.290878,-0.235419,-0.252225
1.960,+0.009644,+0.022354,-0.289156,-0.233423,-0.250300
1.980,+0.013971,+0.025999,-0.287416,-0.231432,-0.248367
2.000,+0.018176,+0.029532,-0.285661,-0.229452,-0.246430
2.020,+0.022260,+0.032953,-0.283893,-0.227486,-0.244495
2.040,+0.026226,+0.036265,-0.282116,-0.225538,-0.242566
2.060,+0.030074,+0.039471,-0.280331,-0.223611,-0.240646
2.080,+0.033806,+0.042573,-0.278542,-0.221707,-0.238740
2.100,+0.037426,+0.045574,-0.276750,-0.219830,-0.236850
2.120,+0.040935,+0.048475,-0.274958,-0.217981,-0.234978
2.140,+0.044335,+0.051280,-0.273167,-0.216161,-0.233129
2.160,+0.047628,+0.053991,-0.271379,-0.214373,-0.231302
2.180,+0.050818,+0.056610,-0.269596,-0.212617,-0.229501
2.200,+0.053905,+0.059139,-0.267820,-0.210896,-0.227727
2.220,+0.056894,+0.061583,-0.266051,-0.209208,-0.225982
2.240,+0.059786,+0.063941,-0.264292,-0.207556,-0.224266
2.260,+0.062583,+0.066219,-0.262543,-0.205940,-0.222580
2.280,+0.065289,+0.068416,-0.260806,-0.204360,-0.220926
2.300,+0.067905,+0.070537,-0.259081,-0.202816,-0.219305
2.320,+0.070434,+0.072583,-0.257370,-0.201309,-0.217715
2.340,+0.072878,+0.074556,-0.255674,-0.199838,-0.216159
2.360,+0.075241,+0.076460,-0.253993,-0.198404,-0.214637
2.380,+0.077523,+0.078295,-0.252327,-0.197006,-0.213148
2.400,+0.079727,+0.080065,-0.250679,-0.195644,-0.211693
2.420,+0.081856,+0.081771,-0.249048,-0.194319,-0.210271
2.440,+0.083913,+0.083415,-0.247435,-0.193028,-0.208883
2.460,+0.085898,+0.085000,-0.245840,-0.191773,-0.207528
2.480,+0.087814,+0.086527,-0.244264,-0.190552,-0.206207
2.500,+0.089664,+0.087999,-0.242707,-0.189365,-0.204919
2.520,+0.091450,+0.089416,-0.241169,-0.188212,-0.203663
2.540,+0.093172,+0.090782,-0.239652,-0.187091,-0.202440
2.560,+0.094835,+0.092097,-0.238154,-0.186003,-0.201249
2.580,+0.096438,+0.093364,-0.236677,-0.184947,-0.200089
2.600,+0.097986,+0.094584,-0.235221,-0.183922,-0.198960
2.620,+0.099478,+0.095759,-0.233785,-0.182928,-0.197862
2.640,+0.100917,+0.096890,-0.232369,-0.181963,-0.196794
2.660,+0.102305,+0.097979,-0.230975,-0.181028,-0.195755
2.680,+0.103643,+0.099028,-0.229602,-0.180121,-0.194746
2.700,+0.104933,+0.100037,-0.228249,-0.179242,-0.193765
2.720,+0.106177,+0.101008,-0.226918,-0.178391,-0.192812
2.740,+0.107377,+0.101944,-0.225607,-0.177565,-0.191886
2.760,+0.108533,+0.102843,-0.224317,-0.176766,-0.190987
2.780,+0.109647,+0.103709,-0.223048,-0.175992,-0.190114
2.800,+0.110721,+0.104543,-0.221800,-0.175242,-0.189266
2.820,+0.111756,+0.105345,-0.220573,-0.174517,-0.188444
