delta,x_norm,v_li,v_de_lli
0.04,0.0,4.14641765897108,4.158690511876744
0.04,0.0033444816053511705,4.124136759474157,4.139133756490375
0.04,0.006688963210702341,4.114028127933592,4.129854908833489
0.04,0.010033444816053512,4.10792643398137,4.123488283710175
0.04,0.013377926421404682,4.10370483704248,4.118508164116174
0.04,0.016722408026755852,4.100528830844419,4.114321382245475
0.04,0.020066889632107024,4.0980177945488565,4.110664511644755
0.04,0.023411371237458192,4.09598207325276,4.107430140212288
0.04,0.026755852842809364,4.094283808192709,4.104554603476825
0.04,0.030100334448160536,4.0928486412336875,4.101998586401085
0.04,0.033444816053511704,4.091605227448309,4.099732653337464
0.04,0.03678929765886287,4.09049701160917,4.097731800162598
0.04,0.04013377926421405,4.089491288429342,4.095972497690328
0.04,0.043478260869565216,4.088542846862206,4.094423012211063
0.04,0.046822742474916385,4.087621841403985,4.093055032497391
0.04,0.05016722408026756,4.086697498432718,4.09185512962064
0.04,0.05351170568561873,4.085740408253517,4.090789016937834
0.04,0.056856187290969896,4.084731756418789,4.089825486124018
0.04,0.06020066889632107,4.083643246628848,4.088943436802776
0.04,0.06354515050167224,4.082467292909669,4.088115236398469
0.04,0.06688963210702341,4.081177392767605,4.087314763925696
0.04,0.07023411371237458,4.079774151427544,4.086519728636053
0.04,0.07357859531772575,4.078232951795004,4.085704703223863
0.04,0.07692307692307693,4.0765631028808995,4.084849876567559
0.04,0.0802675585284281,4.074745263529117,4.08393462758067
0.04,0.08361204013377926,4.072794882183122,4.082934624291062
0.04,0.08695652173913043,4.070695030127254,4.081842091586385
0.04,0.0903010033444816,4.0684642294676685,4.080644930302487
0.04,0.09364548494983277,4.066070095440822,4.079307435294006
0.04,0.09698996655518395,4.063562211247344,4.077868883337392
0.04,0.10033444816053512,4.06094100351273,4.076302507686692
0.04,0.10367892976588629,4.05820030776864,4.074571894324737
0.04,0.10702341137123746,4.055323577375065,4.072703652515178
0.04,0.11036789297658862,4.052358315853556,4.0706989283743535
0.04,0.11371237458193979,4.049309584282529,4.068560170857392
0.04,0.11705685618729096,4.046175860283236,4.066290953105384
