delta,lli_equiv,status,q_li_mah,q_de_lli_mah,q_rel_diff_pct,mean_abs_dv_mV,max_abs_dv_mV,lli_equiv_N,overestimate_factor
0.04,0.027140007545667994,ok,5490.831174310813,5401.3325398596835,1.6299651475327572,17.883631490699493,30.1653747168813,,
0.08,0.05428001509133599,ok,5303.177383558158,5181.122158243463,2.301548986332463,40.618000135387796,65.41942344642715,,
0.12,0.08142002263700397,ok,5079.383901418354,4958.91816285252,2.371660439609522,67.79584185709118,102.08170750883517,,
0.04,9.099957313246125e-05,frame-corrected coefficient,,,,,,0.027140007545667994,298.24324017610854
0.08,0.0001819991462649225,frame-corrected coefficient,,,,,,0.05428001509133599,298.24324017610854
0.12,0.0002729987193973837,frame-corrected coefficient,,,,,,0.08142002263700397,298.24324017610854
0.12,0.0,control x0.0,,,,0.25416844939568717,0.5731968411124555,,
0.12,0.0002729987193973837,control x0.0033529678641149208,,,,0.047631190178064976,1.4011683479893122,,
0.12,0.040710011318501986,control x0.5,,,,37.60993288089634,57.25290573893682,,
0.12,0.08142002263700397,control x1.0,,,,67.79584185709118,102.08170750883517,,
0.04,0.0,n2 PE · 0 (보정 없음),,,,19.653183314342485,36.9966110678579,,
0.04,0.03990900042693967,n2 PE · 프레임 예측 ★,,,,0.008176736576112434,0.11586427976562064,,
0.04,0.04,n2 PE · Dubarry 계수 1,,,,0.05408192407965343,0.24664745503910623,,
0.08,0.07981800085387934,n2 PE · 프레임 예측 ★,,,,0.03184836329981788,0.7417100693882794,,
0.08,0.08,n2 PE · Dubarry 계수 1,,,,0.058131942525386414,0.3460819270340032,,
0.12,0.11972700128081902,n2 PE · 프레임 예측 ★,,,,0.0674351889684847,1.6206774385398859,,
0.12,0.12,n2 PE · Dubarry 계수 1,,,,0.15204732355195225,1.2920265291938016,,
