t_ps,b2o3_PS_remain_pct,b2o3_PS_std,mc2x_PS_remain_pct,mc2x_PS_std,b2o3_BS_remain_pct,b2o3_Li_ingress,mc2x_Li_ingress
0.0,100.00,0.00,100.00,0.00,100.00,0.0,0.0
0.2,100.00,0.00,100.00,0.00,100.00,0.3,-0.3
0.4,100.00,0.00,100.00,0.00,100.00,-0.3,0.3
0.6,100.00,0.00,99.15,1.21,100.00,-0.3,0.3
0.8,98.72,1.81,98.29,1.21,100.00,0.0,0.7
1.0,98.72,1.81,98.29,1.21,100.00,0.7,0.3
1.2,98.72,1.81,98.29,1.21,100.00,0.3,0.3
1.4,98.72,1.81,98.29,1.21,100.00,1.0,0.3
1.6,98.72,1.81,98.29,1.21,100.00,0.7,0.0
1.8,98.72,1.81,98.29,1.21,100.00,0.3,-0.3
2.0,98.72,1.81,97.44,2.09,100.00,0.7,-0.3
2.2,97.44,3.63,97.44,2.09,100.00,0.7,0.0
2.4,97.44,3.63,97.44,2.09,100.00,1.7,0.7
2.6,97.44,3.63,97.44,2.09,100.00,1.3,0.3
2.8,96.15,3.14,97.44,2.09,100.00,2.0,1.0
3.0,96.15,3.14,97.44,2.09,100.00,2.0,0.3
3.2,96.15,3.14,97.44,2.09,100.00,1.7,1.0
3.4,96.15,3.14,97.44,2.09,100.00,1.7,0.0
3.6,96.15,3.14,97.44,2.09,100.00,1.7,0.7
3.8,94.87,3.63,97.44,2.09,100.00,2.3,0.7
4.0,94.87,3.63,97.44,2.09,100.00,2.3,0.7
4.2,94.87,3.63,96.58,1.21,100.00,2.0,1.3
4.4,94.87,3.63,96.58,1.21,100.00,2.0,1.3
4.6,94.87,3.63,96.58,1.21,100.00,2.3,1.3
4.8,93.59,1.81,95.73,1.21,100.00,2.3,0.7
5.0,93.59,1.81,95.73,1.21,100.00,1.0,1.3
5.2,93.59,1.81,95.73,1.21,100.00,2.7,1.7
5.4,93.59,1.81,94.87,2.09,100.00,2.3,2.0
5.6,93.59,1.81,94.87,2.09,100.00,1.7,2.0
5.8,93.59,1.81,94.02,2.42,100.00,2.3,2.0
6.0,92.31,0.00,94.02,2.42,100.00,3.0,2.3
6.2,92.31,0.00,94.02,2.42,100.00,2.3,2.3
6.4,92.31,0.00,94.02,2.42,100.00,3.0,1.7
6.6,92.31,0.00,94.02,2.42,100.00,4.0,0.3
6.8,92.31,0.00,94.02,2.42,100.00,2.0,0.3
7.0,92.31,0.00,94.02,2.42,100.00,3.3,0.0
7.2,92.31,0.00,94.02,2.42,100.00,3.0,-0.3
7.4,92.31,0.00,94.02,2.42,100.00,3.7,1.0
7.6,92.31,0.00,93.16,1.21,100.00,4.0,0.3
7.8,92.31,0.00,93.16,1.21,100.00,3.7,1.3
8.0,92.31,0.00,93.16,1.21,100.00,3.3,1.0
8.2,92.31,0.00,93.16,1.21,100.00,3.3,1.7
8.4,92.31,0.00,93.16,1.21,100.00,3.7,1.0
8.6,92.31,0.00,92.31,0.00,100.00,3.7,0.7
8.8,92.31,0.00,92.31,0.00,100.00,3.0,1.0
9.0,92.31,0.00,92.31,0.00,100.00,3.7,0.7
9.2,92.31,0.00,92.31,0.00,100.00,3.7,0.7
9.4,92.31,0.00,92.31,0.00,100.00,2.7,1.3
9.6,92.31,0.00,92.31,0.00,100.00,2.0,1.0
9.8,91.03,1.81,92.31,0.00,100.00,2.0,1.3
10.0,91.03,1.81,92.31,0.00,100.00,3.0,0.7
10.2,91.03,1.81,92.31,0.00,100.00,2.0,0.7
10.4,91.03,1.81,92.31,0.00,100.00,3.0,0.7
10.6,91.03,1.81,92.31,0.00,100.00,3.7,0.3
10.8,91.03,1.81,91.45,1.21,100.00,3.7,1.0
11.0,91.03,1.81,91.45,1.21,100.00,4.0,1.3
11.2,91.03,1.81,91.45,1.21,100.00,4.0,2.0
11.4,91.03,1.81,91.45,1.21,100.00,3.7,0.7
11.6,91.03,1.81,91.45,1.21,100.00,3.3,0.7
11.8,91.03,1.81,91.45,1.21,100.00,3.7,0.7
12.0,91.03,1.81,90.60,1.21,100.00,3.7,0.7
12.2,91.03,1.81,90.60,1.21,100.00,3.0,1.3
12.4,91.03,1.81,89.74,2.09,100.00,3.3,1.3
12.6,91.03,1.81,89.74,2.09,100.00,3.3,1.7
12.8,91.03,1.81,89.74,2.09,100.00,2.7,2.0
13.0,91.03,1.81,89.74,2.09,100.00,3.7,2.7
13.2,91.03,1.81,88.89,2.42,100.00,2.7,3.0
13.4,91.03,1.81,88.03,1.21,100.00,3.3,3.7
13.6,91.03,1.81,88.03,1.21,100.00,3.7,3.3
13.8,91.03,1.81,88.03,1.21,100.00,4.3,2.7
14.0,91.03,1.81,88.03,1.21,100.00,4.7,1.3
14.2,91.03,1.81,88.03,1.21,100.00,4.3,1.3
14.4,91.03,1.81,87.18,0.00,100.00,4.3,1.7
14.6,91.03,1.81,88.03,1.21,100.00,4.0,1.7
14.8,91.03,1.81,87.18,2.09,100.00,3.7,2.0
15.0,91.03,1.81,88.03,1.21,100.00,4.0,2.7
15.2,91.03,1.81,88.03,1.21,100.00,4.0,3.0
15.4,91.03,1.81,88.03,1.21,100.00,3.7,3.7
15.6,91.03,1.81,88.03,1.21,100.00,4.3,3.0
15.8,91.03,1.81,88.03,1.21,100.00,3.7,3.0
16.0,91.03,1.81,88.03,1.21,100.00,3.7,3.0
16.2,91.03,1.81,88.03,1.21,100.00,2.7,3.0
16.4,91.03,1.81,88.03,1.21,100.00,4.0,2.7
16.6,91.03,1.81,88.03,1.21,100.00,4.7,2.7
16.8,91.03,1.81,88.03,1.21,100.00,4.3,2.7
17.0,91.03,1.81,88.03,1.21,100.00,3.3,2.7
