"time_s","Li_N_mol_m2","Li_P_mol_m2","Li_electrolyte_mol_m2","xavg_N","xavg_P","xsurf_N_min","xsurf_N_max","xsurf_P_min","xsurf_P_max","ocp_guard","reaction_N_A_m2","reaction_P_A_m2","leak_leftward_A_m2"
"0.0","0.011809375093156844","1.1764163034411206","0.048677285380912164","0.01172068149051506","0.9240638866944103","0.011720681560105108","0.01172068156290307","0.9240638866193801","0.9240638866456519","0.0","-2.5035995318707585","2.5035995286543526","8.908557227314132E-16"
"1.002E-5","0.011809375352636639","1.1764163031816415","0.04867728538091212","0.011720681748046056","0.92406388649059","0.011720716608950209","0.011720718010507482","0.9240638489327644","0.9240638620838338","0.0","-2.5035995286543367","2.503599528654342","8.908565952192336E-16"
"2.002E-5","0.01180937561211644","1.1764163029221626","0.04867728538091214","0.011720682005577061","0.9240638862867712","0.011720751654089687","0.011720754454183649","0.9240638112778932","0.9240638375426855","0.0","-2.5035995286543384","2.503599528654336","8.90857467631141E-16"
"4.002E-5","0.011809376131076044","1.176416302403204","0.04867728538091215","0.011720682520639044","0.924063885879134","0.011720821735724007","0.011720827332372067","0.9240637360420977","0.9240637885085375","0.0","-2.5035995286543344","2.5035995286543327","8.908592122292734E-16"
"7.001E-5","0.011809376909255993","1.1764163016250222","0.048677285380912136","0.011720683292974508","0.9240638852678803","0.011720926796194154","0.01172093658465692","0.9240636234560247","0.924063715131593","0.0","-2.503599528654344","2.5035995286543447","8.90861827550783E-16"
"1.0E-4","0.01180937768743591","1.1764163008468431","0.04867728538091213","0.011720684065309966","0.9240638846566273","0.011721031824049292","0.011721045802368053","0.9240635111477117","0.9240636419355054","0.0","-2.5035995286543455","2.503599528654345","8.908644420208473E-16"
"1.5000000000000001E-4","0.011809378984834938","1.1764162995494434","0.048677285380912136","0.011720685352964956","0.9240638836375326","0.011721206855106386","0.011721227814419775","0.9240633245297732","0.9240635203083004","0.0","-2.503599528654333","2.5035995286543375","8.908687989994203E-16"
"2.0E-4","0.011809380282233961","1.1764162982520447","0.04867728538091213","0.011720686640619926","0.9240638826184385","0.011721381793928677","0.011721409728699969","0.9240631386905351","0.9240633991881286","0.0","-2.503599528654345","2.503599528654329","8.908731535711698E-16"
"2.999999999999999E-4","0.011809382877032","1.1764162956572466","0.04867728538091212","0.0117206892159299","0.9240638805802486","0.011721731394683636","0.011721773263756927","0.9240627693277356","0.9240631584555906","0.0","-2.503599528654345","2.503599528654336","8.908818554927569E-16"
"5.0E-4","0.011809388066628077","1.1764162904676505","0.048677285380912136","0.011720694366549845","0.9240638765038701","0.01172242949092374","0.011722499162326878","0.9240620397082094","0.9240626829197797","0.0","-2.5035995286543393","2.5035995286543495","8.908992305287808E-16"
"7.5E-4","0.011809394553623185","1.176416283980655","0.048677285380912136","0.011720700804824758","0.9240638714083981","0.011723300044302724","0.011723404344778674","0.924061144397028","0.9240620993826174","0.0","-2.5035995286543336","2.5035995286543478","8.9092089550002E-16"
"0.001","0.0118094010406183","1.1764162774936615","0.048677285380912136","0.011720707243099671","0.9240638663129237","0.011724168308661317","0.011724307101189381","0.92406026717841","0.9240615276262844","0.0","-2.503599528654335","2.5035995286543398","8.90942500926031E-16"
"0.0014999999999999996","0.011809414014608503","1.1764162645196703","0.048677285380912136","0.011720720119649503","0.9240638561219762","0.011725898017097135","0.0117261053861987","0.9240585642034296","0.924060417623381","0.0","-2.503599528654344","2.5035995286543438","8.909855347233365E-16"
"0.002","0.011809426988598704","1.1764162515456795","0.04867728538091213","0.011720732996199343","0.9240638459310307","0.011727618679404628","0.011727894085258027","0.9240569271357097","0.9240593505366399","0.0","-2.5035995286543504","2.503599528654352","8.910283340308697E-16"
"0.003","0.01180945293657912","1.1764162255976995","0.04867728538091212","0.011720758749299008","0.9240638255491364","0.01173103323109594","0.011731443118064252","0.9240538313733775","0.9240573325160393","0.0","-2.503599528654343","2.5035995286543318","8.911132411274278E-16"
"0.004","0.011809478884559552","1.176416199649718","0.04867728538091213","0.011720784502398685","0.9240638051672428","0.011734412456220257","0.01173495472835885","0.9240509557371362","0.9240554578401812","0.0","-2.503599528654327","2.5035995286543455","8.91197238027873E-16"
"0.005","0.011809504832539973","1.176416173701739","0.04867728538091216","0.011720810255498346","0.9240637847853509","0.011737756883461138","0.0117384294835421","0.9240482766083947","0.9240537111330775","0.0","-2.503599528654341","2.5035995286543584","8.912803413684539E-16"
"0.006","0.011809530780520406","1.1764161477537591","0.04867728538091215","0.011720836008598036","0.9240637644034573","0.011741067047361988","0.011741867957113338","0.9240457724802247","0.9240520783930275","0.0","-2.5035995286543296","2.5035995286543336","8.913625676218763E-16"
"0.007","0.011809556728500812","1.1764161218057778","0.048677285380912136","0.011720861761697697","0.9240637440215637","0.011744343478266665","0.011745270717901258","0.9240434242530282","0.9240505471851673","0.0","-2.50359952865434","2.503599528654336","8.914439328034022E-16"
"0.008","0.01180958267648123","1.1764160958577972","0.048677285380912094","0.011720887514797357","0.92406372363967","0.011747586699057741","0.011748638326585334","0.9240412151162573","0.9240491065645509","0.0","-2.5035995286543513","2.5035995286543455","8.915244524070317E-16"
"0.009000000000000001","0.011809608624461643","1.1764160699098183","0.048677285380912115","0.01172091326789704","0.9240637032577763","0.011750797224172002","0.011751971334654698","0.9240391303153069","0.9240477469244694","0.0","-2.50359952865434","2.5035995286543424","8.91604141415185E-16"
"0.01","0.01180963457244207","1.1764160439618374","0.04867728538091212","0.011720939020996711","0.9240636828758826","0.011753975559377544","0.011755270284179688","0.9240371569043392","0.9240464598356032","0.0","-2.503599528654334","2.5035995286543327","8.916830143293315E-16"
"0.011","0.011809660520422491","1.1764160180138559","0.048677285380912136","0.011720964774096374","0.9240636624939891","0.01175712220180422","0.011758535707852465","0.9240352835167336","0.9240452378966336","0.0","-2.5035995286543407","2.5035995286543566","8.91761085204345E-16"
"0.012","0.011809686468402917","1.1764159920658745","0.04867728538091212","0.011720990527196053","0.9240636421120971","0.011760237640057118","0.011761768129115068","0.924033500161164","0.9240440746015289","0.0","-2.5035995286543407","2.503599528654358","8.91838367681144E-16"
"0.013000000000000001","0.011809712416383334","1.1764159661178955","0.048677285380912136","0.011721016280295727","0.9240636217302038","0.011763322354355983","0.0117649680623143","0.9240317980433965","0.9240429642235651","0.0","-2.503599528654334","2.5035995286543375","8.919148750162212E-16"
"0.014000000000000002","0.011809738364363753","1.1764159401699152","0.048677285380912136","0.011721042033395374","0.9240636013483104","0.011766376816681431","0.011768136012863315","0.9240301694115343","0.9240419017146027","0.0","-2.5035995286543473","2.503599528654357","8.919906201079085E-16"
"0.015000000000000003","0.011809764312344179","1.1764159142219346","0.04867728538091213","0.011721067786495065","0.9240635809664154","0.011769401490921661","0.011771272477403253","0.9240286074219034","0.9240408826177965","0.0","-2.5035995286543407","2.5035995286543424","8.920656155196287E-16"
"0.016000000000000004","0.011809790260324592","1.1764158882739544","0.04867728538091211","0.01172109353959472","0.9240635605845232","0.011772396833017467","0.01177437794396282","0.9240271060228925","0.9240399029919871","0.0","-2.503599528654336","2.5035995286543353","8.921398735005E-16"
"0.017000000000000005","0.011809816208305004","1.1764158623259733","0.048677285380912115","0.011721119292694404","0.9240635402026296","0.011775363291104974","0.011777452892115146","0.9240256598543183","0.9240389593461971","0.0","-2.503599528654341","2.503599528654356","8.922134060035835E-16"
"0.018000000000000006","0.011809842156285425","1.1764158363779935","0.04867728538091212","0.011721145045794069","0.9240635198207372","0.011778301305655822","0.011780497793131743","0.9240242641602079","0.9240380485828558","0.0","-2.503599528654336","2.5035995286543344","8.922862247021423E-16"
"0.019000000000000003","0.011809868104265852","1.1764158104300133","0.04867728538091212","0.011721170798893753","0.9240634994388437","0.011781211309614827","0.0117835131101336","0.9240229147131557","0.9240371679485616","0.0","-2.503599528654342","2.50359952865434","8.92358341004128E-16"
"0.02","0.01180989405224628","1.1764157844820324","0.04867728538091212","0.011721196551993416","0.9240634790569493","0.01178409372853512","0.011786499298239408","0.9240216077486817","0.9240363149913495","0.0","-2.5035995286543455","2.503599528654351","8.924297660651463E-16"
"0.021","0.011809920000226685","1.1764157585340513","0.04867728538091211","0.01172122230509309","0.9240634586750561","0.011786948980710771","0.011789456804711015","0.9240203399082217","0.9240354875235766","0.0","-2.503599528654347","2.5035995286543566","8.92500510800099E-16"
"0.022000000000000002","0.011809945948207104","1.176415732586071","0.04867728538091212","0.011721248058192761","0.9240634382931636","0.011789777477307002","0.011792386069096144","0.9240191081895772","0.9240346835896662","0.0","-2.5035995286543433","2.503599528654356","8.92570585893684E-16"
"0.023000000000000003","0.011809971896187538","1.176415706638092","0.04867728538091211","0.01172127381129244","0.9240634179112697","0.011792579622487998","0.01179528752336843","0.9240179099038176","0.9240339014380463","0.0","-2.5035995286543424","2.5035995286543353","8.926400018098828E-16"
"0.024000000000000004","0.011809997844167953","1.176415680690111","0.04867728538091213","0.011721299564392116","0.9240633975293764","0.011795355813542322","0.011798161592064834","0.924016742637757","0.9240331394967228","0.0","-2.503599528654347","2.503599528654345","8.927087688005836E-16"
"0.025000000000000005","0.01181002379214838","1.1764156547421316","0.048677285380912136","0.011721325317491774","0.9240633771474828","0.01179810644100609","0.011801008692420492","0.9240156042212628","0.9240323963519926","0.0","-2.503599528654357","2.5035995286543495","8.927768969134313E-16"
"0.026000000000000006","0.011810049740128803","1.1764156287941487","0.048677285380912136","0.011721351070591442","0.9240633567655896","0.011800831888783819","0.011803829234501033","0.9240144926987406","0.9240316707298774","0.0","-2.5035995286543424","2.5035995286543553","8.928443959990303E-16"
"0.027000000000000007","0.011810075688109217","1.17641560284617","0.04867728538091212","0.011721376823691116","0.9240633363836968","0.011803532534267084","0.01180662362133244","0.9240134063042439","0.9240309614799176","0.0","-2.5035995286543424","2.503599528654335","8.929112757175298E-16"
"0.028000000000000008","0.011810101636089637","1.1764155768981883","0.04867728538091211","0.011721402576790772","0.9240633160018029","0.011806208748450979","0.011809392249028477","0.9240123434397238","0.9240302675610087","0.0","-2.50359952865434","2.503599528654354","8.929775455447418E-16"
"0.029000000000000005","0.011810127584070051","1.1764155509502099","0.048677285380912094","0.011721428329890453","0.9240632956199097","0.011808860896048441","0.01181213550691574","0.9240113026560036","0.9240295880290132","0.0","-2.5035995286543398","2.503599528654345","8.930432147777574E-16"
"0.03","0.01181015353205048","1.17641552500223","0.048677285380912094","0.011721454082990126","0.9240632752380165","0.01181148933560247","0.011814853777656386","0.9240102826361173","0.9240289220259112","0.0","-2.5035995286543344","2.5035995286543478","8.931082925402072E-16"
"0.031","0.01181017948003089","1.1764154990542484","0.04867728538091212","0.011721479836089782","0.9240632548561231","0.01181409441959629","0.011817547437368561","0.9240092821807073","0.9240282687702901","0.0","-2.5035995286543438","2.5035995286543344","8.931727877871376E-16"
"0.032","0.01181020542801132","1.176415473106268","0.048677285380912115","0.011721505589189468","0.9240632344742292","0.011816676494561465","0.011820216855744605","0.9240083001952047","0.9240276275489965","0.0","-2.5035995286543415","2.503599528654341","8.932367093096095E-16"
"0.033","0.01181023137599174","1.1764154471582868","0.048677285380912115","0.011721531342289145","0.924063214092336","0.011819235901184066","0.011822862396167042","0.9240073356785695","0.9240269977098029","0.0","-2.5035995286543486","2.5035995286543358","8.933000657389812E-16"
"0.034","0.011810257323972147","1.1764154212103073","0.04867728538091211","0.011721557095388817","0.9240631937104428","0.011821772974408867","0.01182548441582241","0.9240063877133804","0.9240263786549547","0.0","-2.5035995286543535","2.5035995286543478","8.933628655509727E-16"
"0.035","0.011810283271952582","1.1764153952623273","0.04867728538091209","0.011721582848488479","0.9240631733285499","0.011824288043541627","0.011828083265812991","0.92400545545711","0.9240257698354866","0.0","-2.5035995286543407","2.5035995286543455","8.934251170695073E-16"
"0.036000000000000004","0.01181030921993299","1.1764153693143453","0.048677285380912115","0.011721608601588154","0.924063152946656","0.011826781432349498","0.011830659291266444","0.9240045381344258","0.9240251707462087","0.0","-2.503599528654342","2.5035995286543407","8.934868284703421E-16"
"0.037000000000000005","0.011810335167913416","1.1764153433663667","0.04867728538091211","0.01172163435468783","0.9240631325647634","0.01182925345915959","0.01183321283144342","0.9240036350303944","0.924024580921279","0.0","-2.5035995286543455","2.503599528654357","8.935480077845296E-16"
"0.038000000000000006","0.011810361115893828","1.1764153174183856","0.04867728538091209","0.011721660107787489","0.9240631121828697","0.01183170443695574","0.011835744219843162","0.9240027454844684","0.9240239999302884","0.0","-2.50359952865434","2.5035995286543407","8.936086629017219E-16"
"0.03900000000000001","0.011810387063874253","1.1764152914704038","0.04867728538091208","0.011721685860887168","0.9240630918009771","0.011834134673473487","0.011838253784307159","0.9240018688851622","0.9240234273747926","0.0","-2.5035995286543398","2.5035995286543393","8.936688015733225E-16"
"0.04","0.011810413011854674","1.1764152655224243","0.048677285380912094","0.011721711613986833","0.9240630714190828","0.011836544471293314","0.011840741847120861","0.9240010046653323","0.924022862885236","0.0","-2.5035995286543424","2.5035995286543407","8.937284314155171E-16"
"0.041","0.011810438959835082","1.1764152395744434","0.04867728538091208","0.011721737367086513","0.9240630510371892","0.011838934127932205","0.01184320872511352","0.9240001522979815","0.9240223061182211","0.0","-2.50359952865434","2.5035995286543526","8.937875599121733E-16"
"0.042","0.011810464907815508","1.1764152136264636","0.0486772853809121","0.011721763120186173","0.924063030655295","0.011841303935933484","0.011845654729756176","0.923999311292531","0.9240217567540775","0.0","-2.503599528654339","2.503599528654341","8.938461944176304E-16"
"0.043000000000000003","0.011810490855795948","1.1764151876784832","0.048677285380912115","0.011721788873285854","0.9240630102734024","0.01184365418295504","0.011848080167257816","0.9239984811914953","0.9240212144946978","0.0","-2.503599528654343","2.5035995286543478","8.939043421594042E-16"
"0.044000000000000004","0.011810516803776355","1.1764151617305025","0.04867728538091211","0.011721814626385534","0.9240629898915104","0.011845985151855932","0.011850485338659775","0.9239976615675203","0.9240206790616067","0.0","-2.5035995286543526","2.5035995286543398","8.939620102407829E-16"
"0.045000000000000005","0.011810542751756782","1.1764151357825214","0.04867728538091209","0.011721840379485187","0.9240629695096165","0.011848297120781393","0.011852870539928359","0.9239968520207306","0.9240201501942343","0.0","-2.5035995286543526","2.5035995286543606","8.940192056433382E-16"
"0.046000000000000006","0.011810568699737187","1.1764151098345406","0.0486772853809121","0.011721866132584855","0.9240629491277227","0.011850590363246304","0.011855236062045778","0.9239960521763617","0.9240196276483718","0.0","-2.5035995286543455","2.5035995286543544","8.940759352293693E-16"
"0.04700000000000001","0.01181059464771762","1.1764150838865615","0.04867728538091213","0.011721891885684527","0.9240629287458301","0.011852865148217125","0.011857582191099385","0.9239952616826319","0.9240191111947863","0.0","-2.503599528654344","2.503599528654351","8.941322057442607E-16"
"0.04800000000000001","0.011810620595698037","1.1764150579385808","0.04867728538091212","0.011721917638784211","0.9240629083639361","0.011855121740192334","0.011859909208369252","0.9239944802088355","0.9240186006179778","0.0","-2.5035995286543553","2.503599528654334","8.94188023818768E-16"
"0.049","0.011810646543678461","1.1764150319906004","0.04867728538091211","0.011721943391883868","0.9240628879820431","0.0118573603992814","0.011862217390414159","0.9239937074436241","0.9240180957150608","0.0","-2.5035995286543415","2.5035995286543535","8.942433959712622E-16"
"0.05","0.011810672491658883","1.17641500604262","0.04867728538091212","0.011721969144983543","0.9240628676001489","0.011859581381282309","0.011864507009155959","0.9239929430934636","0.9240175962947565","0.0","-2.5035995286543464","2.5035995286543464","8.942983286098777E-16"
"0.051000000000000004","0.011810698439639306","1.1764149800946389","0.048677285380912094","0.01172199489808322","0.9240628472182552","0.011861784937757669","0.0118667783319624","0.9239921868812356","0.924017102176484","0.0","-2.5035995286543464","2.503599528654335","8.943528280346317E-16"
"0.052000000000000005","0.011810724387619712","1.1764149541466589","0.04867728538091211","0.011722020651182876","0.9240628268363624","0.011863971316109443","0.011869031621728424","0.9239914385449794","0.9240166131895391","0.0","-2.503599528654338","2.5035995286543447","8.944069004394748E-16"
"0.053000000000000005","0.011810750335600135","1.1764149281986784","0.04867728538091211","0.011722046404282559","0.9240628064544696","0.011866140759652314","0.01187126713695594","0.9239906978367479","0.9240161291723497","0.0","-2.503599528654333","2.503599528654346","8.944605519143008E-16"
"0.054000000000000006","0.011810776283580564","1.1764149022506984","0.04867728538091211","0.011722072157382224","0.9240627860725753","0.011868293507685682","0.011873485131832154","0.9239899645215748","0.9240156499718023","0.0","-2.5035995286543358","2.5035995286543473","8.945137884468896E-16"
"0.05500000000000001","0.011810802231560969","1.1764148763027182","0.0486772853809121","0.0117220979104819","0.9240627656906824","0.011870429795564406","0.011875685856306441","0.9239892383765338","0.9240151754426289","0.0","-2.5035995286543407","2.503599528654334","8.945666159248204E-16"
"0.05600000000000001","0.011810828179541393","1.1764148503547376","0.04867728538091211","0.011722123663581567","0.9240627453087903","0.011872549854768204","0.011877869556165786","0.9239885191898828","0.9240147054468503","0.0","-2.5035995286543473","2.5035995286543495","8.946190401373345E-16"
"0.05700000000000001","0.011810854127521822","1.1764148244067578","0.04867728538091207","0.011722149416681234","0.9240627249268961","0.011874653912969818","0.011880036473108856","0.9239878067602861","0.9240142398532684","0.0","-2.5035995286543367","2.5035995286543393","8.946710667771567E-16"
"0.05800000000000001","0.011810880075502244","1.176414798458777","0.048677285380912094","0.011722175169780913","0.9240627045450018","0.011876742194101928","0.011882186844818694","0.9239871008961027","0.9240137785370023","0.0","-2.503599528654341","2.5035995286543447","8.947227014422612E-16"
"0.059000000000000004","0.011810906023482648","1.176414772510796","0.048677285380912115","0.01172220092288059","0.9240626841631087","0.011878814918422853","0.011884320905034081","0.9239864014147371","0.9240133213790666","0.0","-2.503599528654341","2.503599528654342","8.947739496376247E-16"
"0.06","0.01181093197146307","1.1764147465628159","0.04867728538091211","0.011722226675980262","0.9240626637812164","0.011880872302581048","0.01188643888361957","0.923985708142043","0.9240128682659806","0.0","-2.5035995286543473","2.503599528654326","8.948248167769247E-16"
"0.061","0.011810957919443492","1.176414720614835","0.048677285380912094","0.011722252429079929","0.924062643399322","0.01188291455967844","0.011888541006634255","0.9239850209117799","0.9240124190894164","0.0","-2.5035995286543455","2.503599528654353","8.948753081841975E-16"
"0.062","0.011810983867423911","1.1764146946668552","0.048677285380912115","0.0117222781821796","0.9240626230174298","0.011884941899332601","0.011890627496399245","0.9239843395651108","0.9240119737458705","0.0","-2.50359952865433","2.50359952865434","8.949254290954727E-16"
"0.063","0.01181100981540433","1.176414668718874","0.048677285380912094","0.011722303935279269","0.924062602635536","0.011886954527737801","0.011892698571563933","0.9239836639501433","0.9240115321363644","0.0","-2.503599528654343","2.5035995286543566","8.949751846603643E-16"
"0.064","0.011811035763384756","1.1764146427708941","0.048677285380912094","0.011722329688378939","0.9240625822536427","0.01188895264772495","0.011894754447171004","0.9239829939215032","0.9240110941661688","0.0","-2.5035995286543407","2.5035995286543358","8.950245799436334E-16"
"0.065","0.011811061711365162","1.176414616822914","0.0486772853809121","0.011722355441478606","0.9240625618717487","0.011890936458820438","0.011896795334720283","0.9239823293399462","0.9240106597445468","0.0","-2.503599528654341","2.5035995286543455","8.950736199267199E-16"
"0.066","0.011811087659345595","1.1764145908749326","0.04867728538091211","0.01172238119457827","0.9240625414898557","0.011892906157303932","0.011898821442231396","0.9239816700719945","0.9240102287845211","0.0","-2.5035995286543478","2.5035995286543495","8.951223095092366E-16"
"0.067","0.011811113607326021","1.176414564926953","0.04867728538091212","0.01172240694767795","0.9240625211079623","0.011894861936265105","0.011900832974305286","0.923981015989605","0.924009801202655","0.0","-2.503599528654355","2.503599528654337","8.951706535104415E-16"
