"time_s","phis_V","phil_V","Eeq_V","eta_V","etamid_V","x_surface","x_particle_average","cs_surface_mol_m3","reaction_input_mol_m3","csmax_mol_m3","direct_Eeq_surface_V","Isx_A_m2"
"0.0","2.2306115583380577","-1.3559782522271477","3.578386774462802","0.00820303610240325","0.00820303610240325","0.9240638866193801","0.9240638866942696","46857.15434352954","46857.15434352954","50707.7","3.578386774462802","-2.5035817974355234"
"1.002E-5","2.230613740082232","-1.3559760845740947","3.578386794684805","0.008203029971521225","0.008203029971521225","0.9240638489327644","0.9240638864207307","46857.15243252793","46857.15243252793","50707.7","3.578386794684805","-2.5035817974355234"
"2.002E-5","2.2306159216362094","-1.3559739170992258","3.578386814889774","0.008203023845660962","0.008203023845660962","0.9240638112778932","0.9240638861471919","46857.15052313602","46857.15052313602","50707.7","3.578386814889774","-2.503581797490553"
"4.002E-5","2.23062028417901","-1.3559695826866465","3.5783868552600344","0.008203011605622201","0.008203011605622201","0.9240637360420976","0.9240638856001144","46857.14670810187","46857.14670810187","50707.7","3.5783868552600344","-2.503581797600613"
"7.001E-5","2.2306268240504648","-1.355963084909357","3.5783869156718238","0.008202993287997895","0.008202993287997895","0.9240636234560247","0.9240638847797727","46857.14099912106","46857.14099912106","50707.7","3.5783869156718238","-2.503581797655643"
"1.0E-4","2.230633361789696","-1.3559565891590586","3.578386975934572","0.008202975014182545","0.008202975014182545","0.9240635111477117","0.9240638839594321","46857.135304224816","46857.135304224816","50707.7","3.578386975934572","-2.5035817978757624"
"1.5000000000000001E-4","2.2306442568356144","-1.355945763881087","3.5783870760706122","0.008202944646089172","0.008202944646089172","0.9240633245297732","0.9240638825917451","46857.12584125838","46857.12584125838","50707.7","3.5783870760706122","-2.503581798095882"
"2.0E-4","2.230655145854292","-1.3559349443350175","3.5783871757888157","0.00820291440049381","0.00820291440049381","0.9240631386905351","0.9240638812240614","46857.116417778045","46857.116417778045","50707.7","3.5783871757888157","-2.503581798095882"
"2.999999999999999E-4","2.2306769058064995","-1.3559133224490858","3.57838737398267","0.008202854272915339","0.008202854272915339","0.9240627693277356","0.924063878488705","46857.097688240014","46857.097688240014","50707.7","3.57838737398267","-2.50358179859115"
"5.0E-4","2.2307203535733477","-1.3558701473562669","3.5783877654842113","0.008202735445403064","0.008202735445403064","0.9240620397082094","0.9240638730180328","46857.06069091197","46857.06069091197","50707.7","3.5783877654842113","-2.503581799361568"
"7.5E-4","2.2307745285023386","-1.355816306919161","3.578388245893104","0.008202589528395698","0.008202589528395698","0.924061144397028","0.9240638661797694","46857.015291741176","46857.015291741176","50707.7","3.578388245893104","-2.5035818001870163"
"0.001","2.2308285543296176","-1.3557626087066887","3.5783887165938313","0.008202446442475253","0.008202446442475253","0.92406026717841","0.9240638593415892","46856.97081000266","46856.97081000266","50707.7","3.5783887165938313","-2.5035818010674937"
"0.0014999999999999996","2.230936162667387","-1.355655636031729","3.5783896303815066","0.008202168317609448","0.008202168317609448","0.9240585642034296","0.924063845665473","46856.884456058244","46856.884456058244","50707.7","3.5783896303815066","-2.5035818027183896"
"0.002","2.231043183909241","-1.355549225391521","3.578390508804457","0.00820190049630476","0.00820190049630476","0.9240569271357097","0.9240638319896721","46856.801444119425","46856.801444119425","50707.7","3.578390508804457","-2.5035818042592255"
"0.003","2.231255495235811","-1.3553380674332802","3.5783921699383545","0.008201392730736945","0.008201392730736945","0.9240538313733775","0.9240638046389625","46856.64446513181","46856.64446513181","50707.7","3.5783921699383545","-2.503581807285867"
"0.004","2.231465528157931","-1.3551291041623061","3.578393712956301","0.00820091936393652","0.00820091936393652","0.9240509557371362","0.9240637772893884","46856.49864823198","46856.49864823198","50707.7","3.578393712956301","-2.5035818102024496"
