% Model,failed_normal_copy.mph
% Version,COMSOL 6.3.0.290
% Date,"Sep 15 2026, 15:24"
% Table,Table 1 - Global Evaluation 1
% Time (s),Time (s),Minimum (mol/m^3),Minimum 1 (mol/m^3),Minimum 2 (mol/m^3),Minimum 3 (mol/m^3),ce_stop_threshold (mol/m^3),comp1.minguardall(comp1.cl)<=ce_stop_threshold
0,0,1199.9999999743102,1199.9999999743102,1199.9999999911179,1200.0000000085026,0,0
1.002E-5,1.002E-5,1199.9999871283985,1199.9999871283985,1199.9999957191603,1200.0000041206688,0,0
2.002E-5,2.002E-5,1199.9999742849816,1199.9999742849816,1199.99999159956,1200.0000081116796,0,0
4.002E-5,4.002E-5,1199.9999486136344,1199.9999486136344,1199.999983671141,1200.0000158577006,0,0
7.001E-5,7.001E-5,1199.9999101993585,1199.9999101993585,1199.9999726013295,1200.0000268849876,0,0
1.0E-4,1.0E-4,1199.9998719217033,1199.9998719217033,1199.999962329499,1200.0000373822002,0,0
1.5000000000000001E-4,1.5000000000000001E-4,1199.9998085283175,1199.9998085283175,1199.9999464137313,1200.0000541929828,0,0
2.0E-4,2.0E-4,1199.99974573425,1199.99974573425,1199.9999316071953,1200.0000704414192,0,0
2.999999999999999E-4,2.999999999999999E-4,1199.9996221632198,1199.9996221632198,1199.999903629798,1200.000102343314,0,0
3.999999999999998E-4,3.999999999999998E-4,1199.9995012909608,1199.9995012909608,1199.999877043015,1200.0001338281977,0,0
5.0E-4,5.0E-4,1199.9993827324968,1199.9993827324968,1199.999851075007,1200.000165232702,0,0
6.0E-4,6.0E-4,1199.9992619750997,1199.9992619750997,1199.9998253519457,1200.0001966722778,0,0
6.999999999999999E-4,6.999999999999999E-4,1199.9991424172188,1199.9991424172188,1199.9997997090077,1200.0002281742554,0,0
7.999999999999998E-4,7.999999999999998E-4,1199.999024081968,1199.999024081968,1199.9997740765973,1200.0002597393334,0,0
8.999999999999998E-4,8.999999999999998E-4,1199.9989069737837,1199.9989069737837,1199.9997484251355,1200.000291362677,0,0
0.001,0.001,1199.998791085064,1199.998791085064,1199.9997227415138,1200.0003230390664,0,0
0.0011250000000000001,0.0011250000000000001,1199.9986479110198,1199.9986479110198,1199.9996905825788,1200.000362700708,0,0
0.0012500000000000002,0.0012500000000000002,1199.9985065732822,1199.9985065732822,1199.9996583604998,1200.000402427674,0,0
0.0013750000000000004,0.0013750000000000004,1199.9983670225954,1199.9983670225954,1199.999626074973,1200.0004422108864,0,0
0.0015000000000000005,0.0015000000000000005,1199.998229204863,1199.998229204863,1199.9995937277922,1200.0004820417785,0,0
