"# energy-resolved -pCOHP (bonding>0), Gaussian sigma=0.1 eV; ICOHP(eV/bond): P–S -6.000, S–S -0.110, Li–S -1.717, Li–Cl -2.103"
E_minus_EF_eV,-pCOHP_P-S,-pCOHP_S-S,-pCOHP_Li-S,-pCOHP_Li-Cl
-15.0327,0.00000,0.00000,0.00000,0.00000
-14.9826,0.00000,0.00000,0.00000,0.00000
-14.9325,0.00000,0.00000,0.00000,0.00000
-14.8824,0.00000,0.00000,0.00000,0.00000
-14.8322,0.00000,0.00000,0.00000,0.00000
-14.7821,0.00000,0.00000,0.00000,0.00000
-14.7320,0.00000,0.00000,0.00000,0.00000
-14.6819,0.00000,0.00000,0.00000,0.00000
-14.6318,0.00000,0.00000,0.00000,0.00000
-14.5817,0.00000,0.00000,0.00000,0.00000
-14.5316,0.00000,0.00000,0.00000,0.00000
-14.4815,0.00000,0.00000,0.00000,0.00000
-14.4314,0.00000,0.00000,0.00000,0.00000
-14.3813,0.00000,0.00000,0.00000,0.00000
-14.3311,0.00000,0.00000,0.00000,0.00000
-14.2811,0.00000,0.00000,0.00000,0.00000
-14.2309,0.00000,0.00000,0.00000,0.00000
-14.1808,0.00000,0.00000,0.00000,0.00000
-14.1307,0.00000,0.00000,0.00000,0.00000
-14.0806,0.00000,0.00000,0.00000,0.00000
-14.0305,0.00000,0.00000,0.00000,0.00000
-13.9804,0.00000,0.00000,0.00000,0.00000
-13.9303,0.00000,0.00000,0.00000,0.00000
-13.8802,0.00000,0.00000,0.00000,0.00000
-13.8301,0.00000,0.00000,0.00000,0.00000
-13.7800,0.00000,-0.00000,0.00001,-0.00000
-13.7299,0.00084,-0.00014,0.00127,-0.00001
-13.6797,0.00610,-0.00097,0.00919,-0.00008
-13.6296,0.03520,-0.00536,0.05307,-0.00047
-13.5795,0.15639,-0.02292,0.23565,-0.00205
-13.5294,0.55913,-0.07832,0.84232,-0.00713
-13.4793,1.65051,-0.21721,2.48600,-0.02026
-13.4292,4.08508,-0.49418,6.14808,-0.04767
-13.3791,8.59395,-0.92846,12.89587,-0.09426
-13.3290,15.57383,-1.43166,23.18481,-0.15870
-13.2789,24.72912,-1.75188,36.19915,-0.23098
-13.2288,35.34789,-1.51524,50.23770,-0.29779
-13.1786,47.18378,-0.41481,64.28470,-0.35453
-13.1285,60.60969,1.54646,78.72794,-0.41044
-13.0784,75.25559,3.98236,93.61968,-0.47587
-13.0283,88.90094,6.33891,106.75076,-0.54372
-12.9782,98.50216,8.21804,114.64115,-0.58849
-12.9281,101.97937,9.48336,115.05377,-0.58546
-12.8780,98.51720,10.07594,107.68583,-0.52885
-12.8279,88.03993,9.84294,93.32905,-0.43271
-12.7778,71.51367,8.65101,73.71149,-0.31976
-12.7277,51.62127,6.65512,51.91562,-0.21131
-12.6776,32.33038,4.36836,31.85109,-0.12268
-12.6274,17.17043,2.39525,16.63838,-0.06121
-12.5773,7.57774,1.07872,7.24992,-0.02568
-12.5272,2.73336,0.39386,2.59028,-0.00889
-12.4771,0.79543,0.11542,0.74853,-0.00250
-12.4270,0.18420,0.02687,0.17234,-0.00056
-12.3769,0.03342,0.00490,0.03108,-0.00010
-12.3268,0.00431,0.00063,0.00398,-0.00001
-12.2767,0.00002,0.00000,0.00002,-0.00000
-12.2266,0.00000,0.00000,0.00000,0.00000
-12.1765,0.00000,0.00000,0.00000,0.00000
-12.1264,0.00000,0.00000,0.00000,0.00000
-12.0762,0.00000,0.00000,0.00000,0.00000
-12.0261,0.00000,0.00000,0.00000,0.00000
-11.9760,0.00000,0.00000,0.00000,0.00000
-11.9259,0.00001,0.00001,0.00358,-0.00000
-11.8758,0.00010,0.00006,0.02909,-0.00001
-11.8257,0.00055,0.00031,0.15689,-0.00005
-11.7756,0.00235,0.00133,0.66564,-0.00020
-11.7255,0.00790,0.00444,2.22874,-0.00064
-11.6754,0.02101,0.01175,5.89761,-0.00162
-11.6253,0.04428,0.02455,12.37865,-0.00328
-11.5752,0.07452,0.04049,20.77496,-0.00543
-11.5251,0.10167,0.05272,28.36465,-0.00770
-11.4749,0.11626,0.05407,32.69473,-0.01013
