"# energy-resolved -pCOHP (bonding>0), Gaussian sigma=0.1 eV; ICOHP(eV/bond): P–O -8.551, B–S -7.792, P–S -6.023, S–S -0.116, Li–S -1.680, Li–Cl -2.076"
E_minus_EF_eV,-pCOHP_P-O,-pCOHP_B-S,-pCOHP_P-S,-pCOHP_S-S,-pCOHP_Li-S,-pCOHP_Li-Cl
-12.0334,0.00000,0.00194,0.00000,-0.00001,0.38909,-0.00021
-11.9833,0.00000,0.00696,0.00001,-0.00005,1.39060,-0.00076
-11.9331,0.00000,0.02024,0.00002,-0.00014,4.03059,-0.00219
-11.8830,0.00000,0.04807,0.00008,-0.00036,9.54045,-0.00515
-11.8329,0.00000,0.09395,0.00032,-0.00074,18.59743,-0.00993
-11.7827,0.00001,0.15255,0.00123,-0.00109,30.21423,-0.01583
-11.7326,0.00003,0.20784,0.00428,-0.00060,41.59334,-0.02111
-11.6824,0.00013,0.23957,0.01269,0.00270,49.65880,-0.02377
-11.6323,0.00055,0.23482,0.03147,0.01229,53.26645,-0.02281
-11.5822,0.00188,0.19632,0.06531,0.03269,54.20869,-0.01887
-11.5320,0.00523,0.14174,0.11490,0.06783,56.11992,-0.01394
-11.4819,0.01166,0.09326,0.17485,0.11800,62.00265,-0.01024
-11.4317,0.02089,0.06429,0.23480,0.17547,71.91297,-0.00896
-11.3816,0.03008,0.05345,0.28126,0.22207,82.09346,-0.00956
-11.3315,0.03479,0.04980,0.29949,0.23607,86.42121,-0.01027
-11.2813,0.03233,0.04343,0.27943,0.20795,80.18296,-0.00957
-11.2312,0.02413,0.03200,0.22446,0.15021,63.79324,-0.00730
-11.1811,0.01447,0.01922,0.15286,0.08836,42.82358,-0.00446
-11.1309,0.00697,0.00931,0.08722,0.04217,24.01692,-0.00216
-11.0808,0.00270,0.00363,0.04134,0.01629,11.17743,-0.00082
-11.0306,0.00084,0.00113,0.01616,0.00510,4.29320,-0.00024
-10.9805,0.00021,0.00028,0.00518,0.00129,1.35440,-0.00005
-10.9304,0.00004,0.00006,0.00135,0.00026,0.34920,-0.00001
-10.8802,0.00001,0.00001,0.00028,0.00004,0.07236,-0.00000
-10.8301,0.00000,0.00000,0.00005,0.00000,0.01150,0.00000
-10.7799,0.00000,0.00000,0.00000,0.00000,0.00111,0.00000
-10.7298,0.00000,0.00000,0.00000,0.00000,0.00003,0.00000
-10.6797,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.6295,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.5794,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.5292,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.4791,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.4290,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.3788,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.3287,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.2785,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.2284,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.1783,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.1281,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.0780,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-10.0279,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-9.9777,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-9.9276,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-9.8774,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000
-9.8273,0.00000,0.00000,0.00001,-0.00000,0.00001,-0.00000
-9.7772,0.00000,0.00000,0.00012,-0.00003,0.00018,-0.00000
-9.7270,0.00002,0.00000,0.00088,-0.00024,0.00138,-0.00001
-9.6769,0.00013,0.00000,0.00466,-0.00125,0.00727,-0.00005
-9.6267,0.00055,0.00000,0.01961,-0.00527,0.03061,-0.00022
-9.5766,0.00194,0.00001,0.06667,-0.01794,0.10410,-0.00074
-9.5265,0.00576,0.00003,0.18475,-0.04974,0.28844,-0.00205
-9.4763,0.01452,0.00006,0.42168,-0.11328,0.65801,-0.00462
-9.4262,0.03197,0.00011,0.80696,-0.21457,1.25674,-0.00867
-9.3760,0.06334,0.00017,1.33621,-0.34437,2.06916,-0.01378
-9.3259,0.11621,0.00024,2.01388,-0.48050,3.07715,-0.01914
-9.2758,0.20235,0.00036,2.94321,-0.60278,4.38997,-0.02423
-9.2256,0.34168,0.00058,4.36424,-0.70600,6.30613,-0.02909
-9.1755,0.56932,0.00101,6.55128,-0.79680,9.18165,-0.03348
